"","2017-11-27","2017-11-28","2017-11-29"
"LeBron James_CLE",NA,58,NA
"Giannis Antetokounmpo_MIL",NA,57.25,NA
"Joel Embiid_PHI",NA,NA,58.5
"Ben Simmons_PHI",NA,NA,66
"Nikola Jokic_DEN",NA,27,NA
"Damian Lillard_POR",NA,NA,NA
"Blake Griffin_LAC",50.25,NA,NA
"Kyrie Irving_BOS",NA,NA,NA
"Kevin Love_CLE",NA,56.75,NA
"Dennis Schroder_ATL",NA,NA,NA
"Rudy Gobert_UTA",NA,0,NA
"Lou Williams_LAC",0,NA,NA
"DeAndre Jordan_LAC",19.75,NA,NA
"Donovan Mitchell_UTA",NA,26.75,NA
"Al Horford_BOS",NA,NA,NA
"Eric Bledsoe_MIL",NA,42.25,NA
"CJ McCollum_POR",NA,NA,NA
"Jusuf Nurkic_POR",NA,NA,NA
"Isaiah Thomas_CLE",NA,0,NA
"Derrick Favors_UTA",NA,50.25,NA
"Khris Middleton_MIL",NA,22,NA
"Paul Millsap_DEN",NA,0,NA
"Will Barton_DEN",NA,14.5,NA
"Lauri Markkanen_CHI",NA,27,NA
"Robert Covington_PHI",NA,NA,28.5
"Jaylen Brown_BOS",NA,NA,NA
"Kris Dunn_CHI",NA,48.5,NA
"Jayson Tatum_BOS",NA,NA,NA
"Justin Holiday_CHI",NA,49.25,NA
"Denzel Valentine_CHI",NA,24.5,NA
"Ricky Rubio_UTA",NA,30,NA
"Rodney Hood_UTA",NA,0,NA
"Danilo Gallinari_LAC",0,NA,NA
"Dwyane Wade_CLE",NA,32.75,NA
"Gary Harris_DEN",NA,26.25,NA
"John Collins_ATL",NA,NA,NA
"Austin Rivers_LAC",39,NA,NA
"Kent Bazemore_ATL",NA,NA,NA
"Marcus Smart_BOS",NA,NA,NA
"Dewayne Dedmon_ATL",NA,NA,NA
"Jabari Parker_MIL",NA,0,NA
"JJ Redick_PHI",NA,NA,15.5
"Malcolm Brogdon_MIL",NA,25.5,NA
"Jamal Murray_DEN",NA,14.75,NA
"Bobby Portis_CHI",NA,17.25,NA
"Nikola Mirotic_CHI",NA,0,NA
"Patrick Beverley_LAC",0,NA,NA
"Dario Saric_PHI",NA,NA,39
"Robin Lopez_CHI",NA,24.25,NA
"Joe Ingles_UTA",NA,18,NA
"Taurean Prince_ATL",NA,NA,NA
"Wilson Chandler_DEN",NA,0,NA
"TJ McConnell_PHI",NA,NA,7.5
"Marcus Morris_BOS",NA,NA,NA
"John Henson_MIL",NA,22.25,NA
"Zach LaVine_CHI",NA,0,NA
"Al-Farouq Aminu_POR",NA,NA,NA
"Jerian Grant_CHI",NA,14.75,NA
"Wesley Johnson_LAC",9.25,NA,NA
"Kenneth Faried_DEN",NA,20,NA
"Marco Belinelli_ATL",NA,NA,NA
"JR Smith_CLE",NA,24.25,NA
"Terry Rozier_BOS",NA,NA,NA
"Richaun Holmes_PHI",NA,NA,0
"Noah Vonleh_POR",NA,NA,NA
"David Nwaba_CHI",NA,0,NA
"Jonas Jerebko_UTA",NA,31.5,NA
"Milos Teodosic_LAC",0,NA,NA
"Jae Crowder_CLE",NA,1.5,NA
"Evan Turner_POR",NA,NA,NA
"Emmanuel Mudiay_DEN",NA,15.75,NA
"Thabo Sefolosha_UTA",NA,11.25,NA
"Jeff Green_CLE",NA,15.5,NA
"Derrick Rose_CLE",NA,0,NA
"Tristan Thompson_CLE",NA,0,NA
"Markelle Fultz_PHI",NA,NA,0
"Amir Johnson_PHI",NA,NA,12.5
"Tony Snell_MIL",NA,19,NA
"Thon Maker_MIL",NA,14.25,NA
"Luke Babbitt_ATL",NA,NA,NA
"Ersan Ilyasova_ATL",NA,NA,NA
"Juancho Hernangomez_DEN",NA,0,NA
"Kyle Korver_CLE",NA,16.5,NA
"Shabazz Napier_POR",NA,NA,NA
"Alec Burks_UTA",NA,22.5,NA
"Joe Johnson_UTA",NA,0,NA
"Iman Shumpert_CLE",NA,0,NA
"Mike Muscala_ATL",NA,NA,NA
"Aron Baynes_BOS",NA,NA,NA
"Maurice Harkless_POR",NA,NA,NA
"DeAndre Liggins_MIL",NA,7.25,NA
"Caleb Swanigan_POR",NA,NA,NA
"Mason Plumlee_DEN",NA,4,NA
"Paul Zipser_CHI",NA,6.5,NA
"Trey Lyles_DEN",NA,10,NA
"Montrezl Harrell_LAC",0,NA,NA
"Sam Dekker_LAC",17.5,NA,NA
"Malcolm Delaney_ATL",NA,NA,NA
"Channing Frye_CLE",NA,9.5,NA
"Jerryd Bayless_PHI",NA,NA,20.75
"Daniel Theis_BOS",NA,NA,NA
"Pat Connaughton_POR",NA,NA,NA
"Isaiah Taylor_ATL",NA,NA,NA
"Tyler Cavanaugh_ATL",NA,NA,NA
"Ed Davis_POR",NA,NA,NA
"DeAndre' Bembry_ATL",NA,NA,NA
"Ante Zizic_CLE",NA,0,NA
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25
"Semi Ojeleye_BOS",NA,NA,NA
"Shane Larkin_BOS",NA,NA,NA
"Matthew Dellavedova_MIL",NA,0,NA
"Mirza Teletovic_MIL",NA,0,NA
"Meyers Leonard_POR",NA,NA,NA
"Sindarius Thornwell_LAC",6.75,NA,NA
"Raul Neto_UTA",NA,0,NA
"Antonio Blakeney_CHI",NA,11,NA
"Jose Calderon_CLE",NA,9.5,NA
"Josh Magette_ATL",NA,NA,NA
"Tyler Dorsey_ATL",NA,NA,NA
"Cedi Osman_CLE",NA,0,NA
"Nicolas Brussino_ATL",NA,NA,NA
"John Holland_CLE",NA,0,NA
"London Perrantes_CLE",NA,0,NA
"Miles Plumlee_ATL",NA,NA,NA
"Justin Anderson_PHI",NA,NA,0
"Jahlil Okafor_PHI",NA,NA,0
"Abdel Nader_BOS",NA,NA,NA
"Guerschon Yabusele_BOS",NA,NA,NA
