"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,939531125,"Jrob132 (2/4)",0,337.75,"C Andre Drummond SF Paul George PG Victor Oladipo PF Aaron Gordon SG Avery Bradley G George Hill F Marvin Williams UTIL E'Twaun Moore",NA,"Kyle Lowry","PG","31.79%",31.75
2,939546141,"Flying1Tigers (1/2)",0,332,"C Karl-Anthony Towns SG Victor Oladipo SF Aaron Gordon PG Donovan Mitchell PF Derrick Favors F Kelly Olynyk UTIL Michael Carter-Williams G Tomas Satoransky",NA,"Otto Porter","SF","24.78%",38.25
2,939546464,"Flying1Tigers (2/2)",0,332,"C Karl-Anthony Towns SG Victor Oladipo SF Aaron Gordon PG Donovan Mitchell PF Derrick Favors F Kelly Olynyk UTIL Michael Carter-Williams G Tomas Satoransky",NA,"Aaron Gordon","SF","23.66%",46.25
4,939757470,"BeanoTheKid (10/12)",0,327.25,"C Andre Drummond SG Victor Oladipo SF DeMar DeRozan UTIL Donovan Mitchell PG Jeff Teague G Michael Carter-Williams PF Bam Adebayo F Marvin Williams",NA,"Dwight Howard","C","22.64%",18.75
5,939646138,"Worldcrown",0,325.5,"SF Paul George G Victor Oladipo SG Tyreke Evans PF Derrick Favors PG Jrue Holiday C Zach Randolph F Josh Richardson UTIL Jerian Grant",NA,"Alec Burks","SG","22.01%",35.75
6,939757467,"BeanoTheKid (7/12)",0,324.5,"C Andre Drummond SG DeMar DeRozan PF Aaron Gordon G Donovan Mitchell PG Elfrid Payton F Joe Ingles UTIL Michael Carter-Williams SF Marvin Williams",NA,"Michael Carter-Williams","G","21.80%",29
7,939394480,"bholliba (2/2)",0,324,"C Andre Drummond SG Victor Oladipo PF Aaron Gordon SF Otto Porter PG Elfrid Payton F Kelly Oubre Jr. G Michael Carter-Williams UTIL Alec Burks",NA,"Kelly Oubre Jr.","G","21.63%",19.75
8,939311523,"JoSquared",0,323.75,"UTIL Paul George PG Victor Oladipo SF Aaron Gordon F Carmelo Anthony SG Avery Bradley C Marcin Gortat G Rajon Rondo PF Justise Winslow",NA,"Elfrid Payton","PG","20.93%",33.5
9,939247111,"mcnasty5252 (2/12)",0,322.5,"SG Stephen Curry PG Victor Oladipo PF Draymond Green SF Otto Porter UTIL Zach Randolph F Jonathon Simmons C Bam Adebayo G Tomas Satoransky",NA,"LaMarcus Aldridge","PF","19.94%",32
9,939261968,"mcnasty5252 (7/12)",0,322.5,"SG Stephen Curry PG Victor Oladipo PF Draymond Green SF Otto Porter UTIL Zach Randolph F Jonathon Simmons C Bam Adebayo G Tomas Satoransky",NA,"Victor Oladipo","PG","19.17%",65.75
9,939261974,"mcnasty5252 (8/12)",0,322.5,"SG Stephen Curry PG Victor Oladipo PF Draymond Green SF Otto Porter UTIL Zach Randolph F Jonathon Simmons C Bam Adebayo G Tomas Satoransky",NA,"Russell Westbrook","G","17.81%",49.25
9,939262028,"mcnasty5252 (9/12)",0,322.5,"SG Stephen Curry PG Victor Oladipo PF Draymond Green SF Otto Porter UTIL Zach Randolph F Jonathon Simmons C Bam Adebayo G Tomas Satoransky",NA,"Tobias Harris","PF","17.39%",20
13,939674163,"BulldogB (1/7)",0,321.5,"C Andre Drummond G Victor Oladipo SG Donovan Mitchell PF Otto Porter PG Elfrid Payton F Joe Ingles SF Lance Stephenson UTIL Michael Carter-Williams",NA,"Bam Adebayo","F","16.72%",17.75
14,939739328,"sannabonna",0,319.5,"PG Victor Oladipo SF Aaron Gordon SG Jimmy Butler C Derrick Favors G Kyle Anderson PF Zach Randolph UTIL Robin Lopez F Serge Ibaka",NA,"Kelly Olynyk","PF","16.37%",23
15,939299728,"MGMcclure",0,319,"SG Stephen Curry PG Victor Oladipo G Donovan Mitchell F Nicolas Batum C Steven Adams SF Kyle Anderson PF Markieff Morris UTIL E'Twaun Moore",NA,"Donovan Mitchell","SG","14.51%",53.5
15,939356674,"ALBERTJR88",0,319,"PG Kyle Lowry SG Victor Oladipo SF Aaron Gordon F Derrick Favors C Steven Adams PF Willie Cauley-Stein G Michael Carter-Williams UTIL Alec Burks",NA,"Taj Gibson","C","14.48%",16
17,939763576,"Jovan914 (3/20)",0,318.75,"SG Victor Oladipo F Aaron Gordon G Donovan Mitchell C Derrick Favors UTIL Kris Dunn PG Elfrid Payton SF Joe Ingles PF Bam Adebayo",NA,"Andre Drummond","C","13.11%",55.75
18,939448224,"jonathan13",0,317.75,"SF Paul George PG Victor Oladipo C Dwight Howard PF Draymond Green SG Donovan Mitchell G De'Aaron Fox UTIL George Hill F Marvin Williams",NA,"Tomas Satoransky","SG","12.83%",31
19,939280923,"csmaniac (20/20)",0,316.25,"C Andre Drummond SG Jimmy Butler UTIL Donovan Mitchell SF Otto Porter PG Elfrid Payton F Lauri Markkanen PF Zach Randolph G Cory Joseph",NA,"Stephen Curry","PG","12.44%",52.5
20,938769805,"Croation",0,316,"SF Paul George PG Victor Oladipo SG Dion Waiters C Pau Gasol UTIL James Johnson G Evan Fournier PF Zach Randolph F Serge Ibaka",NA,"JaMychal Green","PF","12.27%",9.75
21,939810866,"b_j_e",0,315.5,"F LaMarcus Aldridge SF Paul George UTIL Aaron Gordon SG Donovan Mitchell G Justin Holiday C Steven Adams PF Jonas Jerebko PG Alec Burks",NA,"Domantas Sabonis","F","11.78%",17
22,939582240,"Tractorgirl",0,313.75,"PG Victor Oladipo SF Aaron Gordon F Draymond Green C Nikola Vucevic PF Derrick Favors G Elfrid Payton SG Bogdan Bogdanovic UTIL Alec Burks",NA,"Karl-Anthony Towns","UTIL","11.15%",39.75
23,939738015,"juanita04 (1/2)",0,313.5,"UTIL DeMarcus Cousins F Paul George SG Victor Oladipo SF Otto Porter PG Michael Carter-Williams C Bam Adebayo PF Jonas Jerebko G Tomas Satoransky",NA,"Ricky Rubio","G","10.87%",16.75
23,939777887,"JCD042481 (8/12)",0,313.5,"G Victor Oladipo SF Aaron Gordon SG Klay Thompson F Otto Porter PF Tobias Harris PG Elfrid Payton C Marcin Gortat UTIL Marvin Williams",NA,"Anthony Davis","PF","10.80%",39.5
25,939217295,"totoroll33",0,312.75,"C Andre Drummond PF LaMarcus Aldridge SG Victor Oladipo G Elfrid Payton SF Evan Fournier F Jonathon Simmons PG Michael Carter-Williams UTIL Alec Burks",NA,"Steven Adams","C","10.27%",38
26,939699988,"wittenswarriors",0,312.25,"PG Victor Oladipo SG Jimmy Butler SF Andrew Wiggins G Dion Waiters PF Lauri Markkanen C Willie Cauley-Stein F Zach Randolph UTIL Marcin Gortat",NA,"Willie Cauley-Stein","C","10.23%",28.75
26,939845896,"PistolPete-88 (3/3)",0,312.25,"PF DeMarcus Cousins SF Paul George PG Victor Oladipo F Evan Fournier C Domantas Sabonis UTIL Markieff Morris SG Tomas Satoransky G Frank Mason III",NA,"Evan Fournier","UTIL","9.85%",33.75
28,939482123,"lazyboy1968 (5/5)",0,311.75,"PG Victor Oladipo C Marc Gasol G Donovan Mitchell SG Jrue Holiday SF Justin Holiday PF Thaddeus Young F Zach Randolph UTIL Kelly Oubre Jr.",NA,"Lauri Markkanen","F","9.74%",22.75
29,938637562,"elindy4 (1/15)",0,311.5,"C Andre Drummond SF Paul George PG Kyle Lowry UTIL Victor Oladipo G Kelly Oubre Jr. PF Kelly Olynyk F Bam Adebayo SG Alec Burks",NA,"Draymond Green","C","9.67%",41.25
29,938637563,"elindy4 (2/15)",0,311.5,"C Andre Drummond SF Paul George PG Kyle Lowry UTIL Victor Oladipo G Kelly Oubre Jr. PF Kelly Olynyk F Bam Adebayo SG Alec Burks",NA,"Tyus Jones","UTIL","9.25%",2.5
29,938637564,"elindy4 (3/15)",0,311.5,"C Andre Drummond SF Paul George PG Kyle Lowry UTIL Victor Oladipo G Kelly Oubre Jr. PF Kelly Olynyk F Bam Adebayo SG Alec Burks",NA,"Kris Dunn","PG","9.01%",26
29,938637566,"elindy4 (4/15)",0,311.5,"C Andre Drummond SF Paul George PG Kyle Lowry UTIL Victor Oladipo G Kelly Oubre Jr. PF Kelly Olynyk F Bam Adebayo SG Alec Burks",NA,"Kevin Durant","SF","8.83%",45.5
29,938637569,"elindy4 (5/15)",0,311.5,"C Andre Drummond SF Paul George PG Kyle Lowry UTIL Victor Oladipo G Kelly Oubre Jr. PF Kelly Olynyk F Bam Adebayo SG Alec Burks",NA,"DeMarcus Cousins","C","8.66%",49.25
29,939330051,"Dmartinizer",0,311.5,"UTIL Andre Drummond PF LaMarcus Aldridge G Victor Oladipo SF Otto Porter PG Reggie Jackson F Zach Randolph SG Tomas Satoransky C Zaza Pachulia",NA,"Nikola Vucevic","C","8.45%",17.75
35,939456428,"Jazz12man (6/8)",0,311.25,"C Andre Drummond PG Victor Oladipo SF Aaron Gordon SG Donovan Mitchell G Elfrid Payton UTIL Michael Carter-Williams F JaMychal Green PF Bam Adebayo",NA,"Paul George","SF","8.41%",62
