"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",11400,"MIN@OKC 12/01/2017 08:00PM ET",52.763,"OKC"
"PF/C","DeMarcus Cousins",10900,"NO@UTA 12/01/2017 09:00PM ET",55.048,"NO"
"PF/C","Anthony Davis",10400,"NO@UTA 12/01/2017 09:00PM ET",49.475,"NO"
"PG/SG","Stephen Curry",9900,"GS@ORL 12/01/2017 07:00PM ET",46.225,"GS"
"SF/PF","Kevin Durant",9600,"GS@ORL 12/01/2017 07:00PM ET",45.838,"GS"
"C","Andre Drummond",8800,"DET@WAS 12/01/2017 07:00PM ET",43.5,"DET"
"C","Karl-Anthony Towns",8600,"MIN@OKC 12/01/2017 08:00PM ET",41.716,"MIN"
"PF/C","LaMarcus Aldridge",8500,"SA@MEM 12/01/2017 08:00PM ET",40.69,"SA"
"PG","John Wall",8500,"DET@WAS 12/01/2017 07:00PM ET",42.313,"WAS"
"SF/PF","Kawhi Leonard",8200,"SA@MEM 12/01/2017 08:00PM ET",0,"SA"
"SF","Paul George",8200,"MIN@OKC 12/01/2017 08:00PM ET",39.475,"OKC"
"PG","Kyle Lowry",8100,"IND@TOR 12/01/2017 07:30PM ET",37.988,"TOR"
"PG/SG","Victor Oladipo",8000,"IND@TOR 12/01/2017 07:30PM ET",40.119,"IND"
"SG","Bradley Beal",7900,"DET@WAS 12/01/2017 07:00PM ET",37.381,"WAS"
"SG/SF","DeMar DeRozan",7900,"IND@TOR 12/01/2017 07:30PM ET",37.55,"TOR"
"C","Marc Gasol",7800,"SA@MEM 12/01/2017 08:00PM ET",40.225,"MEM"
"SF/PF","Aaron Gordon",7600,"GS@ORL 12/01/2017 07:00PM ET",36.913,"ORL"
"C","Hassan Whiteside",7600,"CHA@MIA 12/01/2017 08:00PM ET",36.95,"MIA"
"C","Rudy Gobert",7500,"NO@UTA 12/01/2017 09:00PM ET",35.042,"UTA"
"PG","Kemba Walker",7500,"CHA@MIA 12/01/2017 08:00PM ET",38.289,"CHA"
"C","Dwight Howard",7500,"CHA@MIA 12/01/2017 08:00PM ET",35.925,"CHA"
"PF/C","Draymond Green",7400,"GS@ORL 12/01/2017 07:00PM ET",34.845,"GS"
"SG","Jimmy Butler",7300,"MIN@OKC 12/01/2017 08:00PM ET",34.875,"MIN"
"C","Nikola Vucevic",7200,"GS@ORL 12/01/2017 07:00PM ET",35.864,"ORL"
"PG","Goran Dragic",7000,"CHA@MIA 12/01/2017 08:00PM ET",31.345,"MIA"
"SG","Klay Thompson",6900,"GS@ORL 12/01/2017 07:00PM ET",33.239,"GS"
"SG/SF","Tyreke Evans",6800,"SA@MEM 12/01/2017 08:00PM ET",32.1,"MEM"
"SF/PF","Andrew Wiggins",6700,"MIN@OKC 12/01/2017 08:00PM ET",30.92,"MIN"
"SF/PF","Carmelo Anthony",6700,"MIN@OKC 12/01/2017 08:00PM ET",33.684,"OKC"
"PG/SG","Donovan Mitchell",6600,"NO@UTA 12/01/2017 09:00PM ET",27.238,"UTA"
"PF/C","Derrick Favors",6500,"NO@UTA 12/01/2017 09:00PM ET",26.464,"UTA"
"PG","Mike Conley",6500,"SA@MEM 12/01/2017 08:00PM ET",28.771,"MEM"
"PG","Jeff Teague",6500,"MIN@OKC 12/01/2017 08:00PM ET",33.167,"MIN"
"SF/PF","Otto Porter",6500,"DET@WAS 12/01/2017 07:00PM ET",32.263,"WAS"
"SG/SF","Dion Waiters",6400,"CHA@MIA 12/01/2017 08:00PM ET",26.368,"MIA"
"SF/PF","Tobias Harris",6300,"DET@WAS 12/01/2017 07:00PM ET",31.113,"DET"
"C","Myles Turner",6300,"IND@TOR 12/01/2017 07:30PM ET",30.933,"IND"
"PG/SG","Kris Dunn",6200,"SAC@CHI 12/01/2017 08:00PM ET",27.033,"CHI"
"PG/SG","Jrue Holiday",6200,"NO@UTA 12/01/2017 09:00PM ET",32.095,"NO"
"PG","Elfrid Payton",6100,"GS@ORL 12/01/2017 07:00PM ET",28.635,"ORL"
"PF","Lauri Markkanen",6000,"SAC@CHI 12/01/2017 08:00PM ET",30.092,"CHI"
"PF/C","Pau Gasol",6000,"SA@MEM 12/01/2017 08:00PM ET",29.512,"SA"
"PG","Reggie Jackson",6000,"DET@WAS 12/01/2017 07:00PM ET",29.513,"DET"
"SG/SF","Nicolas Batum",6000,"CHA@MIA 12/01/2017 08:00PM ET",21.75,"CHA"
"PF","James Johnson",5900,"CHA@MIA 12/01/2017 08:00PM ET",27.263,"MIA"
"SG/SF","Justin Holiday",5800,"SAC@CHI 12/01/2017 08:00PM ET",27.806,"CHI"
"C","Steven Adams",5800,"MIN@OKC 12/01/2017 08:00PM ET",28,"OKC"
"PG/SG","Avery Bradley",5800,"DET@WAS 12/01/2017 07:00PM ET",26.2,"DET"
"PG","Darren Collison",5800,"IND@TOR 12/01/2017 07:30PM ET",28.443,"IND"
"SG/SF","Denzel Valentine",5700,"SAC@CHI 12/01/2017 08:00PM ET",24.395,"CHI"
"SG/SF","Rodney Hood",5700,"NO@UTA 12/01/2017 09:00PM ET",25.986,"UTA"
"PG","Mario Chalmers",5700,"SA@MEM 12/01/2017 08:00PM ET",20.829,"MEM"
"PF/C","Taj Gibson",5700,"MIN@OKC 12/01/2017 08:00PM ET",26.386,"MIN"
"SG/SF","Jeremy Lamb",5700,"CHA@MIA 12/01/2017 08:00PM ET",30.375,"CHA"
"PG","Ricky Rubio",5600,"NO@UTA 12/01/2017 09:00PM ET",27.888,"UTA"
"SF/PF","Thaddeus Young",5600,"IND@TOR 12/01/2017 07:30PM ET",27.773,"IND"
"SG/SF","Evan Fournier",5500,"GS@ORL 12/01/2017 07:00PM ET",29.216,"ORL"
"PG/SF","Kyle Anderson",5500,"SA@MEM 12/01/2017 08:00PM ET",25.429,"SA"
"PF/C","Willie Cauley-Stein",5400,"SAC@CHI 12/01/2017 08:00PM ET",24.619,"SAC"
"PF/C","Domantas Sabonis",5300,"IND@TOR 12/01/2017 07:30PM ET",28.113,"IND"
"PF/C","Zach Randolph",5200,"SAC@CHI 12/01/2017 08:00PM ET",24.803,"SAC"
"C","Robin Lopez",5100,"SAC@CHI 12/01/2017 08:00PM ET",24.224,"CHI"
"SG/SF","Jonathon Simmons",5100,"GS@ORL 12/01/2017 07:00PM ET",21.216,"ORL"
"PF/C","Nikola Mirotic",5000,"SAC@CHI 12/01/2017 08:00PM ET",0,"CHI"
"SG/SF","Joe Ingles",4900,"NO@UTA 12/01/2017 09:00PM ET",24.369,"UTA"
"C","Marcin Gortat",4900,"DET@WAS 12/01/2017 07:00PM ET",25.25,"WAS"
"PF","Bobby Portis",4800,"SAC@CHI 12/01/2017 08:00PM ET",25.545,"CHI"
"SG/SF","Kelly Oubre Jr.",4800,"DET@WAS 12/01/2017 07:00PM ET",23.298,"WAS"
"PF/C","Serge Ibaka",4800,"IND@TOR 12/01/2017 07:30PM ET",22.833,"TOR"
"C","Jonas Valanciunas",4800,"IND@TOR 12/01/2017 07:30PM ET",21.219,"TOR"
"PG/SG","Zach LaVine",4700,"SAC@CHI 12/01/2017 08:00PM ET",0,"CHI"
"PG","Rajon Rondo",4700,"NO@UTA 12/01/2017 09:00PM ET",17.875,"NO"
"SF/PF","Rudy Gay",4700,"SA@MEM 12/01/2017 08:00PM ET",23.063,"SA"
"PG/SG","Tyus Jones",4700,"MIN@OKC 12/01/2017 08:00PM ET",13.636,"MIN"
"SG/SF","Buddy Hield",4600,"SAC@CHI 12/01/2017 08:00PM ET",21.842,"SAC"
"SF/PF","Markieff Morris",4600,"DET@WAS 12/01/2017 07:00PM ET",17.732,"WAS"
"SG/SF","Josh Richardson",4600,"CHA@MIA 12/01/2017 08:00PM ET",19.083,"MIA"
"SG/SF","Bojan Bogdanovic",4600,"IND@TOR 12/01/2017 07:30PM ET",22.761,"IND"
"PG/SG","Jerian Grant",4500,"SAC@CHI 12/01/2017 08:00PM ET",21.947,"CHI"
"SG/SF","Lance Stephenson",4500,"IND@TOR 12/01/2017 07:30PM ET",19.432,"IND"
"PG","De'Aaron Fox",4400,"SAC@CHI 12/01/2017 08:00PM ET",21.571,"SAC"
"PG/SG","Tyler Johnson",4400,"CHA@MIA 12/01/2017 08:00PM ET",19.55,"MIA"
