"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,936163895,"MisterJ5 (17/20)",0,286.5,"PF Derrick Favors PG Ricky Rubio SF Jonas Jerebko SG Gary Harris UTIL Donovan Mitchell C John Henson G Eric Bledsoe F Giannis Antetokounmpo",NA,"Giannis Antetokounmpo","UTIL","83.94%",57.25
2,936370924,"steelbac (13/20)",0,278.25,"F Derrick Favors PG Ricky Rubio SG Gary Harris G Donovan Mitchell PF Juancho Hernangómez UTIL Eric Bledsoe C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Nikola Jokic","C","70.14%",27
3,936307253,"CMerc3",0,275.5,"PF Kenneth Faried F Derrick Favors PG Ricky Rubio G Donovan Mitchell SG Eric Bledsoe UTIL Malcolm Brogdon C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Eric Bledsoe","PG","66.36%",42.25
4,936071525,"perilous (4/20)",0,272.75,"C Derrick Favors PG Ricky Rubio F Joe Ingles SG Gary Harris UTIL Donovan Mitchell SF Juancho Hernangómez G Eric Bledsoe PF Giannis Antetokounmpo",NA,"Willie Cauley-Stein","PF","61.98%",23.5
5,936095848,"scocrazie (2/2)",0,271.75,"F Kenneth Faried C Derrick Favors UTIL Gary Harris SG Donovan Mitchell G Eric Bledsoe PG Malcolm Brogdon PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Donovan Mitchell","G","60.22%",26.75
5,936150928,"mannyz1 (4/4)",0,271.75,"PF Kenneth Faried F Derrick Favors G Gary Harris UTIL Donovan Mitchell SG Eric Bledsoe PG Malcolm Brogdon C Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Joe Ingles","SF","47.77%",18
5,936538657,"Stevmac (2/2)",0,271.75,"C Kenneth Faried F Derrick Favors UTIL Gary Harris G Donovan Mitchell SG Eric Bledsoe PG Malcolm Brogdon PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Gary Harris","SG","39.44%",26.25
8,935987370,"PowerTron (6/20)",0,271.25,"F Derrick Favors UTIL Jonas Jerebko SG Joe Ingles C Nikola Jokic G Garrett Temple PG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Derrick Favors","PF","38.94%",50.25
8,936180553,"mgabes (4/20)",0,271.25,"UTIL Derrick Favors SF Jonas Jerebko G Joe Ingles C Nikola Jokic PG Garrett Temple SG Eric Bledsoe PF Willie Cauley-Stein F Giannis Antetokounmpo",NA,"Kenneth Faried","PF","32.46%",20
10,935887224,"ericb1973",0,270.75,"PF Kenneth Faried C Derrick Favors G Ricky Rubio F Joe Ingles UTIL Gary Harris PG Donovan Mitchell SG Eric Bledsoe SF Giannis Antetokounmpo",NA,"Ricky Rubio","PG","31.54%",30
10,935914497,"qmiya2",0,270.75,"C Kenneth Faried PF Derrick Favors UTIL Ricky Rubio SF Joe Ingles SG Gary Harris G Donovan Mitchell PG Eric Bledsoe F Giannis Antetokounmpo",NA,"Will Barton","SG","28.34%",14.5
12,936264390,"okelly36 (1/2)",0,270.5,"PF Derrick Favors PG Ricky Rubio SG Gary Harris UTIL Zach Randolph C John Henson G Eric Bledsoe F Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Zach Randolph","UTIL","27.08%",18.75
13,936119276,"Reese219",0,269.5,"C Derrick Favors G Ricky Rubio F Joe Ingles SG Donovan Mitchell UTIL Garrett Temple PG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Khris Middleton","SG","24.89%",22
14,935869667,"mikebizzy",0,268.5,"F Kenneth Faried C Derrick Favors G Gary Harris PG Donovan Mitchell UTIL John Henson SG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"John Henson","UTIL","18.59%",22.25
14,936282098,"jadbear94 (5/20)",0,268.5,"PF Kenneth Faried C Derrick Favors SG Gary Harris PG Donovan Mitchell UTIL John Henson G Eric Bledsoe F Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Malcolm Brogdon","SG","18.17%",25.5
14,936370918,"steelbac (7/20)",0,268.5,"UTIL Kenneth Faried PF Derrick Favors SG Gary Harris PG Donovan Mitchell C John Henson G Eric Bledsoe F Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Buddy Hield","SG","15.56%",17.5
17,935870951,"Royclements",0,268,"C Kenneth Faried UTIL Derrick Favors PG Ricky Rubio SF Joe Ingles SG Donovan Mitchell G Eric Bledsoe PF Willie Cauley-Stein F Giannis Antetokounmpo",NA,"Jamal Murray","G","13.20%",14.75
17,935914230,"KzzyC",0,268,"PF Kenneth Faried F Derrick Favors G Gary Harris C Nikola Jokic PG Eric Bledsoe UTIL Willie Cauley-Stein SF Giannis Antetokounmpo SG Frank Mason III",NA,"George Hill","UTIL","12.53%",7.5
17,936188886,"derekgielarowski",0,268,"F Kenneth Faried UTIL Derrick Favors SG Gary Harris C Nikola Jokic PG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo G Frank Mason III",NA,"Frank Mason III","SG","11.02%",21.5
17,936264440,"okelly36 (2/2)",0,268,"C Kenneth Faried F Derrick Favors G Ricky Rubio UTIL Joe Ingles SG Donovan Mitchell PG Eric Bledsoe PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Rodney Hood","G","10.60%",0
21,936163892,"MisterJ5 (14/20)",0,267.75,"UTIL Derrick Favors PG Ricky Rubio SF Jonas Jerebko C Nikola Jokic SG Donovan Mitchell PF Willie Cauley-Stein F Giannis Antetokounmpo G Frank Mason III",NA,"De'Aaron Fox","G","9.84%",7.25
22,936566279,"dmh1962 (5/11)",0,267.5,"F Derrick Favors G Gary Harris SG Donovan Mitchell C John Henson PG Eric Bledsoe UTIL Tony Snell PF Willie Cauley-Stein SF Giannis Antetokounmpo",NA,"Juancho Hernangómez","F","9.67%",22
