"Place_lo","Place_hi","Payout"
"1","1","500"
"2","2","250"
"3","3","100"
"4","4","75"
"5","5","50"
"6","6","40"
"7","8","30"
"9","10","25"
"11","15","20"
"16","20","15"
"21","30","12"
"31","45","10"
"46","65","8"
"66","105","6"
"106","311","5"
