"Place_lo","Place_hi","Payout"
"1","1","50"
"2","2","40"
"3","3","30"
"4","4","25"
"5","5","20"
"6","6","15"
"7","7","12"
"8","8","10"
"9","10","9"
"11","15","8"
"16","20","7"
"21","25","6"
"26","30","5"
"31","40","4.5"
"41","50","4"
"51","60","3.5"
"61","70","3"
"71","95","2.5"
"96","120","2"
"121","170","1.5"
"171","270","1.25"
"271","570","1"
"571","1370","0.75"
"1371","2945","0.5"
