Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
8.5,Antonio,1.0,Pit@Mia 01:00PM ET,7572050,Brown,Antonio Brown,Antonio Brown (7572050),MIA,WR,24.54,23.6,23.6,23.66,22.532806279,22.3983192949,1.0,0.297435897436,10000,PIT,1.0,0.0
29.9,Julio,0.0,Atl@Sea 04:25PM ET,7572084,Jones,Julio Jones,Julio Jones (7572084),SEA,WR,18.09,21.2,21.2,17.42,19.0640008756,18.7039973656,1.0,0.247058823529,8900,ATL,1.0,0.0
44.2,Odell,1.0,Bal@NYG 01:00PM ET,7572011,Beckham,Odell Beckham,Odell Beckham Jr. (7572011),BAL,WR,19.14,17.4,17.4,18.68,16.924875738,16.8890476787,1.0,0.283505154639,8800,NYG,2.0,0.0
14.8,A.J.,1.0,Cin@NE 01:00PM ET,7572063,Green,A.J. Green,A.J. Green (7572063),NE,WR,19.24,23.3,23.3,18.68,20.7612949983,20.3268016223,1.0,0.287958115183,8600,CIN,1.0,0.0
31.0,Cam,1.0,Car@NO 01:00PM ET,7571815,Newton,Cam Newton,Cam Newton (7571815),NO,QB,27.67,27.4,27.4,22.2,25.9164301827,25.7106065425,0.0,0.0,8100,CAR,1.0,0.0
16.6,Kelvin,1.0,Car@NO 01:00PM ET,7572022,Benjamin,Kelvin Benjamin,Kelvin Benjamin (7572022),NO,WR,20.0,16.1,16.1,17.06,16.3421683062,16.4475340032,2.0,0.197860962567,8100,CAR,3.0,0.0
10.8,Jordy,1.0,Dal@GB 04:25PM ET,7572092,Nelson,Jordy Nelson,Jordy Nelson (7572092),DAL,WR,18.9,18.0,18.0,20.33,17.2405378629,17.1490353784,1.0,0.27027027027,8000,GB,2.0,0.0
36.6,Drew,1.0,Car@NO 01:00PM ET,7571811,Brees,Drew Brees,Drew Brees (7571811),CAR,QB,27.41,22.9,22.9,18.74,22.9356466717,23.0227764559,0.0,0.0,7900,NO,2.0,0.0
18.8,Le'Veon,0.0,Pit@Mia 01:00PM ET,7571921,Bell,Le'Veon Bell,Le'Veon Bell (7571921),MIA,RB,23.58,29.7,29.7,18.33,26.1826738098,25.5716853723,5.0,0.0923076923077,7900,PIT,1.0,0.0
7.9,Allen,1.0,Jax@Chi 01:00PM ET,7572037,Robinson,Allen Robinson,Allen Robinson (7572037),CHI,WR,19.94,17.0,17.0,19.59,16.9049795869,16.9449799711,1.0,0.282208588957,7800,JAX,3.0,0.0
12.5,DeMarco,1.0,Cle@Ten 01:00PM ET,7571874,Murray,DeMarco Murray,DeMarco Murray (7571874),CLE,RB,21.4,21.5,21.5,18.15,20.243035471,20.0626677306,3.0,0.152941176471,7700,TEN,2.0,0.0
30.2,Tom,1.0,Cin@NE 01:00PM ET,7571833,Brady,Tom Brady,Tom Brady (7571833),CIN,QB,25.09,22.2,22.2,19.47,21.793284051,21.7880991815,0.0,0.0,7700,NE,2.0,0.0
7.9,T.Y.,1.0,Ind@Hou 08:30PM ET,7572104,Hilton,T.Y. Hilton,T.Y. Hilton (7572104),HOU,WR,20.88,15.4,15.4,16.89,16.1525320135,16.3591438566,1.0,0.284360189573,7700,IND,4.0,0.0
33.5,Brandin,1.0,Car@NO 01:00PM ET,7572023,Cooks,Brandin Cooks,Brandin Cooks (7572023),CAR,WR,17.56,16.3,16.3,15.16,15.7447533475,15.688809813,1.0,0.190751445087,7600,NO,3.0,0.0
11.6,Ben,1.0,Pit@Mia 01:00PM ET,7571829,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (7571829),MIA,QB,24.48,23.4,23.4,20.07,22.3859037938,22.2615066665,0.0,0.0,7500,PIT,0.0,0.0
25.9,Amari,1.0,KC@Oak 04:05PM ET,7572076,Cooper,Amari Cooper,Amari Cooper (7572076),KC,WR,17.85,14.7,14.7,17.2,14.7987832388,14.8701341258,1.0,0.268656716418,7500,OAK,5.0,0.0
