"Place_lo","Place_hi","Payout"
"1","1","100"
"2","2","75"
"3","3","50"
"4","4","30"
"5","5","15"
"6","6","12"
"7","7","10"
"8","8","9"
"9","10","8"
"11","15","7"
"16","20","6"
"21","25","5"
"26","30","4.5"
"31","40","4"
"41","60","3.5"
"61","85","3"
"86","110","2.5"
"111","135","2"
"136","210","1.5"
"211","310","1.25"
"311","510","1"
"511","960","0.75"
"961","1956","0.5"
