"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Name.Clean","FreqInd","Actual","ValueWR","TierRank"
"QB","Aaron Rodgers (7395360)","Aaron Rodgers",7395360,7800,"GB@Min 08:30PM ET","GB","Aaron","Rodgers","Min",22.05,19.5,20.22,19.5,0,0,21.8012378436368,NA,"Aaron Rodgers",0,19.4,0,4
"QB","Andrew Luck (7395356)","Andrew Luck",7395356,7700,"Ind@Den 04:25PM ET","Ind","Andrew","Luck","Den",17.83,17.5,16.08,17.5,0,0,18.474602000865,NA,"Andrew Luck",0,12.1,0,7
"QB","Eli Manning (7395309)","Eli Manning",7395309,7600,"NO@NYG 01:00PM ET","NYG","Eli","Manning","NO",22.35,22.2,21.96,22.2,0,0,23.2867606523567,NA,"Eli Manning",0,16.3,0,2
"RB","David Johnson (7395452)","David Johnson",7395452,7600,"TB@Ari 04:05PM ET","Ari","David","Johnson","TB",20.28,18.5,21.19,18.5,3,0.153846153846154,20.3272562381426,NA,"David Johnson",1,17.3,0,1
"WR","Amari Cooper (7395616)","Amari Cooper",7395616,7600,"Atl@Oak 04:25PM ET","Oak","Amari","Cooper","Atl",16.16,16,19.01,16,1,0.317073170731707,16.8121480371923,NA,"Amari Cooper",1,12.1,0,4
"QB","Ben Roethlisberger (7395302)","Ben Roethlisberger",7395302,7500,"Cin@Pit 01:00PM ET","Pit","Ben","Roethlisberger","Cin",24.15,18.2,17.32,18.2,0,0,22.3358533042571,NA,"Ben Roethlisberger",0,21.8,0,6
"RB","Todd Gurley (7395444)","Todd Gurley",7395444,7500,"Sea@LA 04:05PM ET","LA","Todd","Gurley","Sea",14.26,13.9,16.86,13.9,6,0.0588235294117647,14.7286222126404,NA,"Todd Gurley",0,8,0,3
"WR","Keenan Allen (7395603)","Keenan Allen",7395603,7500,"Jax@SD 04:25PM ET","SD","Keenan","Allen","Jax",0,0,0,0,2,0.205128205128205,0,NA,"Keenan Allen",0,0,0,0
"WR","Jordy Nelson (7395631)","Jordy Nelson",7395631,7500,"GB@Min 08:30PM ET","GB","Jordy","Nelson","Min",17.52,15.7,16.93,15.7,2,0.243243243243243,17.4229975948123,NA,"Jordy Nelson",1,18.3,0,4
"QB","Russell Wilson (7395335)","Russell Wilson",7395335,7400,"Sea@LA 04:05PM ET","Sea","Russell","Wilson","LA",20.49,19.2,18.97,19.2,10,0,20.7860225706575,NA,"Russell Wilson",0,11.6,0,5
"WR","Randall Cobb (7395634)","Randall Cobb",7395634,7400,"GB@Min 08:30PM ET","GB","Randall","Cobb","Min",16.67,14.4,14.69,14.4,1,0.27027027027027,16.3148420793135,NA,"Randall Cobb",0,9.3,0,4
"RB","Ezekiel Elliott (7395380)","Ezekiel Elliott",7395380,7300,"Dal@Was 01:00PM ET","Dal","Ezekiel","Elliott","Was",16.07,16.4,20.71,16.4,5,0.0444444444444444,16.9573572085618,NA,"Ezekiel Elliott",0,15.7,0,2
"QB","Matthew Stafford (7395326)","Matthew Stafford",7395326,7300,"Ten@Det 01:00PM ET","Det","Matthew","Stafford","Ten",24.55,22,20.28,22,0,0,24.4142141865149,NA,"Matthew Stafford",0,16.5,0,2
"RB","Lamar Miller (7395414)","Lamar Miller",7395414,7200,"KC@Hou 01:00PM ET","Hou","Lamar","Miller","KC",18.29,16.1,19.16,16.1,3,0.114285714285714,18.0471162710843,NA,"Lamar Miller",1,11.7,0,2
