"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Actual"
"DST","Panthers  (7396127)","Panthers ",7396127,3900,"SF@Car 01:00PM ET","CAR","Panthers",NA,"SF",12.34,11,8.74,14
"DST","Seahawks  (7396143)","Seahawks ",7396143,3800,"Sea@LA 04:05PM ET","SEA","Seahawks",NA,"LA",12.28,8.7,9.72,7
"DST","Broncos  (7396150)","Broncos ",7396150,3600,"Ind@Den 04:25PM ET","DEN","Broncos",NA,"Ind",10.76,10.2,9.31,22
"DST","Cardinals  (7396144)","Cardinals ",7396144,3500,"TB@Ari 04:05PM ET","ARI","Cardinals",NA,"TB",9.31,8.6,7.39,22
"DST","Texans  (7396136)","Texans ",7396136,3400,"KC@Hou 01:00PM ET","HOU","Texans",NA,"KC",7.1,6.7,8.23,14
"DST","Vikings  (7396153)","Vikings ",7396153,3400,"GB@Min 08:30PM ET","MIN","Vikings",NA,"GB",6.67,7,6.41,12
"DST","Rams  (7396142)","Rams ",7396142,3300,"Sea@LA 04:05PM ET","LA","Rams",NA,"Sea",5.15,7.7,6.92,11
"DST","Chiefs  (7396137)","Chiefs ",7396137,3200,"KC@Hou 01:00PM ET","KC","Chiefs",NA,"Hou",8.85,8.5,7.28,7
"DST","Packers  (7396152)","Packers ",7396152,3200,"GB@Min 08:30PM ET","GB","Packers",NA,"Min",8.11,7.3,7.99,5
"DST","Patriots  (7396135)","Patriots ",7396135,3000,"Mia@NE 01:00PM ET","NE","Patriots",NA,"Mia",10.63,9.4,8.08,8
"DST","Ravens  (7396141)","Ravens ",7396141,3000,"Bal@Cle 01:00PM ET","BAL","Ravens",NA,"Cle",7.82,7.5,8.03,10
"DST","Steelers  (7396131)","Steelers ",7396131,2900,"Cin@Pit 01:00PM ET","PIT","Steelers",NA,"Cin",7.8,7.5,7.33,6
"DST","Redskins  (7396129)","Redskins ",7396129,2800,"Dal@Was 01:00PM ET","WAS","Redskins",NA,"Dal",8,7.2,7.13,6
"DST","Bengals  (7396130)","Bengals ",7396130,2800,"Cin@Pit 01:00PM ET","CIN","Bengals",NA,"Pit",7.18,7.3,6.74,5
"DST","Lions  (7396138)","Lions ",7396138,2800,"Ten@Det 01:00PM ET","DET","Lions",NA,"Ten",7.65,8.1,8.41,8
"DST","Raiders  (7396149)","Raiders ",7396149,2700,"Atl@Oak 04:25PM ET","OAK","Raiders",NA,"Atl",6.58,7.9,6.48,-1
"DST","Colts  (7396151)","Colts ",7396151,2700,"Ind@Den 04:25PM ET","IND","Colts",NA,"Den",5.31,6.5,6.84,3
"DST","Giants  (7396133)","Giants ",7396133,2600,"NO@NYG 01:00PM ET","NYG","Giants",NA,"NO",5.99,7.6,5.99,8
"DST","Dolphins  (7396134)","Dolphins ",7396134,2500,"Mia@NE 01:00PM ET","MIA","Dolphins",NA,"NE",6.89,5.6,6.22,3
"DST","Browns  (7396140)","Browns ",7396140,2500,"Bal@Cle 01:00PM ET","CLE","Browns",NA,"Bal",6.31,7,5.82,8
"DST","Chargers  (7396146)","Chargers ",7396146,2500,"Jax@SD 04:25PM ET","SD","Chargers",NA,"Jax",6.74,7.3,7.68,9
"DST","49ers  (7396126)","49ers ",7396126,2400,"SF@Car 01:00PM ET","SF","49ers",NA,"Car",5.59,3.9,6.66,7
"DST","Cowboys  (7396128)","Cowboys ",7396128,2400,"Dal@Was 01:00PM ET","DAL","Cowboys",NA,"Was",5.88,5.1,6.14,4
"DST","Saints  (7396132)","Saints ",7396132,2300,"NO@NYG 01:00PM ET","NO","Saints",NA,"NYG",5.4,5.8,6.62,9
"DST","Jaguars  (7396147)","Jaguars ",7396147,2300,"Jax@SD 04:25PM ET","JAX","Jaguars",NA,"SD",6.93,6.6,6.73,1
"DST","Falcons  (7396148)","Falcons ",7396148,2300,"Atl@Oak 04:25PM ET","ATL","Falcons",NA,"Oak",4.88,5.6,5.7,0
"DST","Titans  (7396139)","Titans ",7396139,2200,"Ten@Det 01:00PM ET","TEN","Titans",NA,"Det",6.78,6.1,6.71,7
"DST","Buccaneers  (7396145)","Buccaneers ",7396145,2200,"TB@Ari 04:05PM ET","TB","Buccaneers",NA,"Ari",5.23,6,5.87,0
