"","2017-04-02","2017-04-03","2017-04-04","2017-04-05"
"Rio Ruiz_ATL",NA,NA,NA,NA
"Carlos Ruiz_SEA",NA,NA,NA,NA
"Nick Ahmed_ARI",NA,NA,NA,7
"Derek Norris_TB",3,NA,0,14
"Daniel Robertson_TB",NA,NA,0,NA
"Emilio Bonifacio_ATL",NA,NA,NA,NA
"Luke Maile_TB",NA,NA,NA,NA
"Darwin Barney_TOR",NA,NA,NA,NA
"Peter Bourjos_TB",NA,NA,2,NA
"Kurt Suzuki_ATL",NA,NA,NA,5
"Ty Kelly_NYM",NA,NA,NA,NA
"Rene Rivera_NYM",NA,3,NA,NA
"Jeff Mathis_ARI",18,NA,0,NA
"Jesus Sucre_TB",NA,NA,NA,NA
"Ryan Goins_TOR",NA,NA,NA,NA
"Rickie Weeks_TB",NA,NA,0,NA
"Anthony Recker_ATL",NA,NA,NA,NA
