"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
23,719438287,"youdacao (104/150)",0,156.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Jean Segura OF George Springer OF David Peralta OF A.J. Pollock",NA,"Jean Segura","15.93%",13
23,719983564,"elite3200 (2/4)",0,156.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF José Bautista OF George Springer OF David Peralta",NA,"Marwin González","15.76%",16
23,720004444,"Chaimkazen (4/5)",0,156.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Eduardo Núñez OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Russell Martin","15.05%",4
26,720039134,"JPSTAXX",0,155.65,"P Marcus Stroman P Matt Harvey C Travis d'Arnaud 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Troy Tulowitzki OF George Springer OF David Peralta OF A.J. Pollock",NA,"Eduardo Núñez","14.67%",2
26,720169894,"going4broke (1/2)",0,155.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Neil Walker 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Chris Herrmann","13.88%",10
28,719775327,"saunders1944",0,154.65,"P Marcus Stroman P Matt Harvey C Brian McCann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Brian McCann","13.21%",3
28,719899085,"allornothing1",0,154.65,"P Marcus Stroman P Matt Harvey C Brian McCann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Freddie Freeman","12.02%",0
28,720067574,"tkoblow (2/150)",0,154.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Kendrys Morales 2B Neil Walker 3B Marwin González SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Kendrys Morales","11.99%",20
28,720107532,"bostoneagle5 (8/9)",0,154.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Chris Owings OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Jaime García","11.80%",0.7
32,719438280,"youdacao (97/150)",0,153.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Chris Owings OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"Blake Snell","11.23%",12.2
32,719887747,"SaahilSud (127/150)",0,153.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Daniel Descalso 3B Jake Lamb SS José Reyes OF George Springer OF David Peralta OF A.J. Pollock",NA,"Gorkys Hernández","10.73%",0
34,719932162,"BadNewz",0,153.35,"P Matt Harvey P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF Yoenis Céspedes OF George Springer OF David Peralta",NA,"Troy Tulowitzki","9.97%",0
35,719572008,"drafthero2015 (2/121)",0,152.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Neil Walker 3B Jake Lamb SS Jean Segura OF David Peralta OF A.J. Pollock OF Chris Owings",NA,"Kyle Seager","9.22%",5
35,719979000,"moklovin (26/60)",0,152.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Marwin González 2B José Altuve 3B Jake Lamb SS Brandon Crawford OF George Springer OF David Peralta OF A.J. Pollock",NA,"Chris Owings","9.05%",0
35,720061738,"Cuzzy2",0,152.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Brandon Crawford OF George Springer OF David Peralta OF A.J. Pollock",NA,"Wilmer Flores","8.68%",16
38,719438252,"youdacao (69/150)",0,151.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Daniel Descalso OF George Springer OF David Peralta OF A.J. Pollock",NA,"José Reyes","8.50%",5
38,719438271,"youdacao (88/150)",0,151.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Asdrúbal Cabrera OF George Springer OF David Peralta OF A.J. Pollock",NA,"Matt Kemp","7.29%",28
38,719805547,"shawnzhan (68/150)",0,151.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Neil Walker 3B Jake Lamb SS Asdrúbal Cabrera OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Mitch Haniger","6.69%",21
38,719848010,"smadog",0,151.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Eduardo Núñez OF Hunter Pence OF David Peralta OF A.J. Pollock",NA,"Brandon Crawford","6.02%",7
38,719887700,"SaahilSud (80/150)",0,151.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B José Reyes SS Asdrúbal Cabrera OF George Springer OF David Peralta OF A.J. Pollock",NA,"Corey Dickerson","5.38%",8
38,719887754,"SaahilSud (134/150)",0,151.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF Curtis Granderson OF David Peralta OF A.J. Pollock",NA,"Asdrúbal Cabrera","5.35%",5
38,719943631,"loganfranchise",0,151.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Eduardo Núñez OF Hunter Pence OF David Peralta OF A.J. Pollock",NA,"Evan Longoria","4.98%",7
45,720116176,"chickenhawk17 (2/6)",0,151.35,"P Matt Harvey P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Travis d'Arnaud","4.48%",9
46,719966980,"Cvick20",0,150.9,"P Marcus Stroman P Joe Musgrove C Buster Posey 1B Paul Goldschmidt 2B José Altuve 3B Jake Lamb SS José Reyes OF Matt Kemp OF David Peralta OF A.J. Pollock",NA,"Kevin Kiermaier","4.09%",2
47,719438260,"youdacao (77/150)",0,150.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Daniel Descalso 3B Jake Lamb SS Eduardo Núñez OF George Springer OF David Peralta OF A.J. Pollock",NA,"Neil Walker","3.82%",10
47,719572007,"drafthero2015 (1/121)",0,150.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF David Peralta OF A.J. Pollock OF Chris Owings",NA,"Curtis Granderson","3.77%",3
47,719887755,"SaahilSud (135/150)",0,150.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF David Peralta OF A.J. Pollock OF Chris Owings",NA,"Ender Inciarte","3.65%",3
47,719944996,"plord64 (10/40)",0,150.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS José Reyes OF George Springer OF David Peralta OF A.J. Pollock",NA,"Yuli Gurriel","3.62%",0
51,719624373,"suidmach (20/30)",0,149.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Marwin González SS Troy Tulowitzki OF José Bautista OF George Springer OF David Peralta",NA,"Danny Valencia","2.95%",2
51,719744999,"Awesemo (94/150)",0,149.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Marwin González SS Chris Owings OF Mitch Haniger OF George Springer OF David Peralta",NA,"Carlos Ruiz","2.77%",4
51,719820947,"windchimesRrude (63/80)",0,149.65,"P Marcus Stroman P Blake Snell C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Jake Marisnick","2.72%",0
51,719887746,"SaahilSud (126/150)",0,149.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Chris Owings OF Hunter Pence OF David Peralta OF A.J. Pollock",NA,"Logan Morrison","2.55%",5
51,720149316,"kirkdiese (2/4)",0,149.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Kendrys Morales 2B José Altuve 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Jay Bruce","2.51%",4
56,720080993,"kidsamuru (1/4)",0,149.4,"P Blake Snell P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Tyler Flowers","2.50%",3
57,719838328,"boggslite (12/20)",0,149.35,"P Matt Harvey P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Nelson Cruz OF Mitch Haniger OF David Peralta",NA,"Jeff Mathis","2.33%",4
57,720063219,"devobrain (2/3)",0,149.35,"P Matt Harvey P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B José Altuve 3B Marwin González SS Jean Segura OF George Springer OF David Peralta OF A.J. Pollock",NA,"Jarrod Dyson","2.26%",5
57,720167342,"tomjk321 (40/40)",0,149.35,"P Matt Harvey P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Nelson Cruz OF Mitch Haniger OF David Peralta",NA,"Brad Miller","2.20%",7
60,720075554,"plord64 (27/40)",0,148.9,"P Marcus Stroman P Joe Musgrove C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Dansby Swanson","2.13%",0
60,720084968,"feartheturtle7",0,148.9,"P Marcus Stroman P Joe Musgrove C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Kevin Pillar","2.06%",3
62,719438256,"youdacao (73/150)",0,148.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Daniel Descalso OF George Springer OF David Peralta OF A.J. Pollock",NA,"Daniel Descalso","2.01%",3
62,719559406,"Rui10",0,148.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Kendrys Morales 2B Jean Segura 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF George Springer OF A.J. Pollock",NA,"Chris Marrero","1.56%",0
62,720096412,"A_playa_named_gus (53/84)",0,148.65,"P Marcus Stroman P Blake Snell C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Nick Markakis","1.53%",3
65,719909323,"Cheeseteam (1/2)",0,148.35,"P Matt Harvey P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Ariel Miranda","1.46%",9.85
66,719887674,"SaahilSud (54/150)",0,147.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Brandon Belt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Nelson Cruz OF Mitch Haniger OF David Peralta",NA,"Brandon Phillips","1.26%",0
66,719978980,"moklovin (6/60)",0,147.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Marwin González 2B José Altuve 3B Jake Lamb SS Eduardo Núñez OF George Springer OF David Peralta OF A.J. Pollock",NA,"Steven Souza Jr.","1.12%",13
66,720067700,"tkoblow (128/150)",0,147.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Marwin González 2B Jean Segura 3B José Reyes SS Brad Miller OF George Springer OF David Peralta OF A.J. Pollock",NA,"Leonys Martin","0.99%",0
66,720068295,"mx1989 (2/2)",0,147.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Kendrys Morales 2B José Altuve 3B Marwin González SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Norichika Aoki","0.74%",5
66,720090818,"redrobin2015",0,147.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Kendrys Morales 2B José Altuve 3B Marwin González SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Justin Smoak","0.67%",3
66,720105174,"Privan7com (5/15)",0,147.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Chris Owings OF Nelson Cruz OF David Peralta OF A.J. Pollock",NA,"Mallex Smith","0.67%",0
66,720107530,"bostoneagle5 (6/9)",0,147.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF David Peralta OF A.J. Pollock OF Chris Owings",NA,"Aaron Hill","0.64%",16
66,720137643,"abesmi1431 (3/16)",0,147.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Brandon Belt 2B Wilmer Flores 3B Jake Lamb SS Asdrúbal Cabrera OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Jesús Sucre","0.59%",0
74,720083954,"seekinwat",0,147.6,"P Marcus Stroman P Robbie Ray C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF Carlos Beltrán OF George Springer OF David Peralta",NA,"Adonis Garcia","0.44%",3
75,719438283,"youdacao (100/150)",0,146.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Troy Tulowitzki OF George Springer OF David Peralta OF A.J. Pollock",NA,"Tim Beckham","0.32%",0
75,719887693,"SaahilSud (73/150)",0,146.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Daniel Descalso 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Darwin Barney","0.27%",10
75,720014481,"Shwnkeehan",0,146.65,"P Marcus Stroman P Matt Harvey C Travis d'Arnaud 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS José Reyes OF Matt Kemp OF Yoenis Céspedes OF A.J. Pollock",NA,"Evan Gattis","0.25%",0
75,720042207,"HeebyJeeby3 (9/10)",0,146.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Brandon Belt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF Hunter Pence OF David Peralta",NA,"Alex Bregman","0.18%",0
75,720096422,"A_playa_named_gus (63/84)",0,146.65,"P Marcus Stroman P Blake Snell C Chris Herrmann 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Nelson Cruz OF Mitch Haniger OF David Peralta",NA,"Yasmany Tomás","0.12%",0
80,720046618,"doughma12 (3/3)",0,146.6,"P Marcus Stroman P Robbie Ray C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Brandon Crawford OF George Springer OF David Peralta OF A.J. Pollock",NA,"Joe Panik","0.10%",0
81,719937708,"jmbcub",0,146.4,"P Blake Snell P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B José Altuve 3B Jake Lamb SS Brad Miller OF George Springer OF David Peralta OF A.J. Pollock",NA,"Devon Travis","0.10%",0
82,719970261,"pgavett",0,145.9,"P Marcus Stroman P Joe Musgrove C Travis d'Arnaud 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Mike Zunino","0.07%",0
83,719438249,"youdacao (66/150)",0,145.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Josh Reddick","0.05%",0
83,719438251,"youdacao (68/150)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Nick Hundley","0.05%",0
83,719438277,"youdacao (94/150)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Eduardo Núñez OF George Springer OF David Peralta OF A.J. Pollock",NA,"Lucas Duda","0.03%",0
83,719572025,"drafthero2015 (19/121)",0,145.65,"P Marcus Stroman P Blake Snell C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Eduardo Núñez OF David Peralta OF A.J. Pollock OF Chris Herrmann",NA,"Michael Conforto","0.03%",4
83,719594594,"Glory_Days (1/4)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Brandon Phillips 3B Jake Lamb SS Eduardo Núñez OF George Springer OF David Peralta OF A.J. Pollock",NA,"Brandon Drury","0.03%",0
83,719769416,"fallfromgrace (24/150)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Marwin González 2B José Altuve 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Jeremy Hazelbaker","0.02%",5
83,719819722,"metzee69 (1/3)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF Yoenis Céspedes OF Nelson Cruz OF David Peralta",NA,"Jarrod Saltalamacchia","0.02%",0
83,719820954,"windchimesRrude (70/80)",0,145.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Ryan Goins","0.02%",0
83,719879121,"scout326 (69/150)",0,145.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Rickie Weeks Jr.","0.02%",0
83,719887627,"SaahilSud (7/150)",0,145.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Gorkys Hernández OF David Peralta OF A.J. Pollock",NA,"Peter Bourjos","0.02%",0
83,719887682,"SaahilSud (62/150)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Marwin González 2B José Altuve 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Emilio Bonifacio","0.02%",0
83,719942550,"dean78904 (1/3)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Jarrett Parker","0.02%",0
83,719973661,"xDeemo337",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Marwin González 2B José Altuve 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"","",NA
