"Place_lo","Place_hi","Payout"
"1","1","15000"
"2","2","10000"
"3","3","7500"
"4","4","5000"
"5","5","4000"
"6","6","3000"
"7","8","2500"
"9","10","2000"
"11","15","1500"
"16","20","1000"
"21","25","750"
"26","35","500"
"36","50","350"
"51","75","250"
"76","100","200"
"101","125","150"
"126","175","125"
"176","275","100"
"276","455","75"
"456","780","60"
"781","1395","50"
