"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","500"
"3","3","400"
"4","4","300"
"5","5","200"
"6","6","150"
"7","7","100"
"8","10","80"
"11","15","60"
"16","20","50"
"21","25","40"
"26","35","30"
"36","45","25"
"46","60","20"
"61","80","15"
"81","120","10"
"121","170","8"
"171","270","7"
"271","470","6"
"471","972","5"
