"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,938900144,"daltonivy",0,350,"SF LeBron James PF Kevin Love C Al Horford PG Ricky Rubio SG Gary Harris UTIL Dario Saric F Ersan Ilyasova G Alec Burks",NA,"Dario Saric","UTIL","48.65%",38.5
2,938711388,"Treehouse17 (4/4)",0,339,"PG Ben Simmons UTIL Kevin Love C Jusuf Nurkic SF Will Barton SG Austin Rivers F Kent Bazemore PF Dario Saric G Alec Burks",NA,"Ben Simmons","PG","42.67%",40.5
3,938192354,"tamsuKi",0,337.5,"SF Giannis Antetokounmpo C Al Horford UTIL Will Barton PG Kris Dunn G Dwyane Wade F John Collins PF Dario Saric SG Alec Burks",NA,"Lou Williams","SG","39.01%",34.5
4,938528942,"dwilliamsmma (3/8)",0,329.75,"SF LeBron James G Kyrie Irving UTIL Al Horford PG Ricky Rubio F J.J. Redick PF Dario Saric C Amir Johnson SG Alec Burks",NA,"LeBron James","SF","37.75%",59
5,938619325,"teresafluis",0,329,"PF LeBron James PG Lou Williams F Al Horford SF Will Barton UTIL Ricky Rubio C Dario Saric G Alec Burks SG Jerryd Bayless",NA,"John Collins","F","37.37%",27.75
6,938713888,"wopgenius11",0,326.75,"PF Kevin Love UTIL Al Horford C Jusuf Nurkic SF Khris Middleton PG Ricky Rubio SG Dwyane Wade G Austin Rivers F Dario Saric",NA,"Amir Johnson","C","23.34%",25
7,938848735,"Flotastic (20/20)",0,326.5,"PF Al Horford SG Eric Bledsoe UTIL Jusuf Nurkic F Derrick Favors SF Will Barton PG Kris Dunn G Gary Harris C Dario Saric",NA,"Jusuf Nurkic","C","22.71%",46.75
8,938596516,"bolts1282",0,324.5,"SF LeBron James PG Kyrie Irving F Kevin Love UTIL Jusuf Nurkic PF Wesley Johnson G Marco Belinelli SG Alec Burks C Willie Reed",NA,"Damian Lillard","PG","20.39%",35.75
9,938091486,"gundacker (6/20)",0,324,"SF LeBron James PF Kevin Love UTIL Lou Williams SG Gary Harris G Austin Rivers F Kenneth Faried PG Alec Burks C Montrezl Harrell",NA,"Jerryd Bayless","G","19.53%",18.5
10,938698430,"losmafiosos (9/20)",0,323.5,"PF LeBron James SF Ben Simmons G Ricky Rubio SG Gary Harris UTIL Robin Lopez F Dario Saric C Kenneth Faried PG Alec Burks",NA,"Juancho Hernangómez","UTIL","19.28%",4.75
11,938091500,"gundacker (20/20)",0,323.25,"SF Giannis Antetokounmpo PF Kevin Love SG Lou Williams C Jusuf Nurkic G Austin Rivers F Kenneth Faried PG Alec Burks UTIL Montrezl Harrell",NA,"Nikola Jokic","C","18.37%",19
12,938249857,"barnettbrat (3/10)",0,322.75,"PF LeBron James F Kevin Love C Jusuf Nurkic G Kris Dunn SF Kent Bazemore UTIL Dario Saric SG Alec Burks PG Jerryd Bayless",NA,"Giannis Antetokounmpo","SF","18.04%",50.75
13,938900876,"Nexus (1/3)",0,321.5,"SF LeBron James C Kevin Love PG Eric Bledsoe G Ricky Rubio UTIL John Collins F Dario Saric PF Amir Johnson SG Alec Burks",NA,"Austin Rivers","G","17.84%",36.5
14,937961068,"GreyPoupon (16/20)",0,318.75,"F Giannis Antetokounmpo G Ben Simmons C Jusuf Nurkic PG Ricky Rubio PF Dario Saric UTIL Taurean Prince SF Ersan Ilyasova SG Alec Burks",NA,"Joe Ingles","UTIL","17.59%",24
14,938349714,"brpunkrmax",0,318.75,"SF Ben Simmons G Kyrie Irving SG Lou Williams F Will Barton UTIL Gary Harris C John Collins PF Amir Johnson PG Alec Burks",NA,"Ricky Rubio","PG","17.21%",31.25
14,938837457,"beastbiv (1/4)",0,318.75,"SF LeBron James G Damian Lillard C DeAndre Jordan PG Austin Rivers PF Dario Saric F Kenneth Faried UTIL Marco Belinelli SG Alec Burks",NA,"Kevin Love","PF","16.48%",49
17,938091485,"gundacker (5/20)",0,318.25,"SF LeBron James PF Kevin Love PG Lou Williams G Austin Rivers C John Collins F Dario Saric SG Alec Burks UTIL Montrezl Harrell",NA,"Al Horford","C","15.85%",42.5
18,938249375,"tennesseefootball (1/2)",0,318,"SF Ben Simmons PG Kyrie Irving C Kevin Love SG Donovan Mitchell PF Dario Saric F Wesley Johnson UTIL Marco Belinelli G Alec Burks",NA,"Eric Bledsoe","UTIL","15.85%",37.75
19,938868114,"sasmallen (19/20)",0,317.75,"SF Ben Simmons PF Kevin Love G Lou Williams C Jusuf Nurkic F John Collins SG J.J. Redick UTIL Kenneth Faried PG Alec Burks",NA,"Dennis Schroder","G","15.77%",36.5
20,938848324,"Flotastic (16/20)",0,317.25,"PF Kevin Love UTIL Lou Williams PG Eric Bledsoe F Derrick Favors SF Will Barton G Dwyane Wade C Dario Saric SG Marco Belinelli",NA,"Kyrie Irving","PG","15.67%",47
21,938289750,"rd1988 (10/10)",0,316.5,"PG Ben Simmons G Eric Bledsoe C Jusuf Nurkic PF Derrick Favors SF Khris Middleton SG Dwyane Wade F Taurean Prince UTIL Alec Burks",NA,"Taurean Prince","F","15.67%",20.5
21,938457458,"buckstratford (14/20)",0,316.5,"G Damian Lillard PG Kyrie Irving C Kevin Love UTIL Al Horford SF Jayson Tatum F Dario Saric PF Amir Johnson SG Alec Burks",NA,"Kent Bazemore","SF","15.04%",23
23,938402685,"ncjonyoung (2/4)",0,316.25,"SF LeBron James C DeAndre Jordan SG C.J. McCollum UTIL Jusuf Nurkic PG Austin Rivers F Dario Saric G Alec Burks PF Montrezl Harrell",NA,"Wesley Johnson","PF","14.86%",21.25
