"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","40000"
"3","3","20000"
"4","4","10000"
"5","5","7000"
"6","6","5000"
"7","8","4000"
"9","10","3000"
"11","17","2000"
"18","35","1500"
"36","64","1200"
"65","114","1000"
"115","206","850"
