"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
26,936091331,"ianj300 (3/6)",0,277,"F Giannis Antetokounmpo PF Kevin Love SF Otto Porter SG Justin Holiday C Zach Randolph G Ricky Rubio UTIL John Henson PG Tim Frazier",NA,"Kris Dunn","G","8.25%",48.5
26,936442337,"berger223",0,277,"PF LeBron James F Kevin Love SF Otto Porter SG Justin Holiday PG Ricky Rubio C Marcin Gortat G Joe Ingles UTIL Tyson Chandler",NA,"Frank Mason III","PG","7.63%",21.5
28,936376479,"wopgenius11 (1/2)",0,276.75,"C Karl-Anthony Towns SG Jimmy Butler SF Otto Porter F Taj Gibson G Justin Holiday PG Ricky Rubio PF Willie Cauley-Stein UTIL Marcin Gortat",NA,"John Henson","C","7.63%",22.25
29,935932532,"moklovin (8/20)",0,276,"PF Giannis Antetokounmpo SG Jimmy Butler G Eric Bledsoe F Denzel Valentine SF Justin Holiday PG Ricky Rubio UTIL George Hill C Kenneth Faried",NA,"Tyus Jones","G","7.50%",30.5
30,935854874,"getoffme2312 (12/12)",0,275.5,"G Bradley Beal UTIL Jimmy Butler F Kevin Love SF Otto Porter C Derrick Favors PF Willie Cauley-Stein PG Jamal Murray SG Tyus Jones",NA,"Derrick Favors","F","7.00%",50.25
30,936498556,"flapster13",0,275.5,"UTIL Giannis Antetokounmpo F Kevin Love PF Lauri Markkanen G Donovan Mitchell SF Otto Porter C John Henson SG Tyus Jones PG Frank Mason III",NA,"Taj Gibson","C","6.88%",32.25
32,935771617,"EmileHeskey (22/24)",0,275.25,"SF LeBron James F Kevin Love PG Eric Bledsoe G Justin Holiday SG Gary Harris UTIL Willie Cauley-Stein PF Markieff Morris C Tyson Chandler",NA,"T.J. Warren","PF","6.50%",38.75
32,936128800,"Kobe4MVP (17/24)",0,275.25,"SF LeBron James PF T.J. Warren G Eric Bledsoe F Otto Porter SG Justin Holiday UTIL Robin Lopez PG Tim Frazier C Kenneth Faried",NA,"Garrett Temple","G","6.25%",21.5
34,936394914,"squirrelpatroldk (2/2)",0,275,"PF LeBron James SG Jimmy Butler C Kevin Love SF Denzel Valentine G Gary Harris F Willie Cauley-Stein UTIL Marcin Gortat PG Frank Mason III",NA,"Wayne Ellington","UTIL","5.63%",11
35,935781758,"brianlefevre (15/15)",0,274.25,"C Nikola Jokic SG Jimmy Butler F Kevin Love UTIL Denzel Valentine SF Justin Holiday PG Ricky Rubio PF Willie Cauley-Stein G Joe Ingles",NA,"James Johnson","UTIL","5.63%",25.75
36,935781741,"brianlefevre (1/15)",0,273.75,"C Nikola Jokic UTIL Kevin Love PF Lauri Markkanen SG Eric Bledsoe SF Justin Holiday PG Ricky Rubio F Willie Cauley-Stein G Joe Ingles",NA,"Dion Waiters","UTIL","5.38%",32.25
37,936460506,"JimJams (2/2)",0,273.5,"UTIL Giannis Antetokounmpo C Kevin Love G Eric Bledsoe F Denzel Valentine PG Dwyane Wade PF Willie Cauley-Stein SF Markieff Morris SG Kelly Oubre Jr.",NA,"Malcolm Brogdon","G","5.00%",25.5
38,936365182,"elduderino77",0,273.25,"PF LeBron James SG Jimmy Butler UTIL Otto Porter SF Justin Holiday PG Ricky Rubio C Marcin Gortat G Joe Ingles F Kenneth Faried",NA,"Devin Booker","G","4.50%",54
39,935771616,"EmileHeskey (21/24)",0,273,"F LeBron James PF Lauri Markkanen PG Kris Dunn SG Denzel Valentine SF Justin Holiday UTIL Willie Cauley-Stein C Robin Lopez G Joe Ingles",NA,"Goran Dragic","PG","4.38%",17.5
39,936363268,"JamesKing234",0,273,"SF Devin Booker G Jimmy Butler PF Kevin Love SG Eric Bledsoe F Bobby Portis C Willie Cauley-Stein PG Jamal Murray UTIL Marcin Gortat",NA,"Dwyane Wade","G","4.25%",32.75
41,935724500,"ChipotleAddict (15/24)",0,272.75,"C Nikola Jokic SG Jimmy Butler UTIL Donovan Mitchell PF Derrick Favors SF Justin Holiday PG Ricky Rubio G Gary Harris F Joe Ingles",NA,"Juancho Hernangómez","F","3.75%",22
42,935839013,"amysm",0,272.5,"F Giannis Antetokounmpo PF Kevin Love SG Eric Bledsoe SF Otto Porter PG Ricky Rubio C Willie Cauley-Stein G Tim Frazier UTIL Kenneth Faried",NA,"Mike James","PG","3.00%",18.25
43,936267480,"rikkidee (11/15)",0,272,"C Nikola Jokic PF Kevin Love SG Donovan Mitchell SF Otto Porter F Derrick Favors G Justin Holiday UTIL Marcin Gortat PG Tim Frazier",NA,"Tyson Chandler","C","3.00%",12.25
43,936395743,"cohenspicks (2/2)",0,272,"C Karl-Anthony Towns SG Bradley Beal PF T.J. Warren PG Eric Bledsoe F Denzel Valentine G Justin Holiday UTIL Tyus Jones SF Juancho Hernangómez",NA,"Andrew Wiggins","SF","2.75%",23.5
45,935994451,"ShortMyOwnTeam",0,271.75,"G Jimmy Butler F Kevin Love PG Eric Bledsoe SG Donovan Mitchell PF Otto Porter SF Denzel Valentine C Willie Cauley-Stein UTIL Marcin Gortat",NA,"Kelly Olynyk","PF","2.63%",8.75
46,935781756,"brianlefevre (14/15)",0,271.5,"SG Bradley Beal G Jimmy Butler F Kevin Love PF Lauri Markkanen SF Justin Holiday PG Ricky Rubio C Robin Lopez UTIL Joe Ingles",NA,"Jerian Grant","G","2.50%",14.75
47,935724509,"ChipotleAddict (24/24)",0,270.75,"UTIL Nikola Jokic SG Jimmy Butler PF Kevin Love PG Donovan Mitchell SF Justin Holiday G Malcolm Brogdon F Joe Ingles C John Henson",NA,"Mason Plumlee","UTIL","2.25%",4
47,936454484,"Beanman23",0,270.75,"PF LeBron James PG Eric Bledsoe UTIL Otto Porter F Taj Gibson SF Justin Holiday C Marcin Gortat SG Joe Ingles G Mike James",NA,"Jamal Murray","PG","2.13%",14.75
49,935911801,"IamPGM (9/10)",0,270.5,"UTIL Jimmy Butler C Kevin Love G Eric Bledsoe PG Donovan Mitchell F Otto Porter SG Denzel Valentine PF Willie Cauley-Stein SF Joe Ingles",NA,"Zach Randolph","C","2.00%",18.75
50,936042683,"tinderella (3/3)",0,270.25,"PF Giannis Antetokounmpo SG Jimmy Butler SF Otto Porter F Justin Holiday G Ricky Rubio UTIL Willie Cauley-Stein C John Henson PG Tim Frazier",NA,"George Hill","PG","2.00%",7.5
50,936142777,"mazwa (3/5)",0,270.25,"C Karl-Anthony Towns SG Bradley Beal UTIL Jimmy Butler PF Kevin Love SF Justin Holiday F Willie Cauley-Stein G Tim Frazier PG Garrett Temple",NA,"Bobby Portis","PF","2.00%",17.25
52,936514713,"theOGking_tay",0,270,"C Karl-Anthony Towns PF Kevin Love PG Eric Bledsoe SF Otto Porter G Dion Waiters UTIL James Johnson F Kelly Oubre Jr. SG Tyler Johnson",NA,"De'Aaron Fox","G","1.75%",7.25
53,936263120,"DaBramahBull (1/3)",0,269.5,"PF Giannis Antetokounmpo SG Eric Bledsoe F Otto Porter G Dion Waiters SF Justin Holiday UTIL Willie Cauley-Stein C John Henson PG Tim Frazier",NA,"Greg Monroe","C","1.75%",0
53,936338917,"ubrcuilnsa",0,269.5,"C Nikola Jokic SG Jimmy Butler PG Eric Bledsoe F Otto Porter PF Taj Gibson SF Denzel Valentine G Justin Holiday UTIL Jeff Green",NA,"Kelly Oubre Jr.","SF","1.63%",29.5
55,935781748,"brianlefevre (7/15)",0,269,"C Nikola Jokic F Kevin Love PF Lauri Markkanen PG Eric Bledsoe G Denzel Valentine SF Justin Holiday UTIL Robin Lopez SG Joe Ingles",NA,"Jeff Green","PF","1.38%",15.5
56,935724503,"ChipotleAddict (18/24)",0,268.75,"SG Bradley Beal G Jimmy Butler PF T.J. Warren UTIL Eric Bledsoe SF Justin Holiday PG Ricky Rubio C Robin Lopez F Joe Ingles",NA,"Tony Snell","F","1.25%",19
57,936439038,"BrandonAdams (23/24)",0,268.5,"UTIL Karl-Anthony Towns G Devin Booker PF Kevin Love SF Otto Porter F Denzel Valentine C Marcin Gortat PG Tyus Jones SG Tyler Johnson",NA,"Kyle Korver","SF","1.25%",16.5
58,936128788,"Kobe4MVP (5/24)",0,268,"F Giannis Antetokounmpo C Karl-Anthony Towns PG Eric Bledsoe SG Justin Holiday UTIL Robin Lopez SF Markieff Morris G J.R. Smith PF Kenneth Faried",NA,"J.R. Smith","SG","1.13%",24.25
58,936128807,"Kobe4MVP (24/24)",0,268,"SG Bradley Beal G Jimmy Butler PF Kevin Love PG Eric Bledsoe SF Otto Porter UTIL Ricky Rubio C Marcin Gortat F Kenneth Faried",NA,"Tyler Ulis","PG","1.13%",32.5
58,936252424,"frankiev3922 (2/3)",0,268,"SF Giannis Antetokounmpo PF Kevin Love PG Eric Bledsoe G Denzel Valentine SG Gary Harris C Willie Cauley-Stein F Markieff Morris UTIL Tyus Jones",NA,"Buddy Hield","F","1.13%",17.5
