"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,12800,25.4296875,32.55,"Clayton Kershaw","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,0,0,1,2,0,0
2,1,4400,72.7272727272727,32,"Rougned Odor","TEX",NA,"2B",5,2,2,4,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,3800,81.5789473684211,31,"Khris Davis","OAK",NA,"OF",4,2,2,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,3400,88.2352941176471,30,"Yasmani Grandal","LAD",NA,"C",7,2,2,3,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,3100,80.6451612903226,25,"Mark Reynolds","COL",NA,"1B",7,2,1,3,0,3,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,8700,28.448275862069,24.75,"Dallas Keuchel","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,0,0,0,2,2,1
7,3,11600,21.1206896551724,24.5,"Noah Syndergaard","NYM",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6,0,0,0,5,0,0
8,4,8600,27.7906976744186,23.9,"Danny Duffy","KC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,6,0,0,1,3,3,0
9,5,5600,40.5357142857143,22.7,"Kendall Graveman","OAK",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,0,0,2,6,2,0
10,5,3600,61.1111111111111,22,"Joc Pederson","LAD",NA,"OF",6,1,1,5,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,6,7100,30.0704225352113,21.35,"Ervin Santana","MIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,0,0,1,2,2,0
12,7,8300,25.6626506024096,21.3,"Julio Teheran","ATL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,0,0,0,4,3,0
13,6,4200,50,21,"Mark Trumbo","BAL",NA,"OF",5,1,1,2,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,7,3500,60,21,"Freddy Galvis","PHI",NA,"SS",8,2,1,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,8,5300,39.622641509434,21,"Mike Trout","LAA",NA,"OF",3,1,1,2,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
