"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
16,9,4400,47.7272727272727,21,"Corey Seager","LAD",NA,"SS",2,1,1,3,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,8,6500,31.1538461538462,20.25,"Edinson Volquez","MIA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,5,0,0,0,4,1,0
18,10,4000,50,20,"Miguel Sano","MIN",NA,"3B",5,2,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,11,4500,42.2222222222222,19,"Edwin Encarnacion","CLE",NA,"1B",4,2,1,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,12,3500,54.2857142857143,19,"Justin Turner","LAD",NA,"3B",3,2,0,1,0,5,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,9,9900,18.3333333333333,18.15,"Stephen Strasburg","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,0,0,2,6,0,0
22,10,8800,20.5113636363636,18.05,"Rick Porcello","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6.33333333333333,0,0,3,6,1,0
23,13,3500,51.4285714285714,18,"Asdrubal Cabrera","NYM",NA,"2B/SS",2,1,0,1,1,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,14,3500,51.4285714285714,18,"Abraham Almonte","CLE",NA,"OF",9,2,0,1,1,2,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,15,4000,45,18,"Jose Ramirez","CLE",NA,"2B/3B",5,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,16,3700,48.6486486486486,18,"Andrew Benintendi","BOS",NA,"OF",2,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,17,3200,53.125,17,"Ryan Schimpf","SD",NA,"3B",5,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,18,3100,54.8387096774194,17,"Stephen Vogt","MIL",NA,"C",5,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,11,8200,19.8170731707317,16.25,"Felix Hernandez","SEA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,5,0,0,2,5,0,0
30,19,4700,34.0425531914894,16,"Carlos Correa","HOU",NA,"SS",4,1,1,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,20,5100,31.3725490196078,16,"Bryce Harper","WAS",NA,"OF",3,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,21,3600,44.4444444444444,16,"Scooter Gennett","CIN",NA,"2B/OF",9,1,1,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,22,4100,39.0243902439024,16,"Adam Eaton","WAS",NA,"OF",2,1,0,0,1,2,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,23,3200,50,16,"Adam Lind","WAS",NA,"1B",9,1,1,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,24,4400,36.3636363636364,16,"Xander Bogaerts","BOS",NA,"SS",6,0,0,0,2,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,25,4500,35.5555555555556,16,"Carlos Santana","CLE",NA,"1B",1,1,0,1,0,4,0,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,26,3900,35.8974358974359,14,"Freddie Freeman","ATL",NA,"1B/3B",3,0,0,0,0,4,2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,27,4400,31.8181818181818,14,"George Springer","HOU",NA,"OF",1,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,28,4000,35,14,"Carlos Gomez","TEX",NA,"OF",1,1,1,1,0,4,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,29,3800,36.8421052631579,14,"Cesar Hernandez","PHI",NA,"2B",1,1,1,1,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,3200,43.75,14,"Mike Moustakas","KC",NA,"3B",2,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,12,7000,19,13.3,"Marco Estrada","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,2,5,2,0
43,31,3400,38.2352941176471,13,"Lucas Duda","NYM",NA,"1B",7,0,0,3,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,32,4300,30.2325581395349,13,"Jonathan Villar","MIL",NA,"2B",1,1,0,2,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,33,3800,34.2105263157895,13,"Adrian Gonzalez","LAD",NA,"1B",4,2,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,34,3900,33.3333333333333,13,"Elvis Andrus","TEX",NA,"SS",8,0,0,0,0,4,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,35,3800,34.2105263157895,13,"Eric Thames","MIL",NA,"1B/OF",2,1,0,2,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,36,3800,31.5789473684211,12,"Alex Bregman","HOU",NA,"3B",2,1,0,0,1,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,37,3500,34.2857142857143,12,"Travis Shaw","MIL",NA,"3B",4,0,0,1,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,38,5000,24,12,"Nolan Arenado","COL",NA,"3B",4,2,0,0,0,3,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,39,4200,28.5714285714286,12,"Jackie Bradley","BOS",NA,"OF",7,1,0,0,0,3,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,40,3300,36.3636363636364,12,"Jorge Polanco","MIN",NA,"SS",7,1,0,1,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,41,2800,42.8571428571429,12,"Jason Castro","MIN",NA,"C",6,0,0,2,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,13,5300,20.9433962264151,11.1,"Scott Feldman","CIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,4.66666666666667,0,0,3,7,2,0
55,42,4000,27.5,11,"Yasiel Puig","LAD",NA,"OF",8,1,0,0,0,3,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,43,3800,28.9473684210526,11,"Steve Pearce","TOR",NA,"OF",7,1,0,0,0,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,44,3600,30.5555555555556,11,"Logan Forsythe","LAD",NA,"2B/3B",5,2,0,0,0,3,1,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,45,4900,22.4489795918367,11,"Josh Donaldson","TOR",NA,"3B",2,0,0,0,0,5,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,14,6600,16.0606060606061,10.6,"Kevin Gausman","BAL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5.33333333333333,0,0,2,5,4,0
60,15,6700,15.5970149253731,10.45,"Jeremy Hellickson","PHI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,0,0,1,6,1,1
61,16,4000,25.625,10.25,"Andrew Miller","CLE",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,0,0,0,0,0
62,17,10100,10,10.1,"Corey Kluber","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,0,0,5,6,3,0
63,46,3500,28.5714285714286,10,"JT Realmuto","MIA",NA,"C",2,1,0,0,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,47,3200,31.25,10,"Ezequiel Carrera","TOR",NA,"OF",9,0,0,1,0,3,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,48,3800,26.3157894736842,10,"Nomar Mazara","TEX",NA,"OF",3,1,0,0,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,49,4900,20.4081632653061,10,"Trea Turner","WAS",NA,"SS",1,0,0,0,1,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,50,4100,24.390243902439,10,"Billy Hamilton","CIN",NA,"OF",1,0,0,1,0,4,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,51,3400,29.4117647058824,10,"Jay Bruce","NYM",NA,"OF",6,1,0,1,0,1,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,52,2900,34.4827586206897,10,"Tony Wolters","COL",NA,"C",8,2,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,18,6400,14.921875,9.55,"Junior Guerra","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,0,0,2,1,0,1
71,19,7000,13.3571428571429,9.35,"Ricky Nolasco","LAA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5.66666666666667,0,0,3,7,2,0
72,53,3800,23.6842105263158,9,"Domingo Santana","MIL",NA,"OF",5,0,0,0,1,2,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,54,3800,23.6842105263158,9,"Michael Saunders","PHI",NA,"OF",5,0,0,1,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,55,3600,25,9,"Howie Kendrick","PHI",NA,"2B/OF",2,0,0,0,0,5,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,56,4300,20.9302325581395,9,"Adam Jones","BAL",NA,"OF",2,1,0,0,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,57,3900,23.0769230769231,9,"Lorenzo Cain","KC",NA,"OF",3,0,0,0,1,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,58,3300,27.2727272727273,9,"Francisco Cervelli","PIT",NA,"C",6,1,0,0,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,59,4200,21.4285714285714,9,"Odubel Herrera","PHI",NA,"OF",3,0,0,0,0,3,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,60,4600,19.5652173913043,9,"Giancarlo Stanton","MIA",NA,"OF",4,1,0,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,20,9000,9.83333333333333,8.85,"Yu Darvish","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6.33333333333333,0,0,4,4,5,0
81,21,4000,20.625,8.25,"Carlos Estevez","COL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0
82,22,4200,19.6428571428571,8.25,"Hansel Robles","NYM",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0
83,23,4000,20.625,8.25,"Ryan Dull","OAK",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,0,0,0
84,24,7800,10.5128205128205,8.2,"Jonathan Gray","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,4,0,0,5,6,2,0
85,61,3500,22.8571428571429,8,"Robbie Grossman","MIN",NA,"OF",2,1,0,1,0,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,62,2900,27.5862068965517,8,"Andrew Toles","LAD",NA,"OF",1,1,0,0,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,63,4500,17.7777777777778,8,"Daniel Murphy","WAS",NA,"2B",4,0,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,64,2900,27.5862068965517,8,"Sandy Leon","BOS",NA,"C",9,1,0,0,0,3,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,65,3700,21.6216216216216,8,"Welington Castillo","BAL",NA,"C",6,0,0,0,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,66,3300,24.2424242424242,8,"David Freese","PIT",NA,"3B",5,1,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,67,3800,21.0526315789474,8,"Gerardo Parra","COL",NA,"OF",6,0,0,1,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,68,2700,29.6296296296296,8,"Jed Lowrie","OAK",NA,"2B",6,1,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,69,4000,20,8,"Adam Duvall","CIN",NA,"OF",4,0,0,0,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,25,4100,18.6585365853659,7.65,"Tyler Wilson","BAL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0
95,26,4100,18.6585365853659,7.65,"Ken Giles","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,0,1,0
96,27,4000,19.125,7.65,"Cody Allen","CLE",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,1,0,0
97,28,4000,17.625,7.05,"Daniel Hudson","PIT",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,1,1,0
98,29,4000,17.625,7.05,"Adam Ottavino","COL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,0,2,0
99,70,4600,15.2173913043478,7,"Trevor Story","COL",NA,"SS",5,1,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,71,2600,26.9230769230769,7,"Alexi Amarista","COL",NA,"2B/SS",9,0,0,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,72,3400,20.5882352941176,7,"Orlando Arcia","MIL",NA,"SS",8,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,73,3500,20,7,"Kole Calhoun","LAA",NA,"OF",2,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,74,3100,22.5806451612903,7,"Manuel Margot","SD",NA,"OF",1,0,0,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,75,3800,18.4210526315789,7,"Josh Harrison","PIT",NA,"2B/3B",8,1,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,76,3700,18.9189189189189,7,"Pablo Sandoval","BOS",NA,"3B",8,1,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,77,4500,15.5555555555556,7,"Brian Dozier","MIN",NA,"2B",1,1,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,78,4100,17.0731707317073,7,"Dustin Pedroia","BOS",NA,"2B",1,1,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,79,3900,17.9487179487179,7,"Keon Broxton","MIL",NA,"OF",6,0,0,0,1,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,80,3100,22.5806451612903,7,"Wilmer Flores","NYM",NA,"1B/3B",9,1,0,0,1,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,81,2800,25,7,"Yonder Alonso","OAK",NA,"1B",8,0,0,1,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,82,3600,19.4444444444444,7,"Scott Schebler","CIN",NA,"OF",6,1,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,83,3500,20,7,"Seth Smith","BAL",NA,"OF",1,1,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,84,3700,18.9189189189189,7,"Joey Gallo","TEX",NA,"1B/3B",7,0,0,0,1,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,85,3000,23.3333333333333,7,"Yandy Diaz","CLE",NA,"3B/OF",8,1,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,86,3800,18.4210526315789,7,"Kevin Pillar","TOR",NA,"OF",8,1,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,87,3300,21.2121212121212,7,"Adam Frazier","PIT",NA,"OF",1,0,0,0,0,3,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,88,5000,14,7,"Charlie Blackmon","COL",NA,"OF",1,0,0,1,1,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,89,4200,16.6666666666667,7,"Maikel Franco","PHI",NA,"3B",4,1,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,30,4000,16.375,6.55,"Mychal Givens","BAL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1.66666666666667,0,0,0,2,0,0
120,31,4000,15.625,6.25,"Blake Treinen","OAK",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
121,32,4200,14.8809523809524,6.25,"Fernando Salas","NYM",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
122,33,4000,15.625,6.25,"Joaquin Benoit","PHI",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,0,0
123,90,3400,17.6470588235294,6,"Ryan Zimmerman","WAS",NA,"1B",5,0,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,91,3000,20,6,"Yunel Escobar","LAA",NA,"3B",1,0,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,92,4200,14.2857142857143,6,"Jean Segura","SEA",NA,"SS",1,0,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,93,3700,16.2162162162162,6,"Jose Peraza","CIN",NA,"2B/SS",2,0,0,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,94,4000,15,6,"Devon Travis","TOR",NA,"2B",1,0,0,0,0,6,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,95,3600,16.6666666666667,6,"Joe Mauer","MIN",NA,"1B",4,1,0,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,34,4000,14.125,5.65,"Mike Dunn","COL",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,1,0
130,35,0,0,5.65,"Bud Norris","LAA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,0,1,0
131,36,4000,12.625,5.05,"Craig Kimbrel","BOS",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0,1,0,1
132,37,0,0,5,"Miguel Diaz","SD",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.33333333333333,0,0,0,0,0,0
133,96,3700,13.5135135135135,5,"Max Kepler","MIN",NA,"OF",8,1,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,97,2700,18.5185185185185,5,"Travis Jankowski","SD",NA,"OF",9,1,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,98,3400,14.7058823529412,5,"C.J. Cron","LAA",NA,"1B",5,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,99,3900,12.8205128205128,5,"Tyler Naquin","CLE",NA,"OF",7,1,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,100,5100,9.80392156862745,5,"Manny Machado","BAL",NA,"3B",3,0,0,0,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,101,2700,18.5185185185185,5,"Tucker Barnhart","CIN",NA,"C",8,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,102,3400,14.7058823529412,5,"Josh Bell","PIT",NA,"1B",7,0,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,103,3600,13.8888888888889,5,"Marcell Ozuna","MIA",NA,"OF",6,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,104,3700,13.5135135135135,5,"Curtis Granderson","NYM",NA,"OF",4,0,0,1,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,105,2900,17.2413793103448,5,"Andrelton Simmons","LAA",NA,"SS",7,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,106,2700,18.5185185185185,5,"Jett Bandy","MIL",NA,"C",7,1,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,107,3300,15.1515151515152,5,"Jordy Mercer","PIT",NA,"SS",9,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,108,3400,14.7058823529412,5,"Zack Cozart","CIN",NA,"SS",7,1,0,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,109,3200,15.625,5,"Matt Wieters","WAS",NA,"C",8,1,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,110,3200,15.625,5,"Jesus Aguilar","MIL",NA,"1B",9,1,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,111,3100,16.1290322580645,5,"Yangervis Solarte","SD",NA,"2B",3,0,0,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,112,4700,10.6382978723404,5,"Michael Brantley","CLE",NA,"OF",3,0,0,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,113,3400,14.7058823529412,5,"Trevor Plouffe","TB",NA,"3B",7,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,114,5200,9.61538461538462,5,"Mookie Betts","BOS",NA,"OF",3,0,0,0,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,115,4300,11.6279069767442,5,"Chris Davis","BAL",NA,"1B",4,0,0,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,116,3500,14.2857142857143,5,"Matt Kemp","ATL",NA,"OF",4,0,0,0,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,38,4000,10.625,4.25,"Matt Belisle","MIN",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
155,39,4000,10.625,4.25,"Hector Neris","PHI",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0
