Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
DeAndre Hopkins,12,,WR,9200,HOU,IND,25.3,HOU by 6,28%,7%,35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.9,9.7,1.1,8.0,15,25.5,21.9,21.9,11.4,32.4,16.5,1.8,0.0,0.0
Ezekiel Elliott,33,,RB,9000,DAL,KC,27.5,DAL by 2.5,15%,21%,2%,0.0,0.0,0.0,0.0,0.0,29.3,23.4,21.0,4.1,4.2,2.3,3.7,3.7,0.3,8.1,38,30.5,24.0,24.0,12.0,36.0,26.0,2.9,0.0,0.0
LeSean McCoy,4,,RB,8700,BUF,@NYJ,22.5,BUF by 3,3%,18%,4%,0.0,0.0,0.0,0.0,0.0,23.0,19.6,22.5,3.3,3.8,7.7,6.6,5.7,1.1,5.3,43,25.1,19.6,19.6,11.2,28.1,19.8,2.3,0.0,0.0
Kareem Hunt,20,,RB,8600,KC,@DAL,25.0,DAL by 2.5,-3%,-2%,2%,0.0,0.0,0.0,0.0,0.0,16.3,18.3,15.5,2.3,5.2,5.0,4.0,4.2,0.3,9.6,34,13.8,22.8,22.8,10.4,35.1,17.8,2.1,0.0,0.0
Leonard Fournette,10,,RB,8400,JAX,CIN,21.8,JAX by 5.5,-19%,3%,-10%,0.0,0.0,0.0,0.0,0.0,24.3,21.7,0.0,2.7,4.6,2.7,3.3,0.0,0.2,6.8,0,27.9,23.2,23.2,16.1,30.3,0.0,0.0,0.0,0.0
Deshaun Watson,4,O,QB,8100,HOU,IND,25.3,HOU by 6,28%,7%,37%,30.0,29.1,0.0,3.7,8.3,5.7,5.1,0.0,0.4,7.5,0.0,0.0,0.0,0.0,0.0,0,32.9,26.3,26.3,15.2,37.4,0.0,0.0,0.0,0.0
Todd Gurley II,40,,RB,8100,LAR,@NYG,24.0,LAR by 5.5,14%,11%,-7%,0.0,0.0,0.0,0.0,0.0,19.7,20.7,21.8,3.7,4.3,4.3,5.4,3.9,1.0,7.7,37,16.8,25.3,25.3,13.1,37.5,18.9,2.3,0.0,0.0
Julio Jones,11,,WR,7800,ATL,@CAR,22.3,ATL by 2.5,-19%,-25%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.0,7.7,1.3,9.6,15,16.2,14.3,14.3,8.0,20.5,14.3,1.8,0.0,0.0
Mike Evans,11,,WR,7700,TB,@NO,23.5,NO by 7,-1%,11%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.7,10.1,1.1,7.6,17,17.1,16.4,16.4,11.4,21.4,16.2,2.1,0.0,0.0
Mark Ingram,32,,RB,7600,NO,TB,30.5,NO by 7,21%,3%,0%,0.0,0.0,0.0,0.0,0.0,21.7,15.3,18.3,1.9,4.3,5.3,5.4,3.6,1.1,5.0,32,26.0,17.5,17.5,8.5,26.5,19.0,2.5,0.0,0.0
A.J. Green,1,,WR,7400,CIN,@JAX,16.3,JAX by 5.5,-29%,28%,-31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.3,9.0,1.1,8.8,16,17.6,17.7,17.7,7.5,28.0,13.1,1.8,0.0,0.0
Russell Wilson,26,,QB,7300,SEA,WAS,27.3,SEA by 9.5,-4%,-3%,-3%,39.0,36.9,34.3,6.6,7.8,3.7,5.1,4.4,0.3,5.4,0.0,0.0,0.0,0.0,0.0,64,27.0,24.5,24.5,12.5,36.5,23.7,3.2,0.0,0.0
Michael Thomas,38,,WR,7200,NO,TB,30.5,NO by 7,21%,3%,26%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.9,9.0,0.9,7.7,13,11.3,14.6,14.6,8.0,21.1,19.0,2.6,0.0,0.0
Drew Brees,34,,QB,7000,NO,TB,30.5,NO by 7,21%,3%,15%,32.3,35.6,36.8,5.7,7.8,3.3,2.0,3.5,0.6,0.1,0.0,0.0,0.0,0.0,0.0,59,16.5,18.6,18.6,13.4,23.8,24.0,3.4,0.0,0.0
Will Fuller V,6,,WR,7000,HOU,IND,25.3,HOU by 6,28%,7%,35%,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.3,4.5,5.3,5.5,7.3,1.0,12.7,11,22.3,21.7,21.7,14.0,29.4,12.5,1.8,0.0,0.0
Doug Baldwin,20,,WR,6900,SEA,WAS,27.3,SEA by 9.5,-4%,-3%,-28%,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-3.0,10.0,8.7,7.7,0.7,7.0,13,14.4,14.5,14.5,5.9,23.2,16.3,2.4,0.0,0.0
Zach Ertz,16,Q,TE,6800,PHI,DEN,24.0,PHI by 7,-17%,-33%,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,8.0,0.0,1.3,8.3,0,16.4,16.3,16.3,13.9,18.8,0.0,0.0,0.0,0.0
Dak Prescott,31,,QB,6700,DAL,KC,27.5,DAL by 2.5,15%,21%,23%,27.7,32.3,34.7,4.7,6.9,3.7,3.3,3.3,0.7,7.3,0.0,0.0,0.0,0.0,0.0,59,22.7,21.4,21.4,13.2,29.5,23.0,3.4,0.0,0.0
Tyreek Hill,22,,WR,6700,KC,@DAL,25.0,DAL by 2.5,-3%,-2%,11%,0.3,0.1,0.0,0.1,0.0,1.0,1.1,1.3,0.0,2.4,7.0,6.9,7.3,0.3,10.1,15,13.5,15.6,15.6,5.9,25.3,15.7,2.3,0.0,0.0
Travis Kelce,17,,TE,6700,KC,@DAL,25.0,DAL by 2.5,-3%,-2%,-26%,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.5,7.3,7.4,7.6,1.1,9.4,13,16.8,16.7,16.7,6.1,27.2,15.7,2.3,0.0,0.0
Devonta Freeman,3,,RB,6600,ATL,@CAR,22.3,ATL by 2.5,-19%,-25%,-18%,0.0,0.0,0.0,0.0,0.0,11.0,14.7,11.1,2.6,4.5,3.3,2.7,2.7,0.7,6.3,27,9.7,15.2,15.2,8.1,22.3,10.7,1.6,0.0,0.0
