Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Le'Veon Bell,,,RB,10300,PIT,MIA,28.0,PIT by 10,0%,29%,2%,0.0,0.1,0.0,0.0,0.0,27.0,21.8,21.7,2.5,4.9,5.7,7.8,5.2,0.7,6.6,41,34.9,28.0,28.0,17.2,38.9,26.3,2.6,0.0,0.0
Antonio Brown,,,WR,9400,PIT,MIA,28.0,PIT by 10,0%,29%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,3.0,9.0,10.3,10.1,1.0,8.3,16,15.7,21.3,21.3,11.7,30.9,20.6,2.2,0.0,0.0
Odell Beckham Jr.,,,WR,9100,NYG,@GB,20.0,GB by 4.5,13%,-13%,18%,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,9.0,11.7,10.6,9.5,1.3,8.1,17,19.2,19.4,19.4,9.7,29.0,20.9,2.3,0.0,0.0
Jordy Nelson,,,WR,8000,GB,NYG,24.5,GB by 4.5,4%,-19%,-9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.5,10.5,1.9,8.3,16,24.8,20.0,20.0,10.4,29.7,21.1,2.6,0.0,0.0
Aaron Rodgers,,,QB,7900,GB,NYG,24.5,GB by 4.5,4%,-19%,-22%,36.0,38.1,40.4,6.8,7.3,5.0,4.2,4.3,0.8,5.5,0.0,0.0,0.0,0.0,0.0,70,29.8,25.6,25.6,17.3,33.8,22.4,2.8,0.0,0.0
Ben Roethlisberger,1,,QB,7600,PIT,MIA,28.0,PIT by 10,0%,29%,14%,33.3,36.4,35.5,4.3,7.5,2.7,1.1,2.2,0.4,0.9,0.0,0.0,0.0,0.0,0.0,58,13.9,19.9,19.9,10.4,29.5,18.0,2.4,0.0,0.0
Doug Baldwin,,,WR,7000,SEA,DET,25.5,SEA by 8,1%,-2%,5%,0.0,0.1,0.0,0.1,15.0,0.7,0.2,0.0,0.0,0.7,9.7,7.8,7.7,0.9,9.0,14,20.2,16.4,16.4,6.1,26.8,16.9,2.4,0.0,0.0
Russell Wilson,,,QB,7000,SEA,DET,25.5,SEA by 8,1%,-2%,15%,34.3,34.1,32.7,4.6,7.7,6.0,4.5,4.7,0.4,3.6,0.0,0.1,0.0,0.1,7.0,66,24.6,18.3,18.3,9.8,26.7,19.4,2.8,0.0,0.0
Jay Ajayi,,Q,RB,6800,MIA,@PIT,18.0,PIT by 10,1%,-8%,14%,0.0,0.0,0.0,0.0,0.0,22.3,17.3,17.6,2.1,4.9,1.3,2.3,2.4,0.3,4.3,36,15.6,15.2,15.2,4.8,25.6,14.2,2.1,0.0,0.0
DeAndre Hopkins,,,WR,6700,HOU,OAK,20.5,HOU by 4,4%,8%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,9.4,7.0,0.6,6.3,11,15.4,12.7,12.7,6.2,19.2,12.4,1.9,0.0,0.0
