Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Green Bay Packers,2,D,3700,GB,@CLE,18.0,GB by 2.5,3.3,0.8,1.8,203,106,14.2,12.8,9.0,6.9,6.9,2.8,11.1,11.2,3.0,6.0,1.6
Los Angeles Chargers,5,D,3600,LAC,WAS,20.3,LAC by 6,2.9,1.0,0.7,249,100,22.2,9.7,18.3,10.6,10.6,2.0,19.1,9.3,2.6,8.0,2.2
Jacksonville Jaguars,7,D,3500,JAX,SEA,19.0,JAX by 2.5,2.3,0.3,0.8,256,103,22.3,5.7,16.0,14.3,14.3,5.0,23.7,11.5,3.3,8.0,2.3
Indianapolis Colts,1,D,3500,IND,@BUF,20.0,BUF by 3.5,2.9,0.4,0.8,174,122,17.9,7.8,3.0,5.2,5.2,2.3,8.1,9.2,2.6,8.0,2.3
Denver Broncos,0,D,3400,DEN,NYJ,20.8,NYJ by 1,2.9,0.7,0.7,222,107,22.2,7.7,7.7,5.9,5.9,1.4,10.4,7.6,2.2,18.0,5.3
New England Patriots,2,D,3300,NE,@MIA,18.8,NE by 10.5,2.3,0.5,1.4,208,85,15.6,11.2,13.0,7.8,7.8,3.0,12.7,9.1,2.8,2.0,0.6
New York Jets,3,D,3300,NYJ,@DEN,19.8,NYJ by 1,3.3,0.8,1.5,208,108,15.7,13.1,2.3,5.1,5.1,0.2,10.0,10.5,3.2,2.0,0.6
Cincinnati Bengals,9,D,3300,CIN,CHI,17.0,CIN by 6,2.4,0.8,0.8,160,115,14.3,9.8,5.3,6.6,6.6,2.1,11.1,8.6,2.6,1.0,0.3
Pittsburgh Steelers,1,D,3200,PIT,BAL,18.5,PIT by 6,1.9,0.3,0.9,173,116,21.3,5.6,7.3,8.5,8.5,3.5,13.5,8.2,2.6,-1.0,-0.3
Houston Texans,2,D,3200,HOU,SF,23.5,SF by 1.5,3.1,0.6,0.9,227,101,16.8,9.3,3.7,6.8,6.8,-1.1,14.6,7.6,2.4,4.0,1.3
Tennessee Titans,1,D,3200,TEN,@ARI,19.8,TEN by 2.5,2.9,0.4,1.2,251,77,17.8,10.0,6.7,5.8,5.8,1.2,10.3,9.0,2.8,12.0,3.8
Buffalo Bills,3,D,3100,BUF,IND,16.5,BUF by 3.5,4.2,0.5,0.8,197,99,16.4,12.2,3.3,6.6,6.6,0.9,12.3,9.8,3.2,5.0,1.6
Seattle Seahawks,2,D,3100,SEA,@JAX,21.5,JAX by 2.5,1.7,0.6,0.7,206,149,21.9,5.8,6.7,8.8,8.8,3.4,14.3,7.5,2.4,1.0,0.3
San Francisco 49ers,1,D,3000,SF,@HOU,22.0,SF by 1.5,3.2,0.8,1.2,232,117,22.5,9.9,3.3,3.9,3.9,0.5,7.3,6.6,2.2,6.0,2.0
Dallas Cowboys,6,D,2900,DAL,@NYG,19.3,DAL by 4,2.4,0.6,0.7,204,89,14.6,8.3,6.0,6.9,6.9,-0.7,14.5,9.5,3.3,8.0,2.8
New York Giants,,D,2900,NYG,DAL,23.3,DAL by 4,2.1,0.6,0.8,190,139,23.3,7.2,9.7,5.8,5.8,-1.1,12.8,6.5,2.2,-1.0,-0.3
Tampa Bay Buccaneers,1,D,2800,TB,DET,24.5,DET by 1,3.3,0.8,0.7,259,78,23.7,8.6,8.0,6.8,6.8,-0.1,13.6,6.7,2.4,6.0,2.1
Arizona Cardinals,,D,2800,ARI,TEN,22.3,TEN by 2.5,2.3,0.4,1.2,202,122,22.2,7.3,5.7,5.8,5.8,1.9,9.6,8.1,2.9,11.0,3.9
Baltimore Ravens,0,D,2700,BAL,@PIT,24.5,PIT by 6,1.3,0.4,1.1,265,103,23.3,5.7,17.0,13.3,13.3,2.7,23.9,9.3,3.4,-1.0,-0.4
Carolina Panthers,1,D,2700,CAR,MIN,21.5,MIN by 2.5,1.2,0.4,0.4,248,123,23.8,3.3,7.3,7.9,7.9,1.8,14.0,6.3,2.3,12.0,4.4
