"Player.Name","Likes","Inj","Pos","Salary","Team","Opp","Vegas.Pts","Vegas.Spread","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Pass.Att","S.Pass.Att","Proj.Pass.Att","Red.Zone.Pass.Att","Yards.Per.Pass.Att","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","Projected.Usage","L3.FP","L16.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Julio Jones",5,"","WR",9600,"ATL","@TB",26.8,"ATL by 4.5","10%","6%","1%",0,0,0,0,0,0,0,0,0,0,9.7,8.8,8.4,0.4,12.3,14,21.7,20.6,20.6,4.1,37.1,22.3,2.3,0,0
"Antonio Brown",31,"","WR",8900,"PIT","@BAL",24.8,"PIT by 3.5","-11%","-24%","3%",0,0,0,0,0,0.7,0.3,0.5,0,9.5,10,10.7,9.7,0.9,7.9,17,17.7,21.2,21.2,11.1,31.2,23,2.6,0,0
"Odell Beckham",18,"","WR",8800,"NYG","PHI",22.8,"NYG by 3","-11%","6%","-15%",0,0,0,0,0,0,0,0,0,0,10.3,10,9.2,1,9,16,23.6,18,18,5.2,30.8,19.8,2.3,0,0
"Mike Evans",2,"Q","WR",8500,"TB","ATL",22.3,"ATL by 4.5","14%","-13%","19%",0,0,0,0,0,0,0,0,0,0,12,12,12.4,1.3,7.1,20,20.5,20.6,20.6,12.4,28.9,22.8,2.7,0,0
"Ezekiel Elliott",61,"","RB",7900,"DAL","@CLE",28,"DAL by 7","10%","33%","30%",0,0,0,0,0,21.7,22.7,23.6,2.6,5,4,2.7,2.7,0.4,7.9,41,25.4,21.6,21.6,14.1,29,23.5,3,0,0
"Jordy Nelson",29,"","WR",7800,"GB","IND",30.3,"GB by 7.5","14%","6%","0%",0,0,0,0,0,0,0,0,0,0,6.7,8.6,9.2,2.1,6.9,15,10.7,15.8,15.8,6.9,24.7,19.5,2.5,0,0
"Aaron Rodgers",40,"","QB",7800,"GB","IND",30.3,"GB by 7.5","14%","6%","23%",45.3,39.3,39.2,6.9,6.3,3.7,4,3.4,0.9,5.6,0,0,0,0,0,69,25.3,23.3,23.3,16.7,29.9,23.8,3.1,0,0
"Amari Cooper",4,"Q","WR",7700,"OAK","DEN",22.3,"OAK by 1","-23%","9%","-44%",0,0,0,0,0,0,0,0.3,0,0,11,10,8.4,0.9,9.8,14,23.7,19.8,19.8,8.2,31.4,17.4,2.3,0,0
"Le'Veon Bell",40,"","RB",7700,"PIT","@BAL",24.8,"PIT by 3.5","-11%","-24%","-21%",0,0,0,0,0,17,17.3,17.5,1,5,10.3,9.3,5.4,0.3,6.6,39,22.7,23.5,23.5,20.3,26.6,22,2.9,0,0
"DeMarco Murray",24,"","RB",7600,"TEN","@SD",21.8,"SD by 3.5","11%","-20%","39%",0,0,0,0,0,22.3,20,14.7,2.9,4.7,3,4.5,3.3,1.1,5.5,31,20,22.8,22.8,17.9,27.7,15,2,0,0
"T.Y. Hilton",22,"","WR",7600,"IND","@GB",22.8,"GB by 7.5","1%","-31%","-3%",0,0,0,0,0,0,0,0.2,0,0,9,10.3,9.7,1,8.6,17,13.4,18.7,18.7,5.9,31.6,23,3,0,0
"Brandin Cooks",6,"","WR",7500,"NO","@SF",28.8,"NO by 4.5","-13%","72%","-7%",0,0,0,0,0,0.3,0.4,0.3,0.1,6.3,8,8,7.4,0.9,9.5,12,22.2,18.1,18.1,5.5,30.7,16.8,2.2,0,0
"Dez Bryant",27,"Q","WR",7400,"DAL","@CLE",28,"DAL by 7","10%","33%","15%",0,0,0,0,0,0,0,0,0,0,10.7,9.3,6.6,1.3,7.1,10,19.2,14.8,14.8,5,24.7,15.3,2.1,0,0
"Brandon Marshall",16,"","WR",7300,"NYJ","@MIA",20.8,"MIA by 3.5","-6%","26%","0%",0,0,0,0,0,0,0,0,0,0,7.7,9.6,7.7,1.5,7,13,9.2,13.3,13.3,5.2,21.3,15.3,2.1,0,0
"Spencer Ware",2,"O","RB",7200,"KC","JAX",24.8,"KC by 7","-10%","16%","-3%",0,0,0,0,0,16,14.6,0,2,5,2,3.3,0,0.3,13.6,0,18.4,17.2,17.2,6,28.4,0,0,0,0
"Drew Brees",30,"","QB",7200,"NO","@SF",28.8,"NO by 4.5","-13%","72%","-4%",44,44,36.9,6.6,7.7,0.3,1.3,0.9,0.3,1.2,0,0,0,0,0,58,28.7,25.7,25.7,16.3,35.1,22.9,3.2,0,0
"Jarvis Landry",36,"","WR",7100,"MIA","NYJ",24.3,"MIA by 3.5","15%","-32%","26%",0,0,0,0,0,0.3,0.4,1.2,0,6,6.7,9.3,9.2,0.6,8.8,18,12.3,16.9,16.9,8.8,25,19.5,2.7,0,0
"Matt Ryan",9,"","QB",7100,"ATL","@TB",26.8,"ATL by 4.5","10%","6%","9%",37,34.9,32.7,5.9,9.4,2,2.6,2.4,0.4,3.3,0,0,0,0,0,58,21.9,24.9,24.9,16.5,33.4,23.8,3.4,0,0
"Cam Newton",13,"","QB",7000,"CAR","@LA",23.8,"CAR by 3","-5%","-3%","-13%",33,34.5,32.3,3.3,7.3,4.7,6.3,7,1.5,5,0,0,0,0,0,65,19.8,22.1,22.1,13.1,31.1,22.1,3.2,0,0
"Allen Robinson",7,"","WR",6900,"JAX","@KC",17.8,"KC by 7","-2%","5%","7%",0,0,0,0,0,0,0,0,0,0,9.7,10,9,1.6,5.2,16,7.9,12.4,12.4,5.4,19.4,16.5,2.4,0,0
"Kelvin Benjamin",11,"","WR",6800,"CAR","@LA",23.8,"CAR by 3","-5%","-3%","6%",0,0,0,0,0,0,0,0,0,0,9.3,8.1,7.4,1,8.2,12,12.6,15,15,4.7,25.2,14.4,2.1,0,0
"Devonta Freeman",6,"","RB",6700,"ATL","@TB",26.8,"ATL by 4.5","10%","6%","4%",0,0,0,0,0,12.7,14.5,16.2,2.9,4.7,5.7,4.3,4.6,1.4,5.6,35,14.9,16.6,16.6,7.4,25.7,18.9,2.8,0,0
"Andrew Luck",40,"","QB",6700,"IND","@GB",22.8,"GB by 7.5","1%","-31%","-8%",35.3,38.9,37.4,5.5,7.3,7,4.5,3.1,0.4,5.8,0,0,0,0,0,69,25.2,23.5,23.5,15.3,31.8,24.3,3.6,0,0
"Christine Michael",6,"","RB",6700,"SEA","BUF",25.5,"SEA by 7","0%","10%","5%",0,0,0,0,0,14.7,15.3,17.4,2.4,4.2,2.7,3.6,2.8,0.3,3.7,34,14.3,15.8,15.8,8,23.7,14.8,2.2,0,0
"Randall Cobb",6,"Q","WR",6600,"GB","IND",30.3,"GB by 7.5","14%","6%","0%",0,0,0,0,0,2,1.7,0,0.3,3.3,12.3,9.2,0,1.3,7.1,0,23.2,16,16,7,25,0,0,0,0
"Ben Roethlisberger",7,"Q","QB",6600,"PIT","@BAL",24.8,"PIT by 3.5","-11%","-24%","-14%",36,37.7,33.9,3.7,7.5,0.3,0.7,1.9,0.2,4.5,0,0,0,0,0,60,27.2,23,23,11.8,34.3,20.9,3.2,0,0
"Philip Rivers",31,"","QB",6500,"SD","TEN",25.3,"SD by 3.5","6%","-23%","9%",40,36.5,35,7.9,7.8,0.3,0.8,1.5,0,3.2,0,0,0,0,0,61,15.5,19.4,19.4,12.8,26,21.4,3.3,0,0
"Matt Forte",25,"","RB",6500,"NYJ","@MIA",20.8,"MIA by 3.5","-6%","26%","-20%",0,0,0,0,0,21.3,19.6,20,3.5,3.5,3.3,3.6,2.4,0.4,5.6,37,20.1,17.2,17.2,4.8,29.6,16.6,2.6,0,0
"Russell Wilson",2,"","QB",6400,"SEA","BUF",25.5,"SEA by 7","0%","10%","-6%",36,34.4,32.7,3.6,7.5,3.3,3.6,3.9,0,1.8,0.3,0.1,0,0,-1,62,10.5,14,14,8,19.9,19.8,3.1,0,0
"Jacquizz Rodgers",0,"O","RB",6400,"TB","ATL",22.3,"ATL by 4.5","14%","-13%","26%",0,0,0,0,0,25,14.7,0,1.7,4.5,2.7,2,0,0.3,4.8,0,18.7,11,11,2.4,19.7,0,0,0,0
"Devontae Booker",35,"","RB",6400,"DEN","@OAK",21.3,"OAK by 1","11%","16%","14%",0,0,0,0,0,13.7,8.8,18.4,1.8,4.3,3.3,2.4,3.6,0.5,5.2,38,13.8,8,8,1.6,14.4,18.1,2.8,0,0
"Michael Crabtree",4,"","WR",6400,"OAK","DEN",22.3,"OAK by 1","-23%","9%","-44%",0,0,0,0,0,0,0,0,0,0,10.3,9.4,7.5,1.1,7.6,12,16.1,18.5,18.5,9.5,27.5,13.8,2.2,0,0
"Melvin Gordon",29,"","RB",6300,"SD","TEN",25.3,"SD by 3.5","6%","-23%","-20%",0,0,0,0,0,24,20.1,18.9,4.4,3.6,5.3,4.3,2.6,0.6,6.4,36,22.7,20.9,20.9,12.9,28.9,14.6,2.3,0,0
"Emmanuel Sanders",22,"","WR",6300,"DEN","@OAK",21.3,"OAK by 1","11%","16%","21%",0,0,0,0,0,0,0,0.3,0,0,8,9.4,8.2,1.8,7.6,15,10.5,15.2,15.2,5.6,24.9,16.7,2.7,0,0
"Derek Carr",2,"","QB",6300,"OAK","DEN",22.3,"OAK by 1","-23%","9%","-24%",43.3,40.4,34.8,5.1,7.2,2.7,2.3,2.7,0,3.4,0,0,0,0,0,61,21.3,22.1,22.1,12.6,31.7,18.3,2.9,0,0
"Greg Olsen",23,"","TE",6200,"CAR","@LA",23.8,"CAR by 3","-5%","-3%","-28%",0,0,0,0,0,0,0,0,0,0,7.7,9,6.9,1.1,9.9,11,15.9,17.4,17.4,8.1,26.8,14.5,2.3,0,0
"LeSean McCoy",2,"Q","RB",6200,"BUF","@SEA",18.5,"SEA by 7","-5%","-17%","-23%",0,0,0,0,0,15,16,15.5,2.4,5.3,1.7,3.4,3.8,0.1,4,34,19.7,20.2,20.2,8.6,31.8,14.5,2.3,0,0
"Doug Baldwin",3,"","WR",6200,"SEA","BUF",25.5,"SEA by 7","0%","10%","9%",0,0,0,0,0,0,0.1,0,0,-4,6.7,7.3,6.6,0.7,9.4,11,9.7,14.4,14.4,4.1,24.7,15.6,2.5,0,0
"Dak Prescott",20,"","QB",6100,"DAL","@CLE",28,"DAL by 7","10%","33%","31%",30,31.6,27.3,4.7,8,5,3.9,5,1,3.9,0,0,0,0,0,50,22.4,19.6,19.6,14.1,25.2,21.6,3.5,0,0
"Terrelle Pryor",19,"","WR",6100,"CLE","DAL",21,"DAL by 7","1%","-15%","-4%",0.3,1.1,0,0.1,4.6,0.3,1,1,0.1,2.6,10,9.5,7.1,0.8,7,15,17.9,16.2,16.2,5.1,27.4,12.2,2,0,0
"Carlos Hyde",6,"Q","RB",6100,"SF","NO",24.3,"NO by 4.5","13%","3%","24%",0,0,0,0,0,17,18.2,0,3.8,3.9,2.3,2.3,0,0.2,4.7,0,14.5,17.1,17.1,7.6,26.6,0,0,0,0
"Jameis Winston",5,"Q","QB",6100,"TB","ATL",22.3,"ATL by 4.5","14%","-13%","38%",30.7,38.6,39.7,4.6,6.6,2.7,3.4,3.3,0.6,2.7,0,0,0,0,0,68,18.6,19.4,19.4,11.9,26.8,21.7,3.6,0,0
"Doug Martin",1,"O","RB",6000,"TB","ATL",22.3,"ATL by 4.5","14%","-13%","26%",0,0,0,0,0,12.5,12.5,0,1,3.4,2.5,2.5,0,0,6.8,0,8.5,8.5,8.5,-0.2,17.1,0,0,0,0
"Jay Ajayi",12,"","RB",6000,"MIA","NYJ",24.3,"MIA by 3.5","15%","-32%","1%",0,0,0,0,0,22,14,16,2.5,6.4,1.3,1.7,1.6,0.3,4.9,31,26.2,16.9,16.9,3.4,30.4,11.6,1.9,0,0
