Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Seattle Seahawks,6,D,4000,SEA,@NYG,18.0,SEA by 3.5,2.7,0.2,0.8,227,90,16.2,8.2,11.0,9.6,9.6,1.7,17.5,8.9,2.2,0.0,0.0
Jacksonville Jaguars,10,D,3700,JAX,@IND,20.0,JAX by 3,3.0,0.7,0.8,204,98,18.5,11.8,16.0,14.5,14.5,2.7,26.3,8.6,2.3,0.0,0.0
Carolina Panthers,5,D,3600,CAR,@CHI,19.0,CAR by 3,2.2,1.3,1.0,171,136,16.2,11.0,4.7,6.5,6.5,0.9,12.1,9.3,2.6,0.0,0.0
Denver Broncos,1,D,3500,DEN,@LAC,19.8,DEN by 1,1.2,0.3,0.8,266,79,19.3,5.2,6.3,7.4,7.4,3.8,11.0,8.7,2.5,0.0,0.0
Dallas Cowboys,1,D,3500,DAL,@SF,21.8,DAL by 6.5,3.0,0.3,0.8,227,95,18.8,6.7,3.0,4.6,4.6,-1.0,10.2,8.0,2.3,0.0,0.0
Buffalo Bills,5,D,3400,BUF,TB,21.0,BUF by 3,1.6,0.2,1.0,300,82,21.2,4.4,10.0,9.8,9.8,7.3,12.3,6.2,1.8,0.0,0.0
Tennessee Titans,8,D,3400,TEN,@CLE,19.5,TEN by 5.5,3.0,0.3,2.3,212,97,14.7,13.2,4.0,4.0,4.0,0.0,8.0,9.3,2.7,0.0,0.0
Minnesota Vikings,12,D,3300,MIN,BAL,17.0,MIN by 4.5,2.0,0.7,1.3,160,130,18.0,8.5,9.0,6.7,6.7,2.1,11.2,9.0,2.7,0.0,0.0
Pittsburgh Steelers,8,D,3200,PIT,CIN,17.5,PIT by 5.5,3.0,1.0,1.2,227,84,15.6,10.4,9.3,10.0,10.0,5.0,15.0,8.2,2.6,0.0,0.0
Miami Dolphins,9,D,3100,MIA,NYJ,17.8,MIA by 3,3.2,0.7,1.0,214,105,18.2,8.8,9.0,6.8,6.8,-0.7,14.3,9.3,3.0,0.0,0.0
New Orleans Saints,8,D,3000,NO,@GB,21.8,NO by 4,3.8,0.3,1.0,230,88,23.5,8.5,20.7,12.0,12.0,-1.8,25.8,7.9,2.6,0.0,0.0
New York Jets,2,D,3000,NYJ,@MIA,20.8,MIA by 3,2.0,0.2,1.0,155,87,11.0,9.0,5.3,5.0,5.0,-0.9,10.9,6.8,2.3,0.0,0.0
Baltimore Ravens,1,D,2900,BAL,@MIN,21.5,MIN by 4.5,1.5,0.8,0.2,239,117,20.3,5.0,11.7,12.2,12.2,1.3,23.1,8.4,2.9,0.0,0.0
Indianapolis Colts,,D,2800,IND,JAX,23.0,JAX by 3,1.7,0.2,0.8,170,166,22.0,6.0,5.0,5.0,5.0,2.5,7.5,5.6,2.0,0.0,0.0
Philadelphia Eagles,1,D,2800,PHI,WAS,22.3,PHI by 4.5,1.6,1.4,0.4,251,123,22.2,8.6,6.7,8.3,8.3,1.4,15.3,6.3,2.3,0.0,0.0
Kansas City Chiefs,,D,2800,KC,@OAK,21.8,KC by 3,2.2,0.3,0.8,185,94,20.7,6.5,7.7,8.2,8.2,4.4,11.9,5.9,2.1,0.0,0.0
Tampa Bay Buccaneers,1,D,2700,TB,@BUF,24.0,BUF by 3,3.6,0.0,0.4,165,107,16.6,6.2,5.3,6.8,6.8,-1.2,14.8,6.0,2.2,0.0,0.0
Los Angeles Rams,9,D,2600,LAR,ARI,21.3,LAR by 3,3.5,0.3,1.0,286,70,18.8,9.2,11.7,11.5,11.5,0.7,22.3,7.7,3.0,0.0,0.0
New York Giants,1,D,2600,NYG,SEA,21.5,SEA by 3.5,2.6,0.2,0.8,228,109,19.6,6.6,9.0,6.5,6.5,-1.3,14.3,7.2,2.8,0.0,0.0
Cincinnati Bengals,2,D,2500,CIN,@PIT,23.0,PIT by 5.5,1.7,0.5,1.3,242,107,19.3,8.7,10.3,8.4,8.4,4.8,12.0,6.0,2.4,0.0,0.0
