Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Denver Broncos,6,D,3900,DEN,OAK,19.5,DEN by 1,1.1,0.4,0.4,264,124,26.9,2.9,4.0,9.4,9.4,2.7,16.1,8.6,2.2,0.0,0.0
Minnesota Vikings,8,D,3800,MIN,CHI,18.5,MIN by 6.5,1.7,0.8,1.1,266,103,17.1,8.1,2.0,9.4,9.5,1.2,17.6,11.3,3.0,0.0,0.0
Seattle Seahawks,9,D,3700,SEA,@SF,16.5,SEA by 11,2.8,1.3,0.7,197,130,19.1,8.5,3.3,6.9,7.3,2.5,11.4,8.1,2.2,0.0,0.0
Pittsburgh Steelers,4,D,3600,PIT,CLE,19.0,PIT by 3.5,4.1,0.6,0.9,231,99,15.6,10.7,5.3,5.9,6.3,0.4,11.4,9.0,2.5,0.0,0.0
Houston Texans,3,D,3500,HOU,@TEN,21.3,TEN by 3,1.7,0.5,0.7,238,139,23.8,7.5,8.7,6.0,6.1,1.8,10.2,6.8,1.9,0.0,0.0
Buffalo Bills,8,D,3400,BUF,@NYJ,19.8,BUF by 4,2.3,0.7,1.7,229,112,16.3,11.1,6.0,7.1,7.1,0.5,13.8,8.5,2.5,0.0,0.0
Kansas City Chiefs,13,D,3300,KC,@SD,20.0,KC by 4.5,2.4,1.1,1.3,275,92,23.9,9.3,10.3,9.4,10.1,2.2,16.7,9.3,2.8,0.0,0.0
Indianapolis Colts,,D,3200,IND,JAX,21.0,IND by 5.5,2.0,1.0,1.1,242,97,19.5,8.8,8.0,6.0,5.6,0.3,11.7,8.2,2.6,0.0,0.0
New England Patriots,7,D,3200,NE,@MIA,19.5,NE by 8,1.9,0.7,0.9,234,117,22.9,6.5,14.0,9.0,9.2,3.7,14.3,9.8,3.1,0.0,0.0
Tampa Bay Buccaneers,5,D,3100,TB,CAR,21.0,TB by 3,2.2,0.8,1.1,248,112,22.3,8.3,5.7,7.8,8.1,0.8,14.8,10.3,3.3,0.0,0.0
New York Giants,,D,3100,NYG,@WAS,27.0,WAS by 7.5,1.3,0.6,0.7,311,111,25.7,4.6,10.7,8.1,8.3,1.3,14.8,7.2,2.3,0.0,0.0
Baltimore Ravens,1,D,3000,BAL,@CIN,20.0,BAL by 1,2.7,0.7,0.5,265,108,19.9,6.1,4.7,7.6,7.9,3.2,12.0,8.7,2.9,0.0,0.0
Arizona Cardinals,18,D,3000,ARI,@LA,16.3,ARI by 7.5,2.8,0.7,1.2,211,80,14.1,11.5,7.3,7.6,8.1,1.9,13.2,12.1,4.0,0.0,0.0
Washington Redskins,6,D,2900,WAS,NYG,19.5,WAS by 7.5,1.3,0.9,1.1,256,83,18.6,6.9,8.0,5.7,6.0,1.6,9.8,9.1,3.1,0.0,0.0
Philadelphia Eagles,7,D,2900,PHI,DAL,18.8,PHI by 6.5,1.6,0.8,0.3,243,155,27.2,3.0,10.0,8.8,8.7,2.6,14.9,9.3,3.2,0.0,0.0
Tennessee Titans,1,D,2900,TEN,HOU,18.3,TEN by 3,1.8,0.6,1.1,209,121,17.1,8.2,5.7,5.1,5.2,1.7,8.5,8.3,2.9,0.0,0.0
Green Bay Packers,,D,2800,GB,@DET,23.5,GB by 3.5,2.3,0.3,0.6,265,82,21.1,5.4,12.7,6.8,6.8,1.3,12.3,6.4,2.3,0.0,0.0
Dallas Cowboys,1,D,2800,DAL,@PHI,25.3,PHI by 6.5,2.1,0.7,0.9,237,113,21.5,6.3,11.0,5.8,6.1,1.9,9.7,9.6,3.4,0.0,0.0
Oakland Raiders,5,D,2800,OAK,@DEN,20.5,DEN by 1,2.7,0.9,0.7,247,89,19.0,8.5,7.0,6.6,6.3,2.6,10.6,9.0,3.2,0.0,0.0
San Diego Chargers,,D,2800,SD,KC,24.5,KC by 4.5,2.1,0.8,0.5,243,110,21.9,5.1,6.7,8.0,7.7,3.4,12.6,7.6,2.7,0.0,0.0
Cincinnati Bengals,,D,2700,CIN,BAL,21.0,BAL by 1,1.9,0.5,0.9,271,92,22.2,6.1,6.7,6.2,6.0,2.6,9.8,7.6,2.8,0.0,0.0
Los Angeles Rams,,D,2700,LA,ARI,23.8,ARI by 7.5,2.6,0.9,1.0,278,110,24.1,8.7,5.0,6.1,6.3,1.0,11.3,8.4,3.1,0.0,0.0
Carolina Panthers,,D,2600,CAR,@TB,24.0,TB by 3,2.1,0.5,1.1,264,100,21.3,7.1,10.3,8.8,7.8,1.8,15.8,7.9,3.0,0.0,0.0
Detroit Lions,,D,2600,DET,GB,27.0,GB by 3.5,2.3,0.6,0.5,276,103,26.7,4.9,1.7,6.2,5.9,0.7,11.7,4.4,1.7,0.0,0.0
Jacksonville Jaguars,,D,2500,JAX,@IND,26.5,IND by 5.5,2.7,0.4,0.9,278,102,25.4,6.3,8.0,4.4,4.4,-0.2,8.9,5.9,2.4,0.0,0.0
Chicago Bears,,D,2500,CHI,@MIN,25.0,MIN by 6.5,2.5,0.7,0.3,258,72,18.1,6.9,4.3,5.6,5.7,0.5,10.7,5.4,2.2,0.0,0.0
Atlanta Falcons,,D,2400,ATL,NO,25.0,ATL by 7.5,1.7,0.7,0.9,327,107,29.1,6.2,13.7,7.1,7.4,0.8,13.4,7.8,3.3,0.0,0.0
Miami Dolphins,,D,2400,MIA,NE,27.5,NE by 8,1.6,0.7,0.1,279,117,27.1,2.9,10.0,7.9,8.1,2.5,13.4,7.9,3.3,0.0,0.0
San Francisco 49ers,,D,2400,SF,SEA,27.5,SEA by 11,2.7,0.5,0.8,275,100,21.5,7.3,5.0,4.0,4.1,-0.7,8.7,4.2,1.8,0.0,0.0
New York Jets,1,D,2300,NYJ,BUF,23.8,BUF by 4,2.9,0.6,0.4,205,171,24.7,5.1,1.3,2.9,2.8,-0.5,6.3,7.8,3.4,0.0,0.0
New Orleans Saints,,D,2200,NO,@ATL,32.5,ATL by 7.5,2.4,0.3,0.5,309,119,31.5,3.0,4.0,4.4,4.1,0.1,8.7,6.0,2.7,0.0,0.0
Cleveland Browns,5,D,2100,CLE,@PIT,22.5,PIT by 3.5,1.1,0.2,0.9,273,113,24.4,3.6,3.0,3.1,3.0,-0.5,6.8,6.6,3.1,0.0,0.0
