Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Seattle Seahawks,6,D,3700,SEA,ARI,17.8,SEA by 8,2.7,0.9,1.1,277,111,23.4,9.1,5.3,7.4,7.7,3.1,11.7,8.6,2.3,0.0,0.0
New England Patriots,18,D,3600,NE,NYJ,14.3,NE by 17,2.3,0.6,1.6,236,112,17.3,10.7,13.0,8.2,8.6,3.3,13.1,13.7,3.8,0.0,0.0
Los Angeles Rams,1,D,3500,LA,SF,17.3,LA by 5,2.7,1.2,0.6,192,135,18.9,8.4,1.7,6.6,6.0,0.8,12.3,9.5,2.7,0.0,0.0
Kansas City Chiefs,4,D,3500,KC,DEN,16.8,KC by 3.5,2.9,0.9,0.6,252,91,19.6,8.4,10.0,10.6,10.1,1.9,19.4,10.1,2.9,0.0,0.0
Tennessee Titans,3,D,3400,TEN,@JAX,19.8,TEN by 4.5,2.1,1.0,1.1,234,98,18.6,9.3,6.3,5.1,5.4,1.7,8.5,9.1,2.7,0.0,0.0
San Diego Chargers,11,D,3400,SD,@CLE,20.8,SD by 4.5,3.8,0.6,0.9,235,97,15.3,10.7,4.3,7.7,7.6,3.1,12.3,10.0,2.9,0.0,0.0
New York Giants,0,D,3300,NYG,@PHI,22.3,PHI by 2,2.2,0.7,0.9,242,113,21.7,6.4,11.0,7.7,8.6,0.6,14.8,9.7,2.9,0.0,0.0
Green Bay Packers,11,D,3300,GB,MIN,19.0,GB by 6.5,2.4,0.6,0.3,249,71,17.6,6.7,12.0,6.8,6.6,1.3,12.2,8.1,2.5,0.0,0.0
Denver Broncos,0,D,3300,DEN,@KC,20.3,KC by 3.5,2.2,0.8,0.4,243,101,21.1,5.3,8.3,9.6,9.9,3.0,16.1,7.4,2.2,0.0,0.0
Washington Redskins,,D,3200,WAS,@CHI,23.0,WAS by 3,1.7,0.9,0.9,262,101,16.9,7.7,4.7,5.6,5.5,1.6,9.6,8.9,2.8,0.0,0.0
Cincinnati Bengals,,D,3200,CIN,@HOU,22.0,HOU by 2.5,1.6,0.6,1.1,212,123,17.4,8.1,6.0,5.9,5.7,2.5,9.4,7.2,2.3,0.0,0.0
Buffalo Bills,5,D,3100,BUF,MIA,19.5,BUF by 4.5,2.1,0.6,0.9,234,106,22.1,6.8,3.7,7.6,7.4,1.0,14.2,7.5,2.4,0.0,0.0
Houston Texans,3,D,3100,HOU,CIN,19.5,HOU by 2.5,2.6,0.7,0.5,265,112,20.6,5.9,6.7,7.3,5.9,0.2,14.3,7.8,2.5,0.0,0.0
Miami Dolphins,,D,3000,MIA,@BUF,24.0,BUF by 4.5,2.9,0.6,0.4,196,164,24.3,5.4,10.3,8.1,8.6,2.7,13.4,9.5,3.2,0.0,0.0
Pittsburgh Steelers,0,D,3000,PIT,BAL,19.3,PIT by 6,1.9,0.6,0.9,272,90,21.9,6.3,7.0,6.4,6.4,0.8,12.1,8.3,2.8,0.0,0.0
Jacksonville Jaguars,1,D,2900,JAX,TEN,24.3,TEN by 4.5,1.6,0.6,0.6,239,145,24.3,7.2,5.0,3.6,3.9,-0.7,7.8,5.7,2.0,0.0,0.0
Minnesota Vikings,,D,2900,MIN,@GB,25.5,GB by 6.5,2.1,0.6,0.6,271,108,25.9,5.2,5.3,10.6,10.1,2.5,18.7,7.5,2.6,0.0,0.0
Baltimore Ravens,0,D,2900,BAL,@PIT,25.3,PIT by 6,1.2,0.2,0.9,273,112,23.9,3.6,8.7,7.9,8.3,3.7,12.1,6.8,2.3,0.0,0.0
Philadelphia Eagles,,D,2800,PHI,NYG,20.3,PHI by 2,1.4,0.9,0.9,249,81,18.6,6.4,6.7,8.0,8.4,1.7,14.3,8.6,3.1,0.0,0.0
San Francisco 49ers,0,D,2800,SF,@LA,22.3,LA by 5,2.7,0.8,1.1,220,79,13.6,11.7,3.3,3.6,3.8,-1.1,8.2,7.5,2.7,0.0,0.0
Oakland Raiders,,D,2800,OAK,IND,24.3,OAK by 3.5,2.9,0.4,0.9,277,102,25.4,6.4,7.7,6.6,6.3,2.6,10.6,9.5,3.4,0.0,0.0
Dallas Cowboys,1,D,2800,DAL,DET,18.5,DAL by 7,2.1,0.3,0.6,266,82,21.1,5.2,10.3,5.8,5.9,1.9,9.7,10.0,3.6,0.0,0.0
Atlanta Falcons,0,D,2700,ATL,@CAR,23.0,ATL by 3,2.2,0.9,1.0,252,112,22.8,8.4,13.0,7.2,7.4,0.9,13.5,7.9,2.9,0.0,0.0
Detroit Lions,,D,2700,DET,@DAL,25.5,DAL by 7,1.6,0.9,0.3,245,155,26.1,3.4,6.3,6.8,6.5,1.8,11.7,4.5,1.7,0.0,0.0
Tampa Bay Buccaneers,2,D,2600,TB,@NO,28.0,NO by 3.5,1.6,0.7,1.0,329,106,29.0,6.6,9.3,7.9,8.6,1.1,14.8,9.0,3.5,0.0,0.0
Arizona Cardinals,1,D,2600,ARI,@SEA,25.8,SEA by 8,2.4,0.4,0.9,269,102,20.9,7.1,6.3,7.3,8.1,1.6,12.9,7.6,2.9,0.0,0.0
Carolina Panthers,2,D,2500,CAR,ATL,26.0,ATL by 3,2.3,0.3,0.5,311,117,31.4,2.9,9.0,9.4,8.0,2.3,16.5,6.4,2.6,0.0,0.0
Indianapolis Colts,,D,2500,IND,@OAK,27.8,OAK by 3.5,1.1,0.4,0.4,265,118,26.5,2.9,11.0,6.8,5.9,0.8,12.7,5.3,2.1,0.0,0.0
New Orleans Saints,0,D,2400,NO,TB,24.5,NO by 3.5,2.1,0.6,1.1,263,101,21.1,7.1,2.3,4.4,4.0,0.1,8.7,8.8,3.7,0.0,0.0
New York Jets,,D,2300,NYJ,@NE,31.3,NE by 17,1.6,0.7,0.1,283,117,26.1,3.3,1.3,3.4,3.2,0.3,6.4,5.8,2.5,0.0,0.0
Chicago Bears,1,D,2300,CHI,WAS,26.0,WAS by 3,1.4,0.6,0.7,314,104,24.6,5.2,10.7,6.3,6.4,1.9,10.7,4.4,1.9,0.0,0.0
Cleveland Browns,,D,2200,CLE,SD,25.3,SD by 4.5,2.6,1.2,1.3,271,96,24.4,9.6,2.3,3.1,2.9,-0.6,6.7,5.8,2.6,0.0,0.0
