Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Denver Broncos,11,D,3800,DEN,HOU,16.5,DEN by 7.5,2.0,0.5,1.3,234,111,18.0,9.2,8.3,8.4,10.3,2.1,14.6,10.8,2.8,0.0,0.0
Minnesota Vikings,31,D,3700,MIN,@PHI,18.0,MIN by 3,2.4,0.2,0.2,237,114,25.8,4.0,17.3,11.4,17.0,4.0,18.9,8.0,2.2,0.0,0.0
Cincinnati Bengals,17,D,3600,CIN,CLE,17.8,CIN by 11,3.2,0.5,0.8,256,111,17.8,8.7,4.7,7.7,4.8,2.5,12.8,7.2,2.0,0.0,0.0
Buffalo Bills,11,D,3400,BUF,@MIA,21.5,BUF by 2.5,2.8,0.7,1.2,254,97,19.7,9.3,12.7,8.6,12.5,2.1,15.0,7.4,2.2,0.0,0.0
Seattle Seahawks,3,D,3300,SEA,@ARI,22.3,ARI by 1,2.2,0.7,1.2,259,124,24.5,7.2,7.3,8.0,8.0,4.0,12.0,8.4,2.5,0.0,0.0
Green Bay Packers,1,D,3300,GB,CHI,19.5,GB by 7.5,1.8,0.8,0.3,295,90,16.8,6.0,5.3,6.3,5.6,2.5,10.0,8.2,2.5,0.0,0.0
Tampa Bay Buccaneers,3,D,3200,TB,@SF,23.0,SF by 1,2.2,0.8,1.0,180,123,21.2,7.5,7.7,6.1,5.2,1.3,10.8,6.7,2.1,0.0,0.0
Philadelphia Eagles,3,D,3100,PHI,MIN,21.0,MIN by 3,1.6,0.0,0.0,245,71,21.4,2.4,12.0,8.9,11.4,1.2,16.7,7.3,2.4,0.0,0.0
Arizona Cardinals,10,D,3000,ARI,SEA,21.3,ARI by 1,2.0,0.6,0.4,280,89,21.0,6.2,11.3,10.0,11.7,1.1,18.9,10.1,3.4,0.0,0.0
Houston Texans,2,D,3000,HOU,@DEN,24.0,DEN by 7.5,2.8,0.7,0.7,241,99,21.3,6.8,5.3,10.2,6.5,2.0,18.3,5.1,1.7,0.0,0.0
New England Patriots,31,D,2900,NE,@PIT,20.8,NE by 7.5,1.8,0.3,1.0,281,106,25.7,4.7,7.3,8.0,8.8,2.6,13.4,9.6,3.3,0.0,0.0
Baltimore Ravens,32,D,2800,BAL,@NYJ,21.3,NYJ by 2.5,1.7,0.5,2.0,245,93,15.8,11.5,5.3,6.6,7.5,1.6,11.5,7.4,2.6,0.0,0.0
Atlanta Falcons,,D,2800,ATL,SD,23.5,ATL by 5.5,2.2,1.7,0.5,275,92,27.8,6.0,7.7,5.1,5.8,1.1,9.1,6.0,2.1,0.0,0.0
Los Angeles Rams,0,D,2700,LA,NYG,23.8,NYG by 3,1.8,1.2,1.0,298,76,19.3,7.3,7.0,6.9,7.5,1.1,12.7,7.7,2.9,0.0,0.0
New York Giants,3,D,2700,NYG,@LA,20.8,NYG by 3,2.2,0.5,1.0,236,81,17.3,9.5,2.0,5.6,3.0,-0.2,11.3,6.8,2.5,0.0,0.0
Pittsburgh Steelers,,D,2700,PIT,NE,28.3,NE by 7.5,2.0,0.7,0.0,280,120,24.8,4.0,5.7,7.7,4.5,0.7,14.7,5.5,2.0,0.0,0.0
Kansas City Chiefs,6,D,2600,KC,NO,22.3,KC by 7,1.6,0.4,0.8,347,78,31.0,4.4,12.3,12.9,9.0,3.4,22.4,9.1,3.5,0.0,0.0
Detroit Lions,,D,2600,DET,WAS,25.5,WAS by 1,1.3,0.3,1.0,288,110,23.7,6.0,6.0,5.0,4.5,1.4,8.6,5.9,2.3,0.0,0.0
New York Jets,11,D,2600,NYJ,BAL,18.8,NYJ by 2.5,2.2,0.8,0.7,265,99,19.5,7.7,1.0,5.1,2.8,0.9,9.4,8.6,3.3,0.0,0.0
Tennessee Titans,20,D,2500,TEN,IND,22.3,TEN by 3.5,3.8,0.5,0.7,287,102,26.7,8.8,7.3,5.3,6.2,2.5,8.0,8.1,3.2,0.0,0.0
Indianapolis Colts,1,D,2500,IND,@TEN,25.8,TEN by 3.5,1.5,0.5,1.0,229,147,20.0,10.0,2.3,6.4,3.0,1.1,11.7,5.8,2.3,0.0,0.0
Miami Dolphins,3,D,2500,MIA,BUF,24.0,BUF by 2.5,2.2,0.7,0.3,181,166,24.0,5.0,5.0,5.3,6.3,0.3,10.3,5.4,2.2,0.0,0.0
San Francisco 49ers,4,D,2500,SF,TB,22.0,SF by 1,2.2,0.6,1.6,265,89,17.6,10.6,2.3,5.1,5.3,1.0,9.2,6.4,2.6,0.0,0.0
Washington Redskins,,D,2400,WAS,@DET,24.5,WAS by 1,2.3,0.2,0.7,275,89,25.0,3.5,9.0,7.4,6.7,3.0,11.8,7.2,3.0,0.0,0.0
Oakland Raiders,5,D,2400,OAK,@JAX,24.8,JAX by 2,2.8,0.6,1.4,264,71,20.2,7.6,4.7,6.1,4.3,1.9,10.4,7.8,3.3,0.0,0.0
