Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacksonville Jaguars,22,D,4000,JAX,@CLE,14.8,JAX by 7.5,3.0,0.6,2.0,207,107,15.2,12.6,12.3,13.8,13.8,3.6,23.9,14.7,3.7,0.0,0.0
Denver Broncos,3,D,3800,DEN,CIN,17.8,DEN by 2.5,2.8,1.0,0.9,204,70,15.2,9.9,2.7,5.3,5.3,1.0,9.7,6.8,1.8,0.0,0.0
Detroit Lions,8,D,3600,DET,@CHI,18.8,DET by 3,2.7,0.9,0.8,170,122,14.4,10.3,8.3,11.4,11.4,6.0,16.9,9.7,2.7,0.0,0.0
New Orleans Saints,2,D,3500,NO,WAS,21.5,NO by 9.5,2.6,1.1,0.6,252,97,22.3,9.0,11.3,10.9,10.9,0.4,21.4,6.9,2.0,0.0,0.0
Baltimore Ravens,13,D,3400,BAL,@GB,18.0,BAL by 2.5,3.3,0.2,0.8,208,105,22.0,7.1,12.0,12.1,12.1,0.7,23.5,10.4,3.1,0.0,0.0
Kansas City Chiefs,6,D,3300,KC,@NYG,17.3,KC by 10,2.4,0.6,0.7,218,90,15.8,8.0,7.0,7.8,7.8,1.4,14.2,9.0,2.7,0.0,0.0
Seattle Seahawks,1,D,3300,SEA,ATL,22.3,SEA by 1.5,1.7,0.3,0.9,252,117,21.2,6.2,10.3,9.6,9.6,3.7,15.4,7.3,2.2,0.0,0.0
Arizona Cardinals,9,D,3200,ARI,@HOU,20.3,HOU by 2.5,3.4,0.8,1.1,221,128,23.3,10.7,7.0,5.8,5.8,1.6,9.9,6.9,2.2,0.0,0.0
Pittsburgh Steelers,,D,3200,PIT,TEN,18.8,PIT by 7,2.2,0.4,0.9,204,125,22.8,7.0,6.7,8.9,8.9,4.5,13.3,7.8,2.4,0.0,0.0
Houston Texans,8,D,3100,HOU,ARI,17.8,HOU by 2.5,2.9,0.4,1.0,260,72,16.6,9.3,4.7,7.8,7.8,-1.0,16.6,10.3,3.3,0.0,0.0
Cincinnati Bengals,8,D,3000,CIN,@DEN,20.3,DEN by 2.5,3.1,0.9,1.4,216,113,17.1,12.6,7.3,7.0,7.0,2.0,12.0,7.5,2.5,0.0,0.0
Los Angeles Chargers,13,D,3000,LAC,BUF,17.0,LAC by 7,3.1,0.4,0.3,180,112,19.1,5.9,13.0,8.0,8.0,0.4,15.6,9.3,3.1,0.0,0.0
Tampa Bay Buccaneers,6,D,2900,TB,@MIA,21.3,TB by 1.5,1.9,0.2,1.1,195,80,14.6,9.4,7.0,6.3,6.3,-0.3,13.0,8.4,2.9,0.0,0.0
