"Player.Name","Likes","Inj","Pos","Salary","Team","Opp","Vegas.Pts","Vegas.Spread","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Pass.Att","S.Pass.Att","Proj.Pass.Att","Red.Zone.Pass.Att","Yards.Per.Pass.Att","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","Projected.Usage","L3.FP","L16.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Antonio Brown",31,"","WR",9500,"PIT","@CLE",25.8,"PIT by 8","9%","34%","15%",0,0,0,0,0,0.7,0.3,0.3,0,3,13.3,11.6,9.9,1.1,8,16,26.9,23,23,12.7,33.3,23.3,2.5,0,0
"Le'Veon Bell",43,"","RB",8800,"PIT","@CLE",25.8,"PIT by 8","9%","34%","32%",0,0,0,0,0,17.3,16.7,21.4,1.5,4.3,10.7,9.3,5.5,0.8,6.4,42,24.1,23.6,23.6,16.4,30.7,28.8,3.3,0,0
"Odell Beckham",26,"","WR",8500,"NYG","CHI",24.5,"NYG by 7","-1%","-8%","17%",0,0,0,0,0,0,0,0,0,0,10,10.1,9.4,1,8.5,15,18.7,19.1,19.1,7.8,30.5,19.9,2.3,0,0
"A.J. Green",24,"","WR",8300,"CIN","BUF",25,"CIN by 2.5","1%","2%","-4%",0,0,0,0,0,0,0,0,0,0,12.3,11,9.1,1.1,9.7,15,25.9,22,22,10,34.1,20.7,2.5,0,0
"DeMarco Murray",34,"","RB",8200,"TEN","@IND",24.8,"IND by 3","13%","7%","8%",0.3,0.1,0,0.1,10,17.3,19.1,16.9,2.9,4.9,4,4.6,3.1,1.2,5.6,34,24.9,23.4,23.4,18.3,28.5,17.7,2.2,0,0
"Mike Evans",21,"","WR",8100,"TB","@KC",18.8,"KC by 7","-2%","14%","9%",0,0,0,0,0,0,0,0,0,0,11,11.8,11.6,1.1,7.7,18,20.9,21.8,21.8,11.1,32.4,20.7,2.6,0,0
"Ezekiel Elliott",21,"","RB",8000,"DAL","BAL",26.5,"DAL by 7.5","-13%","-33%","-23%",0,0,0,0,0,20.3,22,21.7,2.6,5.1,2.3,2.4,2.8,0.3,11.4,40,28.5,24.2,24.2,14.4,34,16.9,2.1,0,0
"David Johnson",15,"","RB",7900,"ARI","@MIN",19,"MIN by 2.5","-13%","-9%","-18%",0,0,0,0,0,20.7,19.4,20.2,3.6,4.3,9.7,6.9,4.5,0.7,7.3,39,24.3,25.5,25.5,17.4,33.5,19.8,2.5,0,0
"Cam Newton",3,"","QB",7900,"CAR","NO",28,"CAR by 3.5","15%","1%","9%",32.3,34.6,33.3,3.1,7.2,8.7,7.1,7,1.3,4.6,0,0,0,0,0,65,17.4,21.5,21.5,13.3,29.6,23.4,3,0,0
"Jordy Nelson",14,"","WR",7800,"GB","@WAS",23,"WAS by 3","2%","8%","-1%",0,0,0,0,0,0,0,0,0,0,13.3,10.1,9.2,2.2,7,15,25.1,18.5,18.5,8.7,28.3,18.2,2.3,0,0
"Tom Brady",20,"","QB",7800,"NE","@SF",31,"NE by 11","-3%","68%","5%",30.3,33.2,34.3,4.4,9.8,3.7,3,3.3,0.8,3.4,0,0,0,0,0,55,22.2,25.9,25.9,17.4,34.4,20.7,2.7,0,0
"T.Y. Hilton",37,"","WR",7700,"IND","TEN",27.8,"IND by 3","9%","-12%","20%",0,0,0,0,0,0,0,0.2,0,0,8.7,10,9.7,0.9,8.8,17,15.5,18.2,18.2,6.1,30.4,20.3,2.6,0,0
"Aaron Rodgers",19,"","QB",7600,"GB","@WAS",23,"WAS by 3","2%","8%","-9%",44,41,39.3,7.3,6.5,5,4.1,3.5,0.8,6.1,0,0,0,0,0,69,31.2,24.8,24.8,18.2,31.3,21,2.8,0,0
"Drew Brees",3,"","QB",7600,"NO","@CAR",24.5,"CAR by 3.5","10%","-26%","9%",34.3,41.8,39.5,6.3,8,1.7,1.4,1.3,0.6,1.4,0,0,0,0,0,63,24.8,25.9,25.9,17.8,34.1,21.9,2.9,0,0
"Ben Roethlisberger",22,"","QB",7500,"PIT","@CLE",25.8,"PIT by 8","9%","34%","34%",41.7,39.6,33.7,4.4,7.4,1.3,1,2.2,0.3,2.8,0,0,0,0,0,56,20.9,23.7,23.7,13.6,33.8,21.3,2.8,0,0
"Amari Cooper",2,"Q","WR",7500,"OAK","HOU",25.5,"OAK by 6","-20%","13%","-22%",0,0,0,0,0,0,0,0.3,0,0,9.3,9.8,8.5,0.9,9.6,14,18.9,18.9,18.9,7.7,30.1,16.5,2.2,0,0
"Allen Robinson",21,"","WR",7400,"JAX","@DET",21,"DET by 5.5","3%","0%","2%",0,0,0,0,0,0,0,0,0,0,13,10.4,9.7,1.6,5.8,17,21.4,15.3,15.3,6.5,24.1,17.4,2.4,0,0
"Kelvin Benjamin",0,"","WR",7300,"CAR","NO",28,"CAR by 3.5","15%","1%","4%",0,0,0,0,0,0,0,0,0,0,8,8.4,7.1,1,8.3,11,12.1,14.6,14.6,5.7,23.5,13.8,1.9,0,0
"Dez Bryant",3,"Q","WR",7200,"DAL","BAL",26.5,"DAL by 7.5","-13%","-33%","0%",0,0,0,0,0,0,0,0,0,0,9,8.3,7.1,1,8,11,17.9,14.8,14.8,4.1,25.5,14.1,2,0,0
"Andrew Luck",38,"","QB",7200,"IND","TEN",27.8,"IND by 3","9%","-12%","18%",36.7,38.6,38.5,5.2,7.4,7,4.8,3.1,0.4,5.2,0,0,0,0,0,70,22,22.6,22.6,14.3,30.8,19.9,2.8,0,0
