Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Arizona Cardinals,13,D,3800,ARI,NYJ,19.0,ARI by 7,1.8,0.6,2.0,253,104,18.4,11.4,10.0,9.6,11.6,0.7,18.6,11.6,3.1,12.0,3.2
Buffalo Bills,32,D,3700,BUF,SF,18.3,BUF by 7.5,2.0,0.8,1.2,178,121,22.2,7.8,18.0,8.1,13.8,1.3,15.0,7.9,2.1,6.0,1.6
Denver Broncos,0,D,3700,DEN,@SD,20.5,DEN by 3,2.2,1.6,0.6,295,90,29.2,6.0,9.3,8.4,11.2,2.2,14.7,8.6,2.3,6.0,1.6
Seattle Seahawks,8,D,3600,SEA,ATL,19.3,SEA by 7,2.2,0.2,0.4,348,124,32.6,2.2,7.0,8.3,8.0,4.2,12.5,8.5,2.4,8.0,2.2
Pittsburgh Steelers,7,D,3400,PIT,@MIA,21.0,PIT by 7.5,3.4,0.8,1.4,255,72,17.6,11.0,5.0,8.3,5.2,1.5,15.0,7.8,2.3,1.0,0.3
Tennessee Titans,27,D,3300,TEN,CLE,18.8,TEN by 7.5,2.6,0.6,1.0,240,125,16.2,9.2,6.7,5.4,6.2,2.5,8.2,7.9,2.4,6.0,1.8
New England Patriots,10,D,3200,NE,CIN,20.5,NE by 7.5,3.4,0.8,0.4,301,84,18.4,6.4,12.3,8.3,9.6,3.0,13.5,8.8,2.8,5.0,1.6
Philadelphia Eagles,3,D,3100,PHI,@WAS,21.0,PHI by 3,1.6,0.4,1.0,293,86,23.0,4.4,10.7,8.9,10.8,1.2,16.7,8.0,2.6,14.0,4.5
New York Giants,3,D,3000,NYG,BAL,19.5,NYG by 3.5,2.2,1.0,0.8,256,99,18.8,8.8,2.3,6.0,3.2,0.2,11.8,8.5,2.8,2.0,0.7
Detroit Lions,9,D,3000,DET,LA,20.8,DET by 2.5,2.4,0.6,1.0,219,82,15.2,11.0,5.7,5.0,5.0,1.4,8.6,6.6,2.2,2.0,0.7
Houston Texans,14,D,2900,HOU,IND,22.3,HOU by 3,4.0,0.6,0.6,294,90,27.4,9.6,4.0,10.0,6.8,1.7,18.3,7.5,2.6,5.0,1.7
Los Angeles Rams,0,D,2900,LA,@DET,23.3,DET by 2.5,2.6,0.2,0.8,276,90,23.8,4.2,11.0,8.4,9.0,1.4,15.5,8.3,2.9,0.0,0.0
Green Bay Packers,0,D,2800,GB,DAL,21.0,GB by 5,1.4,0.6,0.0,248,155,25.8,2.4,5.7,6.1,6.0,2.1,10.0,6.6,2.4,4.0,1.4
