"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","vs MIA","26th",105.5,11300,36.1,87.6,56.1,1.52,30.6,19.3,37,35.5,58.15,58.15,"%",74,5.1,28,58,5.1
"Giannis Antetokounmpo","SF/PFSFPF","MIL","@ SAC","3rd",102,11200,43.6,69.9,55.1,1.47,33.9,20.5,37.4,41,54.86,54.86,"%",86,4.9,26,57.25,5.1
"Karl-Anthony Towns","C","MIN","vs WAS","21st",107.75,9100,33.1,71.4,42.4,1.23,23.8,14.8,34.4,36.75,49.47,49.47,"%",74,5.4,39,43.75,4.8
"Nikola Jokic","C","DEN","@ UTA","1st",101.5,8700,15.3,64.7,41.7,1.41,22.8,11.9,29.6,29.4,36.43,36.43,"%",66,4.2,26,27,3.1
"Hassan Whiteside","C","MIA","@ CLE","19th",102.5,8500,14.1,59.1,37.1,1.37,23.5,10.7,27,24.36,33.4,33.4,"%",65,3.9,18,35.5,4.2
"Devin Booker","SG/SFSGSF","PHX","@ CHI","29th",105.75,8100,21.7,64.6,35.9,1.08,28.6,18.2,33.2,34.3,40.06,40.06,"%",66,4.9,33,54,6.7
"Bradley Beal","SG","WAS","@ MIN","5th",102.75,7900,24.8,59.2,38.6,1.11,29.3,18.4,34.8,37.01,39.56,39.56,"%",75,5,34,21,2.7
"Jimmy Butler","SG","MIN","vs WAS","11th",107.75,7600,21.3,54.5,34.6,0.97,22.3,14.2,35.7,35.68,35.5,35.5,"%",73,4.7,38,45.25,6
"Goran Dragic","PG","MIA","@ CLE","25th",102.5,7500,25.8,47.5,33,0.99,25.8,14.8,33.3,33.2,35.09,35.09,"%",81,4.7,23,17.5,2.3
"T.J. Warren","SF/PFSFPF","PHX","@ CHI","15th",105.75,7300,17.6,62.1,30.9,1.02,25.5,15.5,30.4,35.67,36.63,36.63,"%",59,5,39,38.75,5.3
"Kevin Love","PF/CPFC","CLE","vs MIA","3rd",105.5,7200,14.2,55.5,36.3,1.24,25.4,12.7,29.2,30.9,31.89,31.89,"%",68,4.4,25,56.75,7.9
"Andrew Wiggins","SF/PFSFPF","MIN","vs WAS","27th",107.75,6900,26,51.5,30.4,0.84,23.8,15.5,36.2,38.5,36.92,36.92,"%",76,5.4,37,23.5,3.4
"Jeff Teague","PG","MIN","vs WAS","9th",107.75,6800,12.2,50.2,33.2,1,21.3,11.5,33.3,30.9,28.46,28.46,"%",67,4.2,0,0,NA
"Lauri Markkanen","PF","CHI","vs PHX","25th",106.75,6700,18.6,48.6,30.3,1.01,21.7,12.3,29.9,28.89,31.46,31.46,"%",72,4.7,34,27,4
"Eric Bledsoe","PG/SGPGSG","MIL","@ SAC","17th",102,6600,17.5,57.8,30.8,1.04,27.6,13.8,29.7,34.6,34.81,34.81,"%",63,5.3,23,42.25,6.4
"Khris Middleton","SG/SFSGSF","MIL","@ SAC","8th",102,6600,15.2,64.8,35.6,0.96,25.3,16.4,37.1,38.2,36.44,36.44,"%",60,5.5,23,22,3.3
"Donovan Mitchell","PG/SGPGSG","UTA","vs DEN","13th",102.5,6500,17.8,56,27.3,0.99,28.5,14.4,27.6,34.4,34.16,34.16,"%",60,5.3,30,26.75,4.1
"Otto Porter","SF/PFSFPF","WAS","@ MIN","12th",102.75,6400,12.2,53,32.8,1,17.5,11.7,32.8,33.51,29.69,29.69,"%",65,4.6,32,33.5,5.2
"Derrick Favors","PF/CPFC","UTA","vs DEN","29th",102.5,6300,20.6,56.3,25.3,0.93,20.3,9.5,27.2,30.84,35.9,35.9,"%",60,5.7,32,50.25,8
"Will Barton","SG/SFSGSF","DEN","@ UTA","2nd",101.5,6300,18.3,55.3,28.5,0.99,21.9,11.6,28.7,35.8,34.15,34.15,"%",63,5.4,31,14.5,2.3
"Dion Waiters","SG/SFSGSF","MIA","@ CLE","24th",102.5,6200,10.9,44.1,26,0.84,26.6,15.1,30.9,28.88,25.15,25.15,"%",64,4.1,34,32.25,5.2
"Kris Dunn","PG/SGPGSG","CHI","vs PHX","28th",106.75,6100,19.3,51,25.5,0.98,25.7,11.4,26.1,28.29,32.87,32.87,"%",65,5.4,32,48.5,8
"James Johnson","PF","MIA","@ CLE","18th",102.5,5900,7.9,48,27.9,1.03,20.1,8.5,27.2,26.36,25.07,25.07,"%",59,4.2,31,25.75,4.4
"Taj Gibson","PF/CPFC","MIN","vs WAS","21st",107.75,5800,19.1,52.5,25.9,0.82,14.1,8,31.4,34.75,33.43,33.43,"%",63,5.8,41,32.25,5.6
"Rodney Hood","SG/SFSGSF","UTA","vs DEN","13th",102.5,5700,12.7,44.5,26,0.94,28.5,14.7,27.8,30.16,26.33,26.33,"%",65,4.6,0,0,NA
"Denzel Valentine","SG/SFSGSF","CHI","vs PHX","22nd",106.75,5600,19.5,53.1,24.4,0.89,19,10.3,27.5,34.9,33.92,33.92,"%",61,6.1,38,24.5,4.4
"Zach Randolph","PF/CPFC","SAC","vs MIL","7th",96,5500,9.9,44.9,25.1,1.05,26.9,11.5,23.8,26.34,24.89,24.89,"%",60,4.5,19,18.75,3.4
"Justin Holiday","SG/SFSGSF","CHI","vs PHX","22nd",106.75,5500,17.8,42.1,26.5,0.79,21.2,13.8,33.6,33.43,28.18,28.18,"%",74,5.1,34,49.25,9
"Ricky Rubio","PG","UTA","vs DEN","20th",102.5,5400,9.5,47.7,27.8,0.98,24.9,10.7,28.4,25.9,25.87,25.87,"%",61,4.8,29,30,5.6
