"Date","Contest_names","contest_row_index","max_entry"
"2017-04-21","$1.00entry_MLB$12.5KSoloShot","166","50"
"2017-04-24","$1.00entry_MLB$12.5KSoloShot","218","50"
"2017-04-25","$1.00entry_MLB$12.5KSoloShot","244","50"
"2017-04-26","$1.00entry_MLB$10KSoloShot","294","50"
"2017-04-30","$1.00entry_MLB$10KSoloShot","410","50"
"2017-05-02","$1.00entry_MLB$12.5KSoloShot","462","50"
"2017-05-03","$1.00entry_MLB$12.5KSoloShot","494","50"
"2017-05-04","$1.00entry_MLB$7.5KSoloShot","534","50"
"2017-05-05","$1.00entry_MLB$12.5KSoloShot","547","50"
"2017-05-06","$1.00entry_MLB$8KSoloShot","585","50"
"2017-05-07","$1.00entry_MLB$10KSoloShot","614","50"
"2017-05-08","$1.00entry_MLB$12.5KSoloShot","654","50"
"2017-05-09","$1.00entry_MLB$15KSoloShot","677","50"
"2017-05-12","$1.00entry_MLB$12.5KSoloShot","786","50"
"2017-05-17","$1.00entry_MLB$10KSoloShot","987","50"
"2017-05-28","$1.00entry_MLB$7.5KSoloShot","1206","50"
"2017-05-31","$1.00entry_MLB$10KSoloShot","1289","50"
"2017-06-04","$1.00entry_MLB$7.5KSoloShot","1391","50"
"2017-06-05","$1.00entry_MLB$5KSoloShot","1420","20"
"2017-06-06","$1.00entry_MLB$10KSoloShot","1446","20"
"2017-06-07","$1.00entry_MLB$10KSoloShot","1477","20"
"2017-06-08","$1.00entry_MLB$5KSoloShot","1516","20"
"2017-06-09","$1.00entry_MLB$3KSoloShot","1533","20"
"2017-06-10","$1.00entry_MLB$5KSoloShot","1585","20"
"2017-06-11","$1.00entry_MLB$7.5KSoloShot","1597","20"
"2017-06-12","$1.00entry_MLB$10KSoloShot","1624","20"
"2017-06-25","$1.00entry_MLB$6KSoloShot","2045","20"
"2017-06-26","$1.00entry_MLB$30KWelcomeParty","2069","20"
"2017-06-27","$1.00entry_MLB$10KSoloShot","2115","20"
"2017-06-29","$1.00entry_MLB$7.5KSoloShot","2165","20"
"2017-07-01","$1.00entry_MLB$4KSoloShot","2221","20"
"2017-07-02","$1.00entry_MLB$7.5KSoloShot","2236","20"
"2017-07-06","$1.00entry_MLB$7.5KSoloShot","2348","20"
"2017-07-07","$1.00entry_MLB$10KSoloShot","2364","20"
"2017-07-15","$1.00entry_MLB$7.5KSoloShot","2466","20"
