"Name","teamAbbrev","Opponent","Game","Position","Salary","Proj_dfn","Proj_bbm","Proj_rotogrinders","Proj_rotowire","Batting_Order_Confirmed"
"Leury Garcia","CWS","DET","CWS DET","OF",2700,"5.8","5.95","5.12","2.6","9"
"Tyler Collins","DET","CWS","CWS DET","OF",2700,"6.5","7.53","6.26","4.7","2"
"Derek Norris","TB","TOR","TB TOR","C",2700,"4.8","5.07","5.16","3.9","7"
"Steve Pearce","TOR","TB","TB TOR","OF",2700,"6.9","1.66","4.9","5.8","6"
"Tucker Barnhart","CIN","STL","CIN STL","C",2700,"5.2","4.95","5.06","1.1","8"
"Ryan LaMarre","OAK","HOU","HOU OAK","OF",2700,"4.0","1.32","0","0.0","9"
"Matt Reynolds","NYM","WAS","NYM WAS","2B/SS",2700,"4.7","1.41","0","0.0","8"
"Cody Asche","CWS","DET","CWS DET","1B",2600,"5.5","1.51","5.03","3.6","7"
"Jose Iglesias","DET","CWS","CWS DET","SS",2600,"5.3","5.57","5.31","4.7","9"
"Rickie Weeks","TB","TOR","TB TOR","1B",2600,"5.7","1.54","0","0.5","5"
"AJ Ellis","MIA","PIT","MIA PIT","C",2600,"5.0","1.44","0","0.6","7"
"Geovany Soto","CWS","DET","CWS DET","C",2500,"5.7","1.59","5.11","2.2","8"
"Jim Adduci","DET","CWS","CWS DET","OF",2500,"5.8","0","5.05","0.9","7"
"Darwin Barney","TOR","TB","TB TOR","2B/3B",2500,"4.1","1.3","4.27","2.4","9"
"Kyle Higashioka","NYY","BAL","BAL NYY","C",2500,"4.5","1.77","0","0.8","9"
"Matt Joyce","OAK","HOU","HOU OAK","OF",2500,"5.1","5.24","4.89","0.0","8"
"Daniel Robertson","TB","TOR","TB TOR","2B/3B",2400,"5.0","1.52","0","0.8","9"
"Adam Rosales","OAK","HOU","HOU OAK","2B/SS",2400,"6.4","6.55","4.93","4.2","1"
"Rene Rivera","NYM","WAS","NYM WAS","C",2400,"4.4","1.32","0","0.6","7"
"Ryan Goins","TOR","TB","TB TOR","2B/SS",2300,"5.5","4.65","4.87","0.9","8"
"Miguel Rojas","MIA","PIT","MIA PIT","3B/SS",2300,"5.1","1.47","0","0.5","8"
"Chad Pinder","OAK","HOU","HOU OAK","2B",2200,"5.0","5.19","5.06","2.6","7"
"Chris Stewart","PIT","MIA","MIA PIT","C",2200,"4.1","1.27","0","0.5","8"
"Shane Peterson","TB","TOR","TB TOR","OF",2100,"5.9","5.36","4.81","2.2","8"
