Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,14,SP,12800,WAS,MIA,74%,3.08,9.5,0.306,20.0%,4.72,32.2%,2.81,3.11,R,0.303,0.208,0%,0%,0%,20.7,28.8,28.8,17.3,40.3,22.4,1.7,25.6,2.0
Jake Arrieta,10,SP,11600,CHC,@SF,63%,3.41,5.5,0.313,19.3%,3.99,25.0%,3.50,3.32,R,0.259,0.252,1%,0%,0%,18.6,16.8,16.8,7.0,26.5,17.8,1.5,18.3,1.6
Ervin Santana,2,SP,9500,MIN,MIL,48%,4.60,6,0.328,26.5%,4.65,19.2%,4.46,4.47,R,0.310,0.299,-1%,-1%,0%,16.9,18.7,18.7,5.0,32.3,16.2,1.7,16.7,1.8
Carlos Martinez,8,SP,8200,STL,@KC,54%,4.28,6,0.318,18.8%,4.31,23.7%,3.76,3.58,R,0.336,0.254,-4%,1%,0%,12.3,19.8,19.8,8.4,31.2,16.7,2.0,27.8,3.4
Jhoulys Chacin,2,SP,8100,SD,@CIN,45%,5.02,,0.314,21.8%,4.51,19.2%,4.39,4.22,R,0.343,0.282,-2%,0%,0%,18.8,14.7,14.7,2.7,26.7,15.1,1.9,8.7,1.1
J.C. Ramirez,5,SP,7500,LAA,BAL,54%,4.29,,0.337,23.6%,4.64,17.7%,4.32,4.36,R,0.330,0.308,3%,0%,0%,17.1,14.0,14.0,5.2,22.9,14.6,1.9,1.2,0.2
Dylan Bundy,1,SP,7400,BAL,@LAA,46%,4.71,4,0.326,19.4%,4.23,20.2%,4.56,4.90,R,0.336,0.311,6%,0%,0%,12.0,14.5,14.5,4.6,24.3,13.8,1.9,32.8,4.4
Jordan Zimmermann,0,SP,6900,DET,@PIT,39%,5.03,,0.310,22.2%,4.25,17.4%,4.41,4.45,R,0.325,0.320,2%,1%,0%,10.3,10.0,10.0,0.1,20.0,13.8,2.0,8.4,1.2
Ian Kennedy,2,SP,6800,KC,STL,46%,4.72,5,0.340,22.1%,4.39,22.8%,4.13,4.41,R,0.321,0.319,-2%,1%,0%,11.4,12.6,12.6,2.2,23.1,13.3,2.0,5.5,0.8
Brent Suter,4,SP,6400,MIL,@MIN,52%,4.40,,0.310,21.9%,4.48,19.8%,4.09,4.12,L,,0.295,-2%,-1%,0%,15.4,16.1,16.1,6.0,26.1,13.4,2.1,2.8,0.4
Trevor Williams,4,SP,6200,PIT,DET,61%,3.97,,0.295,23.5%,4.83,16.9%,4.53,4.42,R,0.343,0.317,1%,1%,0%,10.5,10.8,10.8,3.4,18.3,14.2,2.3,28.0,4.5
Matt Moore,1,SP,5000,SF,CHC,37%,4.59,5,0.325,21.2%,4.74,19.6%,4.60,4.79,L,0.357,0.326,1%,1%,0%,9.4,9.9,9.9,-1.0,20.9,14.0,2.8,11.5,2.3
Chris O'Grady,,SP,4800,MIA,@WAS,26%,5.42,,0.319,20.2%,5.45,,,,L,,,-4%,1%,0%,11.5,11.5,11.5,0.9,22.1,9.6,2.0,4.4,0.9
Tim Adleman,9,SP,4600,CIN,SD,55%,4.48,,0.294,24.7%,3.82,19.1%,4.79,5.10,R,0.360,0.339,0%,0%,0%,5.9,11.0,11.0,1.4,20.7,15.5,3.4,10.3,2.2
