Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Chris Sale,1,SP,13000,BOS,NYY,61%,3.30,9.5,0.344,21.4%,5.55,30.4%,2.88,3.01,L,0.244,0.276,-2%,-2%,0%,33.0,30.0,30.0,23.4,36.7,23.2,1.8,40.3,3.1
Max Scherzer,11,SP,12900,WAS,@CIN,60%,3.80,9.5,0.315,21.8%,4.82,32.0%,2.80,3.11,R,0.301,0.207,0%,-1%,0%,33.4,30.8,30.8,20.7,40.9,27.5,2.1,33.3,2.6
Corey Kluber,14,SP,12200,CLE,@OAK,68%,3.20,9.5,0.322,21.6%,4.29,28.2%,3.16,3.16,R,0.303,0.247,4%,-1%,0%,36.8,27.2,27.2,12.9,41.4,26.1,2.1,31.5,2.6
Alex Wood,5,SP,11800,LAD,@MIA,65%,3.54,6,0.323,22.0%,4.71,22.0%,3.70,3.47,L,0.265,0.302,0%,0%,1%,27.2,24.3,24.3,15.5,33.2,21.3,1.8,23.1,2.0
Madison Bumgarner,3,SP,10500,SF,@SD,55%,3.53,,0.291,21.9%,3.55,27.1%,3.20,3.29,L,0.231,0.277,1%,0%,0%,20.8,20.8,20.8,15.2,26.4,24.9,2.4,16.1,1.5
Luis Severino,,SP,10400,NYY,@BOS,39%,4.20,5.5,0.341,17.4%,4.84,24.5%,3.64,3.52,R,0.312,0.308,-6%,-3%,0%,17.2,20.6,20.6,8.6,32.6,13.4,1.3,22.1,2.1
Jimmy Nelson,8,SP,9700,MIL,PHI,59%,3.81,6.5,0.291,23.4%,3.82,20.2%,4.27,4.21,R,0.345,0.306,0%,-1%,0%,27.7,19.5,19.5,6.0,33.0,20.9,2.2,26.0,2.7
Michael Fulmer,0,SP,9400,DET,TOR,57%,4.33,4.5,0.335,20.4%,4.16,19.4%,4.15,4.01,R,0.273,0.283,0%,-2%,0%,19.5,17.9,17.9,8.8,27.1,16.3,1.7,24.2,2.6
Cole Hamels,1,SP,9000,TEX,@KC,47%,4.65,,0.322,20.0%,4.16,22.9%,3.85,3.77,L,0.279,0.304,-2%,-3%,0%,15.6,13.9,13.9,0.9,26.9,14.0,1.6,24.3,2.7
Aaron Nola,5,SP,8800,PHI,@MIL,41%,4.69,7,0.312,23.4%,4.96,23.9%,3.56,3.38,R,0.323,0.279,-2%,-1%,0%,25.9,18.9,18.9,8.5,29.2,20.5,2.3,18.1,2.1
Jameson Taillon,2,SP,8300,PIT,STL,54%,3.83,5,0.318,24.4%,4.57,21.1%,3.78,3.54,R,0.311,0.303,0%,-1%,-1%,19.3,17.1,17.1,8.8,25.4,17.9,2.2,8.4,1.0
Felix Hernandez,3,SP,8300,SEA,@CWS,56%,4.36,5.5,0.312,24.3%,4.56,21.1%,3.94,3.82,R,0.285,0.312,-1%,-1%,0%,12.9,13.6,13.6,4.4,22.8,18.0,2.2,18.4,2.2
