"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"James Paxton",3,"SP",12200,"SEA","NYM","69%",3.34,7,0.321,"20.9%",4.82,"23.8%",3.74,3.56,"L",0.313,0.283,"2%","-1%","0%",28.7,21.8,21.8,9.6,34,20.3,1.7,28.7,2.4
"Gerrit Cole",5,"SP",10900,"PIT","@SD","60%",3.77,NA,0.291,"24.0%",3.83,"22.0%",3.74,3.57,"R",0.319,0.286,"2%","0%","0%",18.1,15.6,15.6,5.4,25.9,21.3,2,29,2.7
"Lance McCullers Jr.",2,"SP",10200,"HOU","@DET","52%",4.64,6,0.307,"20.6%",4.8,"26.9%",3.49,3.2,"R",0.28,0.317,"-1%","-2%","-1%",8.5,17.9,17.9,7.1,28.7,17.3,1.7,0.9,0.1
"Madison Bumgarner",4,"SP",9700,"SF","@LAD","41%",4.38,NA,0.326,"22.6%",5.15,"26.8%",3.25,3.35,"L",0.234,0.277,"5%","-1%","-2%",15.8,18.4,18.4,13.1,23.6,19.3,2,26.1,2.7
"Josh Tomlin",2,"SP",8900,"CLE","@CWS","57%",4.33,4.5,0.309,"26.6%",4.35,"18.0%",4.11,4.07,"R",0.294,0.354,"5%","-1%","0%",15.6,11.2,11.2,-0.2,22.6,17.2,1.9,18.4,2.1
"Drew Pomeranz",7,"SP",8700,"BOS","KC","62%",3.92,5,0.324,"19.2%",4.37,"25.2%",3.88,3.81,"L",0.29,0.295,"-3%","-1%","2%",17.1,16.9,16.9,7.6,26.3,16.3,1.9,15.6,1.8
"Jake Faria",2,"SP",8600,"TB","@NYY","41%",4.94,NA,0.327,"21.2%",5.37,"21.6%",4.35,4.53,"R",NA,0.284,"-3%","-1%","0%",15.1,19.4,19.4,11.6,27.2,15.2,1.8,14.2,1.7
"Lance Lynn",6,"SP",8400,"STL","ARI","53%",4.09,5,0.315,"23.8%",5.04,"22.1%",4.16,4.13,"R",0.333,0.267,"1%","-1%","0%",18.8,16.5,16.5,7.1,26,16.7,2,14.1,1.7
"Zach Davies",NA,"SP",8200,"MIL","CHC","51%",4.71,4,0.309,"22.2%",4.69,"17.9%",4.38,4.2,"R",0.323,0.32,"-1%","-1%","0%",18.3,12,12,2.3,21.6,14.3,1.7,17.6,2.1
"Jordan Montgomery",9,"SP",8000,"NYY","TB","59%",4.06,NA,0.319,"24.3%",4.57,"22.0%",4.31,4.55,"L",NA,0.304,"0%","-1%","0%",10.7,15.5,15.5,7.4,23.7,15.6,1.9,3.2,0.4
"Hyun-Jin Ryu",2,"SP",8000,"LAD","SF","59%",3.62,4.5,0.303,"19.3%",3.95,"21.7%",4.19,4.07,"L",0.362,0.326,"3%","-1%","-2%",13.6,13.1,13.1,6,20.2,15.5,1.9,26.1,3.3
"Jharel Cotton",0,"SP",8000,"OAK","MIN","56%",4.66,NA,0.318,"22.3%",4.55,"20.2%",4.63,4.94,"R",0.298,0.323,"2%","-1%","0%",12.1,12.3,12.3,3.6,21,17.1,2.1,2.3,0.3
