"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Clayton Kershaw",3,"SP",14400,"LAD","@SF","63%",2.78,7.5,0.307,"21.0%",3.48,"32.1%",2.38,2.26,"L",0.218,0.231,"-1%","0%","0%",24.5,25.2,25.2,16.2,34.2,26.2,1.8,27.9,1.9
"Johnny Cueto",0,"SP",11500,"SF","LAD","37%",3.72,5.5,0.329,"23.5%",5,"21.4%",3.74,3.63,"R",0.272,0.283,"1%","0%","0%",15.5,16.7,16.7,6.6,26.9,17.6,1.5,10.1,0.9
"Michael Fulmer",5,"SP",11200,"DET","BAL","57%",4.36,NA,0.333,"22.0%",4.5,"20.9%",3.96,3.89,"R",0.255,0.304,"0%","-2%","0%",21.7,21.1,21.1,12.5,29.6,18.5,1.7,15.8,1.4
"Lance McCullers Jr.",0,"SP",10800,"HOU","@MIA","59%",3.6,6.5,0.311,"22.7%",4.3,"27.3%",3.44,3.16,"R",0.288,0.312,"2%","0%","1%",22.4,21.2,21.2,11.3,31.1,22.9,2.1,19.3,1.8
"Michael Pineda",11,"SP",10100,"NYY","@KC","56%",3.98,6,0.318,"20.1%",3.22,"26.0%",3.18,3.06,"R",0.309,0.311,"-2%","0%","0%",20.6,21.5,21.5,10.9,32.1,19.3,1.9,16.1,1.6
"Ervin Santana",0,"SP",9500,"MIN","COL","54%",4.08,NA,0.336,"19.6%",4.79,"19.3%",4.37,4.32,"R",0.307,0.29,"-2%","4%","0%",19.8,23.4,23.4,12.3,34.6,14,1.5,0,0
"Kyle Hendricks",4,"SP",9100,"CHC","CIN","64%",4.65,4.5,0.304,"21.4%",4.89,"22.5%",3.6,3.47,"R",0.297,0.26,"1%","0%","-10%",16.4,15.2,15.2,9.1,21.3,13.7,1.5,16.7,1.8
"Rick Porcello",4,"SP",9000,"BOS","@STL","51%",3.96,6,0.317,"21.4%",4.58,"21.2%",3.73,3.81,"R",0.317,0.311,"5%","0%","-1%",21.5,17.4,17.4,8.8,26.1,18.5,2.1,10.3,1.1
"Matt Shoemaker",15,"SP",8800,"LAA","CWS","63%",3.22,NA,0.311,"24.6%",4.14,"21.1%",3.97,4.12,"R",0.309,0.312,"2%","2%","0%",17.4,13.8,13.8,3.1,24.4,19.6,2.2,24.3,2.8
"Gerrit Cole",5,"SP",8600,"PIT","WAS","55%",4.03,5.5,0.32,"22.5%",6.05,"22.6%",3.58,3.45,"R",0.304,0.287,"1%","-1%","0%",23.1,18.1,18.1,8.5,27.6,18,2.1,20.8,2.4
"Jason Vargas",1,"SP",8400,"KC","NYY","44%",4.52,NA,0.334,"22.3%",5.74,"19.3%",4.13,4.22,"L",0.321,0.299,"-3%","0%","0%",21.1,23.3,23.3,13.9,32.8,13.7,1.6,-0.4,0
"Matt Garza",3,"SP",8200,"MIL","@SD","44%",3.98,4.5,0.291,"23.3%",3.65,"15.8%",4.6,4.42,"R",0.334,0.312,"4%","2%","0%",17.1,17.1,17.1,12,22.3,14.5,1.8,14.5,1.8
"Mike Foltynewicz",3,"SP",7800,"ATL","TOR","52%",4.16,NA,0.304,"20.3%",4.03,"20.3%",4.18,4.33,"R",0.367,0.334,"0%","-1%","0%",15.5,12.9,12.9,0.5,25.4,15.6,2,8.7,1.1
"Miguel Gonzalez",2,"SP",7700,"CWS","@LAA","37%",4.28,NA,0.318,"18.6%",3.8,"16.8%",4.61,4.65,"R",0.326,0.319,"5%","4%","0%",12.9,13.2,13.2,-0.5,26.8,14,1.8,0.2,0
