Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Aaron Judge,5,OF,5600,NYY,MIL,5.42,Suter,,2%,L,R,0.431,3%,0.314,8%,2,2,0,0%,4%,9%,12.3,12.3,12.3,2.4,22.1,11.5,2.1,5.0,0.9
Bryce Harper,5,OF,5500,WAS,ATL,5.49,Teheran,0.340,4%,R,L,0.422,7%,0.285,16%,2,3,1,-2%,3%,0%,11.0,10.8,10.8,1.2,20.5,11.8,2.1,7.0,1.3
Paul Goldschmidt,4,1B,5500,ARI,CIN,5.10,Castillo,,-1%,R,R,0.399,-2%,0.235,0%,3,3,0,3%,0%,0%,6.5,11.2,11.3,3.2,19.5,9.7,1.8,5.0,0.9
George Springer,4,OF,5400,HOU,@TOR,4.27,Stroman,0.312,-2%,R,R,0.345,-6%,0.186,-13%,1,1,0,3%,1%,0%,19.0,11.2,11.2,1.0,21.4,9.3,1.7,9.0,1.7
Joey Votto,7,1B,5400,CIN,@ARI,4.40,Walker,0.310,-2%,R,L,0.427,3%,0.255,6%,3,3,0,8%,0%,0%,13.5,10.7,10.5,3.3,17.8,10.0,1.9,20.0,3.7
Charlie Blackmon,3,OF,5400,COL,CWS,5.67,Quintana,0.289,-7%,L,L,0.339,-7%,0.147,-26%,1,1,0,11%,4%,0%,10.2,11.1,10.7,2.2,19.3,9.6,1.8,13.0,2.4
Jose Ramirez,6,2B/3B,5300,CLE,DET,5.17,Verlander,0.288,-7%,R,S,0.326,1%,0.142,5%,5,5,0,4%,0%,-1%,13.7,10.0,10.0,0.8,19.2,8.3,1.6,7.0,1.3
Jake Lamb,5,3B,5300,ARI,CIN,5.10,Castillo,,1%,R,L,0.370,7%,0.237,7%,4,4,1,5%,0%,0%,9.2,10.1,10.0,1.8,18.1,9.5,1.8,3.0,0.6
Mookie Betts,3,OF,5100,BOS,@TB,4.61,Cobb,0.329,0%,R,R,0.367,1%,0.203,0%,1,1,0,-10%,0%,0%,14.0,10.1,9.8,-0.4,20.1,9.5,1.9,3.0,0.6
Jose Altuve,2,2B,5100,HOU,@TOR,4.27,Stroman,0.312,-2%,R,R,0.368,-2%,0.173,3%,x,x,-,0%,0%,0%,15.6,10.7,10.4,2.1,18.6,0.0,0.0,0.0,0.0
Edwin Encarnacion,2,1B,5100,CLE,DET,5.17,Verlander,0.294,-6%,R,R,0.378,0%,0.270,5%,4,4,0,2%,1%,-2%,8.9,8.6,8.7,-0.1,17.5,8.5,1.7,0.0,0.0
Jean Segura,4,SS,5000,SEA,OAK,5.55,Smith,,-1%,R,R,0.337,2%,0.136,3%,1,1,0,-5%,2%,0%,12.4,9.4,9.4,2.1,16.8,7.9,1.6,14.0,2.8
Gary Sanchez,2,C,5000,NYY,MIL,5.42,Suter,,2%,L,R,0.331,-1%,0.283,7%,3,3,0,0%,4%,9%,5.2,9.6,9.6,0.3,19.0,10.3,2.1,0.0,0.0
Nolan Arenado,9,3B,4900,COL,CWS,5.67,Quintana,0.314,-1%,L,R,0.382,1%,0.246,-8%,3,3,0,14%,4%,0%,9.0,9.4,9.5,0.9,18.1,11.3,2.3,16.0,3.3
Carlos Correa,4,SS,4900,HOU,@TOR,4.27,Stroman,0.312,-2%,R,R,0.367,1%,0.207,0%,3,4,1,2%,1%,0%,14.4,10.0,10.0,2.3,17.6,9.3,1.9,2.0,0.4
Carlos Gomez,6,OF,4900,TEX,LAA,5.68,Chavez,0.312,-2%,R,R,0.328,-1%,0.185,-2%,6,6,-1,2%,1%,0%,6.6,8.8,8.8,-0.2,17.8,7.9,1.6,4.0,0.8
