"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Charlie Blackmon",1,"OF",5600,"COL","@SD",4.06,"Chacin",0.355,"8%","R","L",0.387,"6%",0.238,19,"1","1","0","-16%","-1%","0%",9.3,11,11,2.3,19.8,8.4,1.5,12,2.1
"George Springer",4,"OF",5500,"HOU","@TEX",5.39,"Cashner",0.313,"-2%","R","R",0.335,"-6%",0.167,-16,"1","1","0","4%","-2%","0%",13.7,9.5,9.5,0.6,18.4,9.1,1.7,10,1.8
"Carlos Correa",7,"SS",5500,"HOU","@TEX",5.39,"Cashner",0.313,"-2%","R","R",0.368,"2%",0.204,2,"4","4","0","4%","-1%","0%",12.9,9.5,9.5,2,17.1,9.3,1.7,7,1.3
"Jose Altuve",5,"2B",5400,"HOU","@TEX",5.39,"Cashner",0.313,"-2%","R","R",0.361,"-3%",0.166,0,"3","3","0","5%","-1%","0%",10.6,9.9,9.9,1.7,18.1,9.6,1.8,22,4.1
"Bryce Harper",0,"OF",5400,"WAS","@OAK",4.52,"Mengden",0.364,"8%","R","L",0.423,"7%",0.291,17,"x","x","-","0%","0%","0%",5.6,11.6,11.6,1,22.2,0,0,0,0
"Adam Duvall",3,"OF",5400,"CIN","ATL",5.67,"Dickey",0.336,"4%","R","R",0.334,"0%",0.266,5,"4","4","0","1%","6%","0%",12.2,9.6,9.6,0.5,18.7,9.3,1.7,14,2.6
"Aaron Judge",0,"OF",5400,"NYY","@TOR",4.14,"Biagini",0.276,"-9%","R","R",0.409,"5%",0.313,16,"3","5","2","4%","-1%","0%",11.4,11.8,11.8,2,21.5,8.3,1.5,9,1.7
"Corey Dickerson",5,"OF",5300,"TB","@SEA",4.45,"Gaviglio",NA,"1%","R","L",0.365,"5%",0.274,22,"1","1","0","-4%","-2%","0%",9.5,10.2,10.2,2.4,18,8.6,1.6,14,2.6
"Paul Goldschmidt",2,"1B",5200,"ARI","@MIA",3.96,"Volquez",0.322,"0%","R","R",0.393,"-3%",0.226,-2,"3","3","0","-7%","0%","0%",10.7,11.5,11.5,3.4,19.7,8.6,1.7,0,0
"Mookie Betts",5,"OF",5200,"BOS","@BAL",4.37,"Bundy",0.31,"-2%","R","R",0.368,"1%",0.201,0,"1","1","0","-3%","0%","0%",7.7,9.3,9.3,0.2,18.4,9.6,1.8,12,2.3
"Joey Votto",1,"1B",5200,"CIN","ATL",5.67,"Dickey",0.313,"-2%","R","L",0.422,"2%",0.246,5,"3","3","0","2%","4%","0%",7.9,10,10,2.6,17.4,10.2,2,19,3.7
"Jake Lamb",3,"3B",5100,"ARI","@MIA",3.96,"Volquez",0.33,"2%","R","L",0.368,"7%",0.238,9,"4","4","0","-12%","0%","0%",8.8,10.2,10.2,1.9,18.6,7.4,1.5,2,0.4
"Steven Souza Jr.",1,"OF",5100,"TB","@SEA",4.45,"Gaviglio",NA,"-1%","R","R",0.333,"1%",0.19,3,"5","5","-1","-6%","-1%","0%",13.7,8.7,8.7,0.4,17.1,7,1.4,0,0
"J.D. Martinez",2,"OF",5100,"DET","CWS",5.29,"Gonzalez",0.319,"0%","R","R",0.379,"1%",0.25,0,"5","5","0","0%","3%","-2%",9.2,12.2,12.2,-1.2,25.5,8.8,1.7,0,0
"Nolan Arenado",1,"3B",5000,"COL","@SD",4.06,"Chacin",0.291,"-6%","R","R",0.38,"0%",0.288,5,"3","3","0","-16%","-1%","0%",7.6,9.3,9.3,1.2,17.4,7,1.4,21,4.2
"Ryan Zimmerman",2,"1B",5000,"WAS","@OAK",4.52,"Mengden",0.373,"7%","R","R",0.313,"-7%",0.183,-13,"4","4","0","-5%","0%","1%",9.7,11.1,11.1,2.4,19.8,7.6,1.5,9,1.8
"Marcell Ozuna",2,"OF",5000,"MIA","ARI",4.54,"Delgado",0.293,"-6%","R","R",0.316,"-5%",0.16,-9,"4","4","0","-3%","0%","0%",10.6,9.2,9.2,0.4,18.1,7.3,1.5,8,1.6
"Billy Hamilton",1,"OF",5000,"CIN","ATL",5.67,"Dickey",0.313,"-2%","R","S",0.28,"1%",0.064,-17,"1","1","0","-1%","3%","0%",7.5,9.6,9.6,1.7,17.5,9.6,1.9,3,0.6
"Matt Kemp",1,"OF",5000,"ATL","@CIN",4.33,"Feldman",0.328,"2%","R","R",0.331,"-3%",0.2,-4,"4","4","0","3%","5%","0%",9,10,10,0.8,19.1,9,1.8,5,1
"Xander Bogaerts",0,"SS",4900,"BOS","@BAL",4.37,"Bundy",0.31,"-2%","R","R",0.336,"-3%",0.126,-4,"3","3","0","-3%","0%","0%",8.8,8.8,8.8,1.9,15.6,7.7,1.6,13,2.7
"Jackie Bradley Jr.",1,"OF",4900,"BOS","@BAL",4.37,"Bundy",0.324,"1%","R","L",0.352,"4%",0.246,19,"6","6","1","2%","0%","0%",10,7.5,7.5,-0.6,15.7,8,1.6,5,1
"Justin Bour",2,"1B",4900,"MIA","ARI",4.54,"Delgado",0.329,"2%","R","L",0.361,"2%",0.244,6,"5","5","0","-5%","0%","0%",13.6,9.4,9.4,0.1,18.7,7.5,1.5,12,2.4
"Giancarlo Stanton",2,"OF",4900,"MIA","ARI",4.54,"Delgado",0.293,"-6%","R","R",0.347,"-9%",0.248,-14,"2","2","0","-4%","0%","0%",11.3,9.5,9.5,0.5,18.5,8.4,1.7,11,2.2
"Evan Longoria",3,"3B",4800,"TB","@SEA",4.45,"Gaviglio",NA,"-1%","R","R",0.332,"-3%",0.202,-2,"3","3","0","-6%","-2%","0%",8.2,7.4,7.4,0,14.8,7.5,1.6,9,1.9
"Brett Gardner",NA,"OF",4800,"NYY","@TOR",4.14,"Biagini",0.293,"-6%","R","L",0.337,"3%",0.148,7,"1","1","0","2%","-1%","0%",9.1,10.3,10.3,1.1,19.5,7.7,1.6,14,2.9
