"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Charlie Blackmon",2,"OF",5900,"COL","CIN",7.22,"Romano",NA,"1%","R","L",0.383,"5%",0.234,"16%","3","1","-2","11%","9%","0%",7,10.8,10.5,2.1,19,12.1,2.1,11,1.9
"Joey Votto",2,"1B",5700,"CIN","@COL",5.78,"Chatwood",0.319,"0%","R","L",0.426,"3%",0.255,"6%","3","3","0","21%","9%","0%",13.6,10.7,10.5,3.2,17.8,13.1,2.3,9,1.6
"Nolan Arenado",1,"3B",5600,"COL","CIN",7.22,"Romano",NA,"-1%","R","R",0.377,"-1%",0.281,"5%","x","x","-","0%","0%","0%",6.7,9.2,9.2,1,17.5,0,0,0,0
"Mookie Betts",3,"OF",5400,"BOS","@TB",4.05,"Faria",NA,"-1%","R","R",0.369,"1%",0.204,"0%","1","1","0","-10%","0%","0%",14.6,10.1,10,-0.4,20.3,9.3,1.7,0,0
"Adam Duvall",1,"OF",5300,"CIN","@COL",5.78,"Chatwood",0.314,"-1%","R","R",0.338,"0%",0.262,"2%","4","4","0","29%","11%","0%",11.1,9.4,9.4,0.9,17.9,12.2,2.3,21,4
"Bryce Harper",13,"OF",5300,"WAS","ATL",5.09,"Foltynewicz",0.369,"11%","R","L",0.422,"7%",0.285,"16%","3","3","0","-2%","0%","-4%",12.2,11,11,1.2,20.7,11.3,2.1,5,0.9
"Jose Altuve",13,"2B",5200,"HOU","@TOR",4.98,"Liriano",0.321,"0%","L","R",0.387,"3%",0.163,"-4%","2","2","1","1%","2%","0%",14.1,10.3,10.3,2,18.6,10.4,2,18,3.5
"Carlos Correa",12,"SS",5100,"HOU","@TOR",4.98,"Liriano",0.321,"0%","L","R",0.359,"-1%",0.208,"2%","3","3","1","2%","3%","0%",12.8,9.9,9.9,2.3,17.4,9.8,1.9,5,1
"George Springer",15,"OF",5000,"HOU","@TOR",4.98,"Liriano",0.321,"0%","L","R",0.405,"11%",0.276,"28%","1","1","0","3%","3%","0%",17.1,10.8,10.8,1.4,20.3,11.5,2.3,3,0.6
"Daniel Murphy",12,"2B",5000,"WAS","ATL",5.09,"Foltynewicz",0.369,"11%","R","L",0.387,"8%",0.23,"25%","5","5","0","-1%","0%","-3%",9.5,10.1,10.1,1.8,18.4,9.7,1.9,5,1
"Andrew McCutchen",1,"OF",5000,"PIT","@PHI",4.55,"Hellickson",0.315,"-1%","R","R",0.352,"-5%",0.186,"-7%","3","3","0","7%","0%","0%",10.9,9,8.8,0.8,16.8,9.1,1.8,19,3.8
"Anthony Rizzo",2,"1B",4900,"CHC","MIL",5.33,"Davies",0.333,"3%","R","L",0.386,"2%",0.253,"9%","3","3","0","-3%","5%","0%",9,9.7,9.5,1.7,17.3,10.2,2.1,5,1
