Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Danny Salazar,10,SP,10300,CLE,@MIN,57%,3.87,6.5,0.325,25.1%,4.42,27.1%,3.54,3.54,R,0.296,0.296,0%,2%,0%,22.3,22.3,22.3,15.3,29.4,22.0,2.1,24.1,2.3
John Lackey,12,SP,10200,CHC,MIL,65%,2.72,6.5,0.299,28.4%,4.54,22.0%,3.84,3.75,R,0.309,0.309,1%,3%,1%,24.0,24.0,24.0,19.3,28.7,22.7,2.2,4.7,0.5
Robbie Ray,14,SP,9800,ARI,@LAD,40%,4.17,6.5,0.328,22.5%,4.62,25.6%,3.79,3.70,L,0.308,0.308,8%,1%,0%,20.4,20.4,20.4,13.0,27.8,19.8,2.0,27.3,2.8
Jharel Cotton,10,SP,8200,OAK,TEX,55%,3.55,,0.333,21.7%,5.17,20.8%,4.05,4.24,R,,,2%,2%,0%,15.3,15.3,15.3,-3.8,34.3,16.5,2.0,2.6,0.3
Brandon McCarthy,9,SP,7900,LAD,ARI,60%,3.33,5,0.301,24.4%,4.85,26.2%,3.98,3.89,R,0.319,0.319,3%,1%,0%,19.9,19.9,19.9,17.9,21.9,18.5,2.3,18.4,2.3
Ivan Nova,4,SP,7500,PIT,@STL,48%,3.83,4,0.313,23.4%,3.50,17.0%,4.07,4.04,R,0.346,0.346,2%,3%,0%,13.0,13.0,13.0,1.3,24.7,14.5,1.9,19.5,2.6
Jaime Garcia,4,SP,7200,ATL,SD,57%,3.87,4.5,0.292,27.3%,3.15,19.3%,3.78,3.65,L,0.319,0.319,0%,1%,0%,4.3,4.3,4.3,-0.8,9.3,18.6,2.6,13.4,1.9
Tom Koehler,1,SP,7100,MIA,@SEA,44%,4.55,,0.324,20.8%,4.08,17.9%,4.78,4.65,R,0.321,0.321,4%,3%,0%,9.2,9.2,9.2,3.7,14.7,13.1,1.8,3.0,0.4
Jesse Chavez,2,SP,6900,LAA,@HOU,42%,4.35,,0.327,17.5%,4.58,20.9%,3.87,3.96,R,0.323,0.323,1%,0%,-2%,12.7,12.7,12.7,-3.0,28.3,12.8,1.9,16.4,2.4
Lance Lynn,2,SP,6800,STL,PIT,52%,3.67,4.5,0.313,20.5%,3.83,21.9%,4.04,3.95,R,0.335,0.335,1%,2%,0%,9.1,9.1,9.1,4.5,13.8,14.8,2.2,26.1,3.8
Chase Anderson,4,SP,6700,MIL,@CHC,35%,3.78,4,0.322,22.8%,3.92,18.1%,4.45,4.44,R,0.306,0.306,3%,4%,1%,23.6,23.6,23.6,13.5,33.7,15.1,2.3,16.4,2.4
Blake Snell,,SP,6600,TB,@BOS,45%,5.29,4,0.336,18.9%,4.42,23.2%,4.71,4.56,L,,0.326,-8%,-1%,-4%,9.6,9.6,9.6,9.5,9.6,13.0,2.0,13.8,2.1
A.J. Griffin,,SP,6500,TEX,@OAK,45%,3.95,4,0.318,19.2%,3.83,20.9%,4.61,5.01,R,0.336,0.336,10%,2%,-1%,9.9,9.9,9.9,0.6,19.2,12.3,1.9,32.3,5.0
Charlie Morton,5,SP,6500,HOU,LAA,57%,3.65,,0.314,18.8%,3.85,18.3%,3.87,3.81,R,0.350,0.350,1%,0%,-2%,12.3,12.3,12.3,10.8,13.7,14.7,2.3,17.1,2.6
Ariel Miranda,,SP,6300,SEA,MIA,56%,3.95,,0.330,17.7%,4.92,18.9%,4.72,5.03,L,,0.302,3%,4%,0%,9.6,9.6,9.6,9.2,10.0,12.5,2.0,23.4,3.7
Steven Wright,0,SP,6200,BOS,TB,55%,4.71,5.5,0.321,24.7%,4.31,18.3%,4.58,4.69,R,0.293,0.293,-4%,-1%,-4%,-4.0,-4.0,-4.0,-21.5,13.5,13.4,2.2,17.5,2.8
Jered Weaver,,SP,6100,SD,@ATL,42%,4.63,3,0.302,18.1%,4.09,13.5%,5.15,5.36,R,0.324,0.324,-3%,3%,0%,9.8,9.8,9.8,-1.4,21.0,10.5,1.7,11.3,1.9
Jordan Montgomery,5,SP,6000,NYY,CWS,60%,3.76,,0.321,19.7%,3.64,,,,L,,,-1%,3%,-5%,15.7,15.7,15.7,15.7,15.7,12.7,2.1,14.1,2.4
Derek Holland,2,SP,5700,CWS,@NYY,40%,4.74,35,0.318,21.1%,5.00,15.5%,4.85,4.89,L,0.285,0.285,-2%,3%,-7%,19.2,19.2,19.2,14.5,23.9,10.9,1.9,-0.1,-0.0
Kyle Gibson,,SP,5400,MIN,CLE,42%,4.63,3.5,0.332,17.4%,4.58,16.9%,4.39,4.19,R,0.337,0.337,-2%,7%,0%,5.2,5.2,5.2,-3.0,13.5,9.9,1.8,3.4,0.6
