Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Chris Sale,6,SP,12800,BOS,@BAL,64%,3.78,9.5,0.322,22.4%,4.51,29.9%,2.89,3.01,L,0.243,0.278,2%,-1%,0%,25.2,29.8,29.8,22.3,37.3,25.4,2.0,25.3,2.0
Justin Verlander,7,SP,9600,DET,CWS,70%,3.65,5.5,0.311,20.7%,4.58,24.8%,3.78,4.09,R,0.284,0.291,0%,-1%,0%,14.7,15.5,15.5,4.0,26.9,19.4,2.0,1.1,0.1
Luis Severino,4,SP,9100,NYY,@TOR,50%,4.02,6,0.332,20.4%,4.47,23.4%,3.68,3.56,R,0.301,0.322,-2%,0%,0%,21.0,21.2,21.2,8.0,34.4,16.3,1.8,21.0,2.3
Tanner Roark,2,SP,8700,WAS,@OAK,52%,4.41,4.5,0.322,21.1%,3.94,18.7%,4.26,4.16,R,0.311,0.284,4%,-1%,-1%,15.9,15.5,15.5,6.3,24.7,15.3,1.8,17.6,2.0
Marcus Stroman,1,SP,8400,TOR,NYY,50%,3.98,5,0.335,20.6%,5.48,19.4%,3.59,3.41,R,0.300,0.312,-2%,0%,0%,18.8,17.2,17.2,6.3,28.2,13.9,1.7,13.9,1.7
Trevor Bauer,5,SP,8200,CLE,@KC,56%,4.16,6,0.317,20.5%,3.43,22.9%,4.10,4.05,R,0.318,0.318,-1%,-1%,0%,23.1,17.5,17.5,5.3,29.6,19.1,2.3,1.9,0.2
Matt Moore,6,SP,8100,SF,@PHI,51%,4.72,5,0.300,22.4%,3.94,19.8%,4.50,4.68,L,0.345,0.321,2%,-1%,-2%,15.8,12.0,12.0,-0.2,24.2,18.4,2.3,-1.8,-0.2
Jose Berrios,2,SP,8000,MIN,@LAA,56%,3.73,,0.309,16.8%,4.03,19.8%,4.88,5.22,R,0.330,0.386,5%,0%,0%,23.8,23.8,23.8,10.2,37.3,15.7,2.0,16.1,2.0
Julio Teheran,0,SP,7900,ATL,@CIN,47%,4.90,4.5,0.309,23.4%,4.96,20.6%,4.21,4.32,R,0.341,0.255,0%,-3%,0%,10.2,11.7,11.7,-0.6,23.9,13.3,1.7,1.5,0.2
Kyle Hendricks,5,SP,7800,CHC,STL,61%,3.97,4.5,0.320,22.6%,4.12,22.4%,3.61,3.48,R,0.298,0.255,1%,-2%,0%,16.9,15.3,15.3,9.1,21.5,16.3,2.1,2.8,0.4
Sonny Gray,1,SP,7600,OAK,WAS,48%,4.59,5,0.344,20.2%,5.64,19.7%,3.96,3.79,R,0.288,0.305,3%,-1%,-1%,15.2,14.2,14.2,-0.2,28.7,12.9,1.7,17.6,2.3
Kenta Maeda,5,SP,7400,LAD,@MIL,56%,4.39,5.5,0.303,25.6%,4.96,24.4%,3.77,3.80,R,0.320,0.264,-4%,-2%,0%,17.9,13.7,13.7,4.2,23.1,17.1,2.3,15.4,2.1
Ariel Miranda,1,SP,7000,SEA,TB,56%,3.96,,0.317,24.7%,4.72,20.0%,4.61,4.90,L,,0.306,2%,1%,0%,12.5,13.8,13.8,1.8,25.9,14.5,2.1,39.8,5.7
Jeremy Hellickson,,SP,6900,PHI,SF,49%,4.78,,0.316,18.0%,3.45,18.0%,4.36,4.33,R,0.314,0.313,2%,-1%,-2%,5.4,9.0,9.0,-0.3,18.4,11.2,1.6,9.2,1.3
Ricky Nolasco,1,SP,6800,LAA,MIN,44%,4.27,,0.327,22.8%,4.73,18.6%,4.34,4.39,R,0.347,0.348,2%,0%,0%,13.1,12.7,12.7,5.6,19.8,14.0,2.1,15.9,2.3
Michael Wacha,1,SP,6700,STL,@CHC,39%,5.03,5,0.320,23.2%,4.58,20.0%,4.13,3.93,R,0.292,0.327,1%,-3%,0%,10.6,14.6,14.6,6.9,22.3,14.6,2.2,1.8,0.3
Jeff Hoffman,4,SP,6300,COL,@SD,59%,3.84,,0.300,24.5%,3.54,19.5%,4.56,4.45,R,,,8%,0%,0%,25.6,25.6,25.6,19.4,31.8,20.4,3.2,34.0,5.4
Chris Tillman,,SP,6300,BAL,BOS,36%,5.22,3.5,0.328,19.5%,4.80,17.6%,4.69,4.60,R,0.312,0.335,0%,-4%,-1%,6.3,6.3,6.3,-3.7,16.3,7.9,1.3,7.5,1.2
Zach Davies,,SP,6200,MIL,LAD,43%,5.11,4,0.316,25.3%,4.88,18.4%,4.31,4.16,R,0.324,0.328,-1%,-3%,0%,10.7,9.5,9.5,0.8,18.3,13.6,2.2,27.1,4.4
Eric Skoglund,1,SP,5900,KC,CLE,43%,4.84,,0.325,18.0%,4.43,,,,L,,,-3%,-2%,0%,26.5,26.5,26.5,26.5,26.5,9.5,1.6,-3.1,-0.5
Erasmo Ramirez,1,SP,5800,TB,@SEA,44%,4.54,,0.328,21.8%,4.52,18.2%,3.95,4.02,R,0.303,0.311,4%,1%,0%,11.4,11.4,11.4,-0.1,22.8,11.7,2.0,7.7,1.3
Brad Peacock,2,SP,5600,HOU,@TEX,57%,4.53,,0.322,21.1%,4.73,27.6%,3.87,4.23,R,0.334,0.253,-6%,0%,0%,19.7,19.7,19.7,13.7,25.7,14.2,2.5,27.9,5.0
Tyler Pill,0,RP,5500,NYM,PIT,53%,4.34,,0.305,20.5%,4.07,,,,R,,,3%,1%,-2%,12.0,12.0,12.0,12.0,12.0,12.3,2.2,8.4,1.5
Braden Shipley,,SP,5300,ARI,@MIA,45%,4.76,,0.302,22.5%,4.51,13.7%,5.40,5.19,R,0.371,0.393,10%,0%,1%,0.4,0.4,0.4,0.4,0.4,13.1,2.5,3.3,0.6
