"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Corey Seager",3,"SS",5700,"LAD","@COL",5.24,"Anderson",0.303,"-2%","L","L",0.326,"-11%",0.171,-19,"2","2","0","29%","0%","2%",6.1,8.6,8.6,1.4,15.8,10.8,1.9,0,0
"Nolan Arenado",8,"3B",5700,"COL","LAD",4.76,"Wood",0.307,"-3%","L","R",0.378,"1%",0.245,-6,"3","3","0","13%","0%","2%",9,9.5,9.5,1.3,17.8,10.5,1.8,2,0.4
"Bryce Harper",6,"OF",5700,"WAS","PHI",4.84,"Pivetta",NA,"1%","R","L",0.404,"4%",0.252,10,"3","3","0","-2%","-6%","-4%",10.7,13.4,13.4,2,24.8,8.8,1.5,20,3.5
"Paul Goldschmidt",5,"1B",5600,"ARI","PIT",5.84,"Williams",NA,"-1%","R","R",0.391,"-3%",0.228,-2,"3","3","0","3%","4%","0%",11,11.2,11.2,2.5,19.8,10.9,1.9,14,2.5
"Mike Trout",9,"OF",5500,"LAA","DET",4.53,"Norris",0.324,"1%","L","R",0.415,"0%",0.241,-10,"2","3","1","-3%","-2%","0%",11.8,11.4,11.4,5.5,17.3,10.7,1.9,21,3.8
"Cody Bellinger",6,"1B/OF",5400,"LAD","@COL",5.24,"Anderson",0.303,"-2%","L","L",NA,"-7%",NA,-22,"6","5","-2","27%","0%","2%",15.9,12.9,12.9,1.4,24.4,10,1.9,2,0.4
"Charlie Blackmon",-1,"OF",5300,"COL","LAD",4.76,"Wood",0.274,"-10%","L","L",0.334,"-8%",0.141,-25,"x","x","-","0%","0%","0%",10.3,10.4,10.4,2.4,18.4,0,0,0,0
"Ryan Braun",NA,"OF",5200,"MIL","NYM",4.71,"Gsellman",0.354,"2%","R","R",0.352,"-4%",0.207,-5,"x","x","-","0%","0%","0%",7.5,10.5,10.5,2.3,18.6,0,0,0,0
"Daniel Murphy",2,"2B",5200,"WAS","PHI",4.84,"Pivetta",NA,"1%","R","L",0.365,"5%",0.189,15,"5","4","-1","-1%","-7%","-4%",9,10.2,10.2,0.7,19.7,7.2,1.4,7,1.3
"Freddie Freeman",6,"1B",5200,"ATL","@MIA",4.29,"Volquez",0.337,"4%","R","L",0.404,"5%",0.248,16,"3","3","0","-5%","2%","0%",10.8,12.3,12.3,1.9,22.7,9.6,1.8,14,2.7
"Miguel Sano",6,"3B",5200,"MIN","@CLE",4,"Clevinger",0.385,"5%","R","R",0.368,"0%",0.252,0,"3","3","0","2%","-3%","0%",14.4,11.3,11.3,2.5,20.1,8.6,1.7,6,1.2
"Yasiel Puig",0,"OF",5200,"LAD","@COL",5.24,"Anderson",0.349,"6%","L","R",0.35,"-1%",0.177,-1,"x","x","-","0%","0%","0%",8,7.5,7.5,-1.9,17,0,0,0,0
"Mookie Betts",6,"OF",5100,"BOS","TB",4.54,"Snell",0.331,"3%","L","R",0.348,"-2%",0.193,2,"1","3","0","4%","-4%","-3%",13.2,9.5,9.5,-0.5,19.5,9.7,1.9,25,4.9
"Ian Desmond",7,"1B/OF",5100,"COL","LAD",4.76,"Wood",0.307,"-3%","L","R",0.341,"7%",0.166,2,"2","5","3","12%","0%","2%",9.1,8.7,8.7,-1.1,18.4,10.3,2,8,1.6
"Joc Pederson",NA,"OF",5000,"LAD","@COL",5.24,"Anderson",0.303,"-2%","L","L",0.265,"-14%",0.135,-29,"x","x","-","0%","0%","0%",6.4,5.7,5.7,-0.1,11.5,0,0,0,0
"Mark Reynolds",3,"1B",5000,"COL","LAD",4.76,"Wood",0.307,"-3%","L","R",0.308,"-7%",0.162,-15,"4","4","1","13%","0%","2%",12.7,10.7,10.7,1.8,19.5,8.8,1.8,3,0.6
"Aaron Judge",NA,"OF",5000,"NYY","HOU",4.42,"TBA",NA,"%","","R",NA,"%",NA,NA,"x","x","-","0%","-9%","-4%",11.6,12.4,12.4,1.3,23.5,0,0,0,0
"Justin Turner",4,"3B",5000,"LAD","@COL",5.24,"Anderson",0.349,"6%","L","R",0.322,"-12%",0.141,-23,"3","3","0","34%","0%","2%",5.3,7.5,7.5,2.4,12.5,10.8,2.2,10,2
"Trea Turner",4,"SS",5000,"WAS","PHI",4.84,"Pivetta",NA,"-1%","R","R",0.383,"3%",0.234,13,"1","1","0","-1%","-6%","-3%",6,9.8,9.8,-1.4,20.9,8.7,1.7,16,3.2
"Brian Dozier",2,"2B",5000,"MIN","@CLE",4,"Clevinger",0.385,"5%","R","R",0.339,"-2%",0.211,-3,"1","1","0","2%","-3%","0%",8.7,8.5,8.5,1.8,15.3,8.7,1.7,7,1.4
"Kris Bryant",NA,"3B",5000,"CHC","@STL",3.61,"Martinez",0.266,"-12%","R","R",0.377,"-2%",0.221,-7,"x","x","-","0%","0%","0%",9.9,10.3,10.3,2.3,18.3,0,0,0,0
"Logan Forsythe",NA,"2B/3B",4900,"LAD","@COL",5.24,"Anderson",0.349,"6%","L","R",0.349,"7%",0.212,38,"x","x","-","0%","0%","0%",6,6.6,6.6,0.6,12.6,0,0,0,0
"Carlos Correa",1,"SS",4900,"HOU","@NYY",3.58,"TBA",NA,"%","","R",NA,"%",NA,NA,"x","x","-","-2%","-7%","-3%",12.3,8.4,8.4,1.9,14.8,0,0,0,0
"Josh Donaldson",NA,"3B",4900,"TOR","SEA",4.63,"TBA",NA,"%","","R",NA,"%",NA,NA,"x","x","-","0%","0%","0%",9.4,9.4,9.4,2.7,16.1,0,0,0,0
