Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Madison Bumgarner,11,SP,11800,SF,SD,64%,2.96,,0.299,22.9%,3.67,27.0%,3.22,3.32,L,0.230,0.277,0%,0%,0%,19.9,19.9,19.9,14.6,25.1,25.4,2.2,12.1,1.0
Jimmy Nelson,3,SP,11700,MIL,@PIT,48%,4.10,5,0.302,19.5%,4.19,20.4%,4.24,4.18,R,0.344,0.304,2%,-3%,0%,24.6,19.8,19.8,6.6,33.1,16.4,1.4,9.1,0.8
Luis Severino,4,SP,11000,NYY,@SEA,56%,3.74,6.5,0.336,20.8%,4.80,24.5%,3.65,3.53,R,0.306,0.307,4%,0%,0%,19.1,20.7,20.7,9.1,32.3,18.6,1.7,26.4,2.4
Michael Fulmer,0,SP,10200,DET,@KC,51%,4.46,4.5,0.321,20.2%,4.06,19.2%,4.14,4.00,R,0.271,0.277,-4%,-4%,0%,22.6,18.3,18.3,9.3,27.3,16.5,1.6,-5.4,-0.5
Jameson Taillon,3,SP,9600,PIT,MIL,52%,3.90,5.5,0.303,25.8%,4.87,21.1%,3.73,3.48,R,0.313,0.306,0%,-2%,0%,16.8,16.4,16.4,8.1,24.7,18.9,2.0,23.2,2.4
Cole Hamels,0,SP,9400,TEX,@BAL,50%,4.98,5,0.327,22.7%,4.55,22.9%,3.86,3.78,L,0.275,0.303,3%,-3%,-1%,16.0,15.1,15.1,2.4,27.7,15.4,1.6,-3.2,-0.3
Lance Lynn,1,SP,8800,STL,@NYM,48%,4.83,4.5,0.313,21.2%,4.82,21.9%,4.16,4.14,R,0.334,0.271,4%,-4%,0%,15.2,16.2,16.2,6.3,26.1,15.2,1.7,19.1,2.2
Danny Duffy,1,SP,8300,KC,DET,49%,4.54,,0.349,19.1%,4.84,21.4%,4.12,4.25,L,0.216,0.332,-2%,-5%,0%,15.2,16.0,16.0,3.5,28.5,12.3,1.5,9.9,1.2
Jhoulys Chacin,,SP,7800,SD,@SF,36%,4.04,,0.313,18.9%,3.89,19.3%,4.37,4.22,R,0.349,0.288,0%,0%,0%,17.4,13.9,13.9,1.2,26.6,14.7,1.9,18.5,2.4
Felix Hernandez,1,SP,7600,SEA,NYY,44%,4.26,5.5,0.343,20.8%,5.34,21.1%,3.93,3.82,R,0.287,0.310,3%,0%,0%,17.4,14.1,14.1,5.2,22.9,13.7,1.8,28.8,3.8
Luis Castillo,5,RP,6900,CIN,ARI,55%,4.51,,0.301,24.1%,4.99,,,,R,,,0%,-3%,0%,19.2,19.2,19.2,10.7,27.6,16.5,2.4,16.5,2.4
Brandon McCarthy,6,SP,6600,LAD,ATL,67%,3.42,4.5,0.315,19.8%,4.62,22.3%,4.30,4.16,R,0.308,0.315,4%,-1%,-2%,7.8,14.0,14.0,5.0,23.0,13.4,2.0,1.0,0.2
Patrick Corbin,,SP,6600,ARI,@CIN,45%,4.99,5.5,0.302,22.4%,4.70,20.2%,4.04,3.87,L,0.293,0.361,3%,-3%,0%,17.4,13.4,13.4,3.5,23.3,15.4,2.3,25.7,3.9
Seth Lugo,2,SP,6500,NYM,STL,52%,4.67,,0.317,25.8%,4.52,16.9%,4.73,4.69,R,0.301,0.309,3%,-4%,0%,10.7,12.9,12.9,3.7,22.2,14.0,2.2,19.4,3.0
Mike Foltynewicz,0,SP,6300,ATL,@LAD,33%,5.08,5,0.331,24.2%,5.15,20.3%,4.29,4.41,R,0.371,0.322,9%,-1%,-2%,20.2,14.6,14.6,1.1,28.0,15.1,2.4,17.4,2.8
Wade Miley,0,SP,5900,BAL,TEX,50%,5.02,4.5,0.340,19.9%,4.86,18.6%,4.38,4.17,L,0.302,0.354,0%,-5%,-1%,2.6,9.5,9.5,-3.1,22.0,9.3,1.6,0.7,0.1
Francisco Liriano,,SP,5800,TOR,@BOS,49%,5.31,4.5,0.342,19.4%,4.72,23.9%,4.07,3.89,L,0.304,0.324,-5%,-5%,-3%,5.5,9.3,9.3,-3.7,22.3,10.5,1.8,-2.4,-0.4
Doug Fister,,SP,5100,BOS,TOR,51%,5.19,,0.330,20.8%,4.13,14.7%,4.83,4.80,R,0.354,0.305,-5%,-6%,-3%,8.3,8.3,8.3,1.7,14.9,9.6,1.9,-2.8,-0.5
