"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Rich Hill",3,"SP",11900,"LAD","@MIA","62%",3.9,6,0.315,"22.9%",4.7,"29.3%",3.43,3.62,"L",0.279,0.246,"0%","0%","1%",21.8,16.6,16.6,4.1,29.1,20.1,1.7,28.3,2.4
"Chris Archer",1,"SP",11700,"TB","@LAA","55%",4.24,7,0.326,"18.0%",4.06,"28.3%",3.34,3.26,"R",0.291,0.289,"2%","-1%","0%",17.4,20.7,20.7,11.5,29.9,19.3,1.6,21.5,1.8
"Yu Darvish",4,"SP",11300,"TEX","@KC","56%",4.19,6.5,0.317,"20.4%",4.15,"28.6%",3.54,3.59,"R",0.302,0.277,"-1%","-2%","0%",15.2,19.3,19.3,8.9,29.8,19.6,1.7,17.6,1.6
"Carlos Martinez",2,"SP",10800,"STL","@PIT","53%",4.12,5.5,0.306,"19.8%",4.26,"23.8%",3.76,3.59,"R",0.334,0.253,"0%","-1%","0%",13.6,20.9,20.9,8.7,33.2,17.9,1.7,18.1,1.7
"Jeff Samardzija",2,"SP",9500,"SF","@SD","56%",3.49,7.5,0.289,"25.0%",3.55,"20.6%",3.95,3.91,"R",0.328,0.292,"1%","-1%","-1%",14.5,18.4,18.4,8.4,28.5,23.6,2.5,9.5,1
"Jose Quintana",2,"SP",9000,"CHC","@BAL","61%",4.63,5.5,0.325,"22.3%",4.49,"21.8%",3.89,3.85,"L",0.289,0.314,"-1%","-2%","0%",21.8,15.6,15.6,3.4,27.8,17.8,2,42,4.7
"Zack Godley",5,"SP",8700,"ARI","@ATL","51%",4.45,NA,0.313,"21.6%",4.65,"21.1%",3.99,3.87,"R",0.314,0.299,"3%","-1%","0%",21.7,19.7,19.7,13.8,25.6,16.8,1.9,14.1,1.6
"Ian Kennedy",NA,"SP",8400,"KC","TEX","44%",4.81,NA,0.331,"19.4%",5.04,"23.0%",4.1,4.39,"R",0.321,0.317,"-3%","-4%","0%",19.8,13.2,13.2,2.7,23.8,12.5,1.5,18.8,2.2
"Steven Matz",5,"SP",7900,"NYM","COL","53%",4.34,NA,0.311,"22.3%",5.03,"21.9%",3.79,3.64,"L",0.303,0.293,"2%","-2%","0%",14.1,14.7,14.7,5.1,24.4,17.3,2.2,-13.7,-1.7
"Trevor Cahill",0,"SP",7800,"SD","SF","44%",4.01,5.5,0.309,"18.7%",3.95,"24.2%",3.59,3.57,"R",0.337,0.305,"1%","-1%","-1%",20.2,18.9,18.9,13,24.9,14.4,1.8,27.6,3.5
"Jeff Hoffman",1,"SP",7500,"COL","@NYM","47%",4.66,NA,0.311,"21.6%",4.83,"19.0%",4.67,4.66,"R",0.291,0.349,"16%","-2%","0%",7.3,16.7,16.7,2.3,31.1,16.1,2.1,10.1,1.3
"Rick Porcello",1,"SP",7400,"BOS","NYY","56%",4.17,NA,0.325,"20.4%",5.53,"20.8%",3.86,3.94,"R",0.314,0.32,"-4%","-2%","-3%",14.6,14.5,14.5,6.1,22.8,14,1.9,17.5,2.4
"Mike Fiers",5,"SP",7300,"HOU","MIN","65%",4.13,NA,0.318,"23.5%",4.58,"21.3%",4.14,4.16,"R",0.292,0.348,"1%","0%","0%",17.3,14.4,14.4,6.4,22.3,16.1,2.2,35.4,4.8
"CC Sabathia",NA,"SP",7300,"NYY","@BOS","43%",4.83,NA,0.328,"20.9%",4.84,"19.3%",4.27,4.19,"L",0.267,0.335,"-8%","-2%","-3%",18.8,14.4,14.4,2.7,26.1,11.3,1.5,19.3,2.6
"Trevor Bauer",0,"SP",7100,"CLE","@OAK","51%",4.22,7,0.319,"22.1%",4.3,"22.6%",4.16,4.1,"R",0.316,0.32,"6%","-2%","0%",16.5,15.2,15.2,4,26.4,18.3,2.6,-6.1,-0.9
"Matt Garza",NA,"SP",7000,"MIL","PHI","60%",4.23,NA,0.297,"23.2%",3.84,"15.8%",4.66,4.48,"R",0.334,0.326,"-1%","0%","0%",11.7,12.4,12.4,6.4,18.4,14.1,2,7.7,1.1
"Marco Estrada",NA,"SP",6900,"TOR","@DET","48%",5.12,5,0.321,"19.9%",4.67,"21.5%",4.41,4.74,"R",0.289,0.306,"2%","-2%","0%",3.2,14.4,14.4,1.6,27.3,14,2,4.8,0.7
"Anibal Sanchez",0,"SP",6700,"DET","TOR","52%",4.88,NA,0.331,"20.5%",4.19,"20.8%",4.19,4.36,"R",0.299,0.373,"0%","-2%","0%",17.7,17.7,17.7,11.7,23.7,13.4,2,4.1,0.6
"Andrew Moore",NA,"SP",6300,"SEA","@CWS","56%",4.46,NA,0.308,"22.0%",4.53,"",NA,NA,"R",NA,NA,"-1%","-1%","0%",13.8,13.8,13.8,7.1,20.4,13.9,2.2,-4.8,-0.8
"Trevor Williams",NA,"RP",6200,"PIT","STL","47%",4.38,NA,0.318,"23.3%",4.54,"17.0%",4.53,4.49,"R",0.336,0.325,"1%","-2%","0%",12.6,10.4,10.4,1.8,18.9,12,1.9,11.6,1.9
"Tanner Roark",NA,"SP",6100,"WAS","@CIN","50%",5,NA,0.308,"21.4%",4.76,"18.3%",4.36,4.25,"R",0.319,0.288,"0%","-2%","0%",1.4,11.5,11.5,0.8,22.2,12.9,2.1,23.3,3.8
"Sean Manaea",0,"SP",6000,"OAK","CLE","49%",4.28,5,0.33,"16.6%",4.78,"22.1%",4.05,3.97,"L",0.221,0.318,"3%","-3%","-1%",14.5,16.9,16.9,8.3,25.5,13.6,2.3,26.9,4.5
"Homer Bailey",NA,"SP",5900,"CIN","WAS","50%",5,NA,0.314,"21.7%",5.52,"16.9%",4.52,4.29,"R",0.359,0.376,"0%","-3%","0%",4.2,4.2,4.2,-12.7,21.1,10.7,1.8,-3.6,-0.6
"Jeremy Hellickson",NA,"SP",5800,"PHI","@MIL","40%",5.27,NA,0.31,"27.3%",5,"17.9%",4.44,4.42,"R",0.323,0.312,"-4%","0%","0%",11.2,9.7,9.7,0.7,18.7,13.7,2.4,20.3,3.5
"Ubaldo Jimenez",NA,"SP",5700,"BAL","CHC","39%",5.87,NA,0.343,"21.3%",4.58,"20.2%",4.43,4.35,"R",0.354,0.316,"0%","-3%","0%",10.7,7.4,7.4,-6.3,21.2,10.5,1.8,-6.9,-1.2
"Jaime Garcia",0,"SP",5400,"ATL","ARI","49%",4.55,NA,0.297,"24.1%",4.99,"19.2%",3.94,3.77,"L",0.309,0.309,"0%","-1%","0%",9.3,12.4,12.4,3.9,20.8,16,3,27.6,5.1
"Parker Bridwell",NA,"SP",5200,"LAA","TB","45%",4.76,NA,0.32,"22.1%",4.73,"14.3%",5.15,5.28,"R",NA,NA,"4%","-2%","0%",13.2,13.2,13.2,4.3,22.2,11.6,2.2,22.1,4.3
"Derek Holland",NA,"SP",4700,"CWS","SEA","44%",5.04,NA,0.332,"19.4%",4.78,"16.7%",4.86,4.94,"L",0.278,0.364,"1%","-1%","0%",6.7,10.9,10.9,-2.4,24.1,9.3,2,3.4,0.7
"Chris O'Grady",NA,"RP",4600,"MIA","LAD","38%",5.1,NA,0.322,"22.8%",5.15,"",NA,NA,"L",NA,NA,"3%","0%","2%",13.8,13.8,13.8,13.8,13.8,11.1,2.4,13.1,2.8
"Kyle Gibson",NA,"SP",4500,"MIN","@HOU","35%",5.87,NA,0.335,"17.0%",5.97,"16.2%",4.58,4.35,"R",0.341,0.328,"10%","0%","0%",6.1,6.5,6.5,-1.9,14.9,7.8,1.7,11.5,2.6
