Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Rich Hill,10,SP,12200,LAD,SD,72%,3.00,8,0.297,24.7%,3.83,29.5%,3.39,3.55,L,0.293,0.247,2%,0%,-1%,23.7,18.0,18.0,6.8,29.2,22.2,1.8,22.7,1.9
Marcus Stroman,2,SP,10900,TOR,PIT,56%,3.92,5,0.324,17.9%,4.22,19.5%,3.68,3.48,R,0.300,0.311,-2%,0%,0%,16.1,17.0,17.0,7.0,27.0,15.4,1.4,22.4,2.1
Jimmy Nelson,10,SP,9900,MIL,CIN,63%,3.61,6.5,0.315,21.7%,4.58,20.9%,4.17,4.09,R,0.343,0.300,0%,1%,0%,23.1,20.3,20.3,7.8,32.8,18.1,1.8,-10.2,-1.0
Carlos Carrasco,12,SP,9700,CLE,@TB,54%,3.83,7.5,0.328,21.5%,4.43,27.3%,3.22,3.13,R,0.294,0.283,4%,0%,0%,10.4,18.4,18.4,6.6,30.2,18.5,1.9,39.6,4.1
Charlie Morton,4,SP,9500,HOU,@TEX,53%,5.07,6.5,0.333,22.9%,4.90,21.1%,3.86,3.75,R,0.321,0.304,-6%,-2%,0%,21.6,19.1,19.1,11.6,26.6,16.6,1.7,13.3,1.4
Danny Duffy,5,SP,9200,KC,@CWS,54%,4.32,5.5,0.312,21.4%,4.32,21.4%,4.12,4.28,L,0.216,0.333,3%,0%,0%,18.0,16.2,16.2,5.1,27.4,18.3,2.0,16.1,1.8
Jon Gray,5,SP,8600,COL,@MIA,52%,4.17,5,0.309,19.7%,4.68,24.5%,3.80,3.65,R,0.320,0.326,12%,0%,1%,12.0,12.9,12.9,0.3,25.5,16.9,2.0,8.8,1.0
Jake Faria,1,SP,8400,TB,CLE,46%,4.17,5,0.323,19.9%,4.83,24.4%,4.17,4.32,R,,0.292,2%,0%,0%,16.1,19.5,19.5,12.1,27.0,15.4,1.8,12.1,1.4
Cole Hamels,1,SP,8200,TEX,HOU,47%,5.43,,0.339,18.2%,5.86,22.6%,3.87,3.79,L,0.276,0.305,-5%,-3%,0%,16.6,15.0,15.0,2.5,27.5,10.5,1.3,26.8,3.3
Jameson Taillon,3,SP,8100,PIT,@TOR,43%,4.58,5.5,0.328,20.5%,4.27,21.2%,3.79,3.53,R,0.334,0.311,-3%,0%,0%,5.8,13.6,13.6,0.9,26.2,13.5,1.7,23.3,2.9
Taijuan Walker,1,SP,7900,ARI,CHC,52%,5.14,5.5,0.319,23.1%,4.69,21.6%,3.99,4.07,R,0.309,0.320,-3%,0%,0%,15.5,16.1,16.1,7.1,25.1,15.3,1.9,1.3,0.2
Mike Foltynewicz,1,SP,7700,ATL,@STL,40%,4.72,5,0.319,24.6%,4.61,20.8%,4.25,4.40,R,0.366,0.326,2%,0%,0%,17.7,15.5,15.5,1.9,29.1,16.6,2.2,-11.2,-1.5
Adam Wainwright,,SP,7500,STL,ATL,60%,3.78,4,0.307,19.6%,4.54,19.0%,4.30,4.03,R,0.323,0.311,1%,0%,0%,13.9,12.5,12.5,-0.8,25.8,14.3,1.9,9.1,1.2
Edwin Jackson,1,SP,7300,WAS,SF,64%,4.22,,0.330,18.5%,4.01,16.9%,4.85,5.00,R,0.359,0.349,0%,0%,0%,16.8,16.8,16.8,8.0,25.5,10.1,1.4,0.0,0.0
Jose Urena,2,SP,6600,MIA,COL,48%,4.33,,0.331,21.9%,5.24,14.6%,5.01,5.10,R,0.336,0.318,4%,0%,2%,14.2,13.5,13.5,5.2,21.8,10.6,1.6,6.6,1.0
Ubaldo Jimenez,3,SP,6500,BAL,@OAK,53%,4.62,,0.321,24.5%,4.37,20.4%,4.41,4.32,R,0.353,0.324,5%,1%,-1%,12.4,8.8,8.8,-4.7,22.3,16.0,2.5,23.8,3.7
Nick Pivetta,1,SP,6400,PHI,NYM,50%,4.75,,0.305,22.6%,4.67,23.1%,4.42,4.59,R,0.290,0.412,2%,0%,-3%,7.7,11.8,11.8,0.1,23.5,14.6,2.3,3.1,0.5
Seth Lugo,1,SP,6300,NYM,@PHI,50%,4.75,,0.301,23.0%,4.01,16.8%,4.70,4.69,R,0.305,0.314,1%,0%,-3%,13.1,12.5,12.5,4.8,20.2,14.7,2.3,10.8,1.7
Eduardo Rodriguez,2,SP,6200,BOS,@NYY,47%,4.66,,0.328,21.6%,5.23,21.7%,4.24,4.35,L,0.350,0.301,3%,0%,0%,10.7,16.7,16.7,9.2,24.1,13.5,2.2,25.1,4.0
Ricky Nolasco,0,SP,6100,LAA,@SEA,46%,5.19,,0.327,19.9%,4.75,18.4%,4.41,4.43,R,0.346,0.356,3%,-2%,0%,10.0,12.0,12.0,0.5,23.6,12.6,2.1,2.5,0.4
John Lackey,,SP,6000,CHC,@ARI,48%,5.36,5,0.326,23.1%,4.97,21.1%,4.02,3.98,R,0.327,0.278,-9%,0%,0%,14.3,13.3,13.3,3.9,22.7,12.8,2.1,19.8,3.3
Kyle Gibson,,SP,5900,MIN,@DET,51%,5.19,,0.310,20.4%,4.80,16.3%,4.58,4.34,R,0.339,0.327,2%,-2%,-2%,9.8,7.6,7.6,-0.7,15.8,11.5,1.9,12.3,2.1
Paul Blackburn,,SP,5800,OAK,BAL,47%,4.88,,0.343,23.0%,4.66,9.7%,5.26,4.88,R,,,5%,1%,-1%,11.9,13.1,13.1,7.0,19.3,9.7,1.7,3.6,0.6
Jaime Garcia,,SP,5700,NYY,BOS,53%,4.34,4,0.330,18.1%,4.76,19.3%,3.96,3.77,L,0.301,0.310,-1%,0%,0%,15.1,13.3,13.3,4.5,22.1,11.8,2.1,12.8,2.2
Anibal Sanchez,,SP,5600,DET,MIN,49%,5.31,,0.321,23.3%,4.55,20.3%,4.25,4.42,R,0.304,0.381,0%,-1%,-1%,5.1,10.7,10.7,-0.4,21.8,12.4,2.2,10.7,1.9
Reynaldo Lopez,1,SP,5500,CWS,KC,46%,4.68,,0.316,17.7%,4.35,20.9%,4.55,4.52,R,,,1%,0%,0%,0.0,0.0,0.0,0.0,0.0,18.6,3.4,17.3,3.1
Homer Bailey,,SP,5300,CIN,@MIL,37%,4.89,,0.313,27.3%,4.57,15.0%,4.90,4.73,R,0.365,0.399,-1%,1%,0%,0.9,2.4,2.4,-11.4,16.1,13.6,2.6,15.3,2.9
Clayton Richard,,SP,5200,SD,@LAD,28%,5.00,,0.326,22.4%,5.09,14.8%,4.11,3.96,L,0.297,0.369,9%,0%,-2%,6.9,10.5,10.5,-1.2,22.1,11.8,2.3,9.1,1.8
Marco Gonzales,,SP,4700,SEA,LAA,54%,4.81,,0.318,19.0%,4.25,,,,L,,,3%,-2%,0%,1.1,1.1,1.1,-3.4,5.5,12.2,2.6,4.8,1.0
Chris Stratton,,RP,4600,SF,@WAS,36%,5.78,,0.322,20.6%,5.48,,,,R,,,-2%,0%,0%,4.8,4.8,4.8,-1.4,11.1,11.3,2.5,0.0,0.0
