Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Yu Darvish,8,SP,12700,TEX,@DET,55%,4.03,6.5,0.326,23.3%,4.88,29.6%,3.35,3.34,R,0.298,0.276,2%,0%,0%,25.4,22.0,22.0,11.5,32.4,24.3,1.9,19.9,1.6
Stephen Strasburg,7,SP,11300,WAS,@ATL,64%,3.60,6.5,0.295,20.4%,4.64,29.2%,3.08,3.05,R,0.273,0.304,0%,0%,0%,18.1,19.2,19.2,12.6,25.7,20.2,1.8,35.6,3.2
Chris Archer,9,SP,10800,TB,NYY,56%,3.71,7,0.336,21.9%,5.74,28.1%,3.30,3.24,R,0.295,0.295,1%,0%,0%,20.0,20.2,20.2,9.7,30.7,21.2,2.0,27.5,2.5
Jake Arrieta,4,SP,9400,CHC,MIL,66%,4.30,6,0.304,25.1%,5.28,25.5%,3.35,3.16,R,0.258,0.251,1%,1%,-5%,10.2,15.0,15.0,3.4,26.7,16.3,1.7,25.3,2.7
Andrew Triggs,,SP,9400,OAK,BOS,47%,4.39,4,0.328,18.8%,4.41,21.2%,3.50,3.50,R,0.274,0.281,3%,-3%,0%,16.2,17.7,17.7,8.1,27.4,12.7,1.4,9.4,1.0
Danny Salazar,1,SP,9300,CLE,@HOU,50%,3.98,6,0.340,17.8%,5.10,27.2%,3.56,3.56,R,0.302,0.312,5%,0%,0%,12.8,16.6,16.6,8.3,24.9,14.0,1.5,20.6,2.2
Eduardo Rodriguez,5,SP,9100,BOS,@OAK,53%,4.11,5.5,0.332,20.4%,3.93,21.4%,4.19,4.27,L,0.336,0.300,7%,-2%,0%,20.7,18.8,18.8,12.2,25.3,17.1,1.9,27.8,3.1
Marco Estrada,6,SP,8600,TOR,@BAL,49%,4.28,5.5,0.330,22.8%,4.72,21.2%,4.36,4.68,R,0.284,0.306,2%,2%,0%,18.7,18.2,18.2,10.2,26.3,17.6,2.0,39.6,4.6
Jesse Chavez,4,SP,8400,LAA,@NYM,50%,4.01,,0.305,24.4%,4.95,20.7%,3.94,4.01,R,0.321,0.305,2%,1%,-2%,15.6,15.0,15.0,6.7,23.2,18.1,2.2,10.6,1.3
Brandon McCarthy,4,SP,8400,LAD,MIA,64%,3.79,,0.331,20.5%,4.02,25.7%,3.95,3.83,R,0.319,0.321,3%,-2%,0%,14.6,15.3,15.3,6.7,23.8,15.8,1.9,23.1,2.8
Aaron Nola,0,SP,8300,PHI,@PIT,52%,4.16,,0.307,20.9%,3.81,23.5%,3.47,3.31,R,0.326,0.295,0%,0%,0%,14.1,14.1,14.1,5.8,22.4,18.1,2.2,19.6,2.4
Joe Musgrove,,SP,8200,HOU,CLE,50%,4.02,4,0.341,16.7%,4.33,19.9%,4.20,4.23,R,0.339,0.332,2%,0%,0%,14.7,11.8,11.8,5.5,18.1,12.6,1.5,-5.9,-0.7
Derek Holland,2,SP,7900,CWS,@SEA,46%,4.45,4.5,0.316,16.2%,4.74,16.0%,4.83,4.94,L,0.284,0.334,7%,-2%,0%,16.5,15.1,15.1,5.7,24.6,10.8,1.4,27.2,3.4
Zack Godley,7,SP,7800,ARI,@SD,53%,3.89,,0.295,25.7%,3.45,20.0%,4.06,4.04,R,0.339,0.331,4%,-1%,0%,21.7,21.7,21.7,15.7,27.8,19.8,2.5,6.3,0.8
CC Sabathia,1,SP,7600,NYY,@TB,43%,4.29,4.5,0.325,25.8%,4.66,18.9%,4.29,4.22,L,0.277,0.350,4%,0%,0%,6.4,10.7,10.7,0.3,21.0,14.9,2.0,22.3,2.9
Kyle Freeland,1,SP,7500,COL,@CIN,48%,4.83,,0.309,21.3%,4.93,15.1%,4.34,4.17,L,,0.284,14%,0%,0%,16.1,13.4,13.4,4.6,22.2,13.1,1.7,11.9,1.6
Wade Miley,1,SP,7200,BAL,TOR,51%,4.22,5.5,0.325,18.6%,4.14,19.3%,4.21,4.03,L,0.303,0.338,0%,2%,0%,9.4,15.4,15.4,3.5,27.4,11.0,1.5,17.6,2.4
Adam Wainwright,6,SP,7100,STL,SF,62%,3.90,4,0.306,20.9%,3.44,18.8%,4.23,3.96,R,0.309,0.283,1%,1%,-1%,13.5,10.5,10.5,0.7,20.4,15.8,2.2,23.4,3.3
Matt Cain,1,SP,7000,SF,@STL,38%,5.10,3.5,0.322,21.9%,4.54,16.9%,4.76,4.88,R,0.339,0.329,2%,3%,-1%,11.4,12.0,12.0,-1.3,25.3,11.0,1.6,-7.2,-1.0
Matthew Boyd,1,SP,6900,DET,TEX,45%,4.47,4,0.317,20.8%,4.81,18.4%,4.62,4.91,L,0.349,0.352,0%,0%,0%,7.2,9.2,9.2,-3.8,22.2,11.8,1.7,2.8,0.4
