"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Luis Severino",1,"SP",11800,"NYY","BOS","60%",3.57,7,0.334,"17.8%",4.76,"25.1%",3.6,3.48,"R",0.294,0.303,"0%","-1%","0%",28.2,22.3,22.3,11.1,33.5,16.7,1.4,-4.3,-0.4
"Carlos Martinez",5,"SP",11200,"STL","ATL","68%",3.57,6.5,0.307,"19.6%",4.54,"23.7%",3.76,3.57,"R",0.336,0.253,"1%","0%","0%",17.4,20.2,20.2,8.9,31.4,19.6,1.8,20.7,1.8
"Aaron Nola",6,"SP",10400,"PHI","NYM","56%",3.91,6.5,0.313,"22.8%",4.71,"24.3%",3.54,3.38,"R",0.317,0.28,"1%","0%","-1%",23,20,20,9.9,30.2,20.1,1.9,31.4,3
"Chris Archer",1,"SP",10300,"TB","CLE","60%",3.35,7.5,0.326,"20.1%",4.79,"28.5%",3.33,3.25,"R",0.29,0.29,"1%","0%","0%",22.8,21.1,21.1,12.6,29.7,20.7,2,16.6,1.6
"Hyun-Jin Ryu",12,"SP",9700,"LAD","SD","70%",3.1,6,0.294,"23.1%",3.82,"23.0%",3.95,3.78,"L",0.346,0.307,"2%","0%","-1%",20.6,15.3,15.3,6.2,24.3,19.8,2,9.8,1
"Jon Lester",1,"SP",9600,"CHC","@ARI","49%",4.79,6.5,0.319,"24.0%",4.98,"24.9%",3.5,3.35,"L",0.266,0.295,"-6%","0%","0%",23.6,17.3,17.3,5.1,29.4,19,2,20.1,2.1
"Drew Pomeranz",NA,"SP",9500,"BOS","@NYY","40%",4.43,5.5,0.329,"21.5%",5.19,"25.1%",3.87,3.78,"L",0.291,0.295,"2%","-1%","0%",18.5,17.4,17.4,8.2,26.5,17.1,1.8,17.6,1.9
"Dylan Bundy",4,"SP",8400,"BAL","@OAK","51%",4.45,5.5,0.321,"25.5%",4.35,"20.7%",4.48,4.81,"R",0.33,0.312,"5%","1%","-1%",16.8,15.3,15.3,4.9,25.7,16.9,2,25.5,3
"Patrick Corbin",NA,"SP",8100,"ARI","CHC","51%",4.71,5.5,0.316,"25.8%",4.69,"20.4%",4.05,3.89,"L",0.305,0.361,"-3%","0%","0%",14.3,13.5,13.5,3,24.1,15.5,1.9,31.4,3.9
"Mike Fiers",NA,"SP",7800,"HOU","@TEX","52%",5.41,5.5,0.332,"22.6%",4.9,"21.6%",4.12,4.17,"R",0.297,0.345,"-8%","0%","0%",17.8,15.2,15.2,5.5,24.9,13.6,1.7,-5,-0.6
