Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,9,SP,12600,WAS,ARI,73%,2.94,8.5,0.293,24.3%,5.25,31.0%,2.85,3.16,R,0.298,0.237,0%,1%,0%,25.1,25.1,25.1,17.2,33.0,26.9,2.1,36.8,2.9
Dan Straily,9,SP,9600,MIA,@TB,46%,4.43,,0.323,23.4%,4.21,21.1%,4.57,4.91,R,0.311,0.325,1%,0%,0%,15.7,15.7,15.7,-0.3,31.7,14.9,1.6,4.5,0.5
Zack Wheeler,0,SP,9000,NYM,@ATL,46%,4.42,,0.326,16.9%,4.72,,,,R,0.338,0.273,-3%,3%,0%,13.0,13.0,13.0,6.5,19.4,12.3,1.4,0.0,0.0
John Lackey,7,SP,8900,CHC,PHI,62%,2.80,6.5,0.296,24.8%,4.76,21.7%,3.86,3.77,R,0.310,0.289,1%,3%,1%,15.5,15.5,15.5,6.8,24.2,19.1,2.1,11.3,1.3
Ivan Nova,,SP,8700,PIT,@CIN,48%,4.09,4.5,0.299,23.7%,4.65,17.2%,4.01,3.95,R,0.339,0.309,-1%,4%,0%,23.1,23.1,23.1,9.7,36.6,18.5,2.1,9.5,1.1
Ian Kennedy,5,SP,8500,KC,CWS,59%,3.39,5.5,0.302,22.6%,4.20,23.4%,3.98,4.25,R,0.325,0.319,-2%,2%,0%,18.4,18.4,18.4,8.4,28.4,18.9,2.2,3.0,0.4
Jaime Garcia,0,SP,8100,ATL,NYM,54%,4.08,,0.293,22.5%,4.50,19.2%,3.87,3.73,L,0.315,0.305,0%,2%,0%,10.8,10.8,10.8,4.1,17.5,16.5,2.0,0.0,0.0
Jharel Cotton,1,SP,7800,OAK,@MIN,49%,4.55,,0.313,24.5%,4.58,17.9%,4.55,4.74,R,,0.315,-4%,1%,0%,10.1,10.1,10.1,-1.1,21.3,15.6,2.0,27.9,3.6
Ariel Miranda,4,SP,7700,SEA,LAA,56%,3.91,,0.319,16.4%,3.75,19.9%,4.47,4.77,L,,0.303,3%,0%,0%,13.7,13.7,13.7,3.2,24.2,12.2,1.6,20.9,2.7
Derek Holland,2,SP,7700,CWS,@KC,41%,4.11,,0.320,17.3%,2.76,15.8%,4.83,4.90,L,0.285,0.334,-5%,3%,0%,15.1,15.1,15.1,5.7,24.5,12.6,1.6,28.0,3.6
Joe Musgrove,2,SP,7600,HOU,TEX,59%,3.84,,0.324,23.6%,4.56,19.8%,4.13,4.20,R,0.329,0.329,1%,0%,0%,10.3,10.3,10.3,4.3,16.3,15.7,2.1,6.2,0.8
Adam Wainwright,9,SP,7400,STL,MIL,57%,3.42,5.5,0.295,26.8%,5.11,19.2%,4.15,3.87,R,0.308,0.281,1%,5%,0%,10.9,10.9,10.9,-0.2,22.0,15.8,2.1,3.5,0.5
Matt Andriese,5,SP,7400,TB,MIA,54%,4.07,,0.328,18.9%,4.28,19.4%,4.00,4.08,R,0.312,0.314,2%,0%,0%,13.0,13.0,13.0,5.9,20.1,14.1,1.9,30.9,4.2
Kyle Freeland,,SP,7400,COL,@SD,46%,4.16,,0.292,24.1%,3.86,,,,L,,,13%,0%,0%,12.6,12.6,12.6,1.2,24.0,14.2,1.9,17.3,2.3
A.J. Griffin,,SP,7300,TEX,@HOU,41%,4.66,4,0.327,18.5%,4.67,21.6%,4.52,4.91,R,0.333,0.293,8%,0%,0%,17.4,17.4,17.4,2.8,31.9,11.5,1.6,23.1,3.2
Luis Perdomo,,SP,6300,SD,COL,54%,3.84,,0.316,22.0%,4.48,16.1%,3.96,3.93,R,0.377,0.333,2%,0%,0%,10.5,10.5,10.5,3.5,17.6,12.2,1.9,16.7,2.7
Chase Anderson,3,SP,6100,MIL,@STL,42%,4.08,,0.314,21.7%,4.08,18.1%,4.46,4.43,R,0.309,0.354,3%,6%,0%,17.9,17.9,17.9,8.8,27.1,16.2,2.7,8.5,1.4
Zach Eflin,,SP,5900,PHI,@CHC,38%,3.70,,0.304,23.7%,5.08,12.2%,5.20,5.20,R,0.346,0.294,1%,7%,2%,15.3,15.3,15.3,12.1,18.4,12.5,2.1,5.8,1.0
Tim Adleman,,SP,5700,CIN,PIT,52%,3.91,,0.312,20.3%,4.04,17.8%,4.61,4.96,R,0.340,0.332,0%,5%,0%,10.9,10.9,10.9,-0.9,22.8,12.9,2.3,19.3,3.4
Kyle Kendrick,0,SP,5500,BOS,BAL,54%,4.55,,0.332,20.8%,4.32,12.7%,5.05,5.09,R,0.353,0.343,-6%,7%,0%,0.0,0.0,0.0,0.0,0.0,10.0,1.8,-7.0,-1.3
Alex Meyer,2,SP,5300,LAA,@SEA,43%,4.59,,0.325,20.2%,4.56,23.5%,5.06,5.20,R,,,2%,0%,0%,6.7,6.7,6.7,6.7,6.7,15.8,3.0,-2.2,-0.4
Kyle Gibson,1,SP,5100,MIN,OAK,51%,4.45,,0.317,20.9%,3.54,16.6%,4.45,4.26,R,0.340,0.311,-1%,1%,0%,2.2,2.2,2.2,-4.0,8.5,10.3,2.0,0.4,0.1
