"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Marcus Stroman",11,"SP",11300,"TOR","@ATL","52%",3.89,4.5,0.3,"21.9%",4.61,"19.2%",3.6,3.41,"R",0.302,0.299,"1%","0%","0%",17.8,16.5,16.5,3.8,29.2,16.8,1.5,24,2.1
"Jon Lester",6,"SP",11300,"CHC","CIN","66%",4.3,6,0.301,"21.4%",4.89,"24.9%",3.44,3.3,"L",0.278,0.285,"1%","-1%","-8%",14.6,16.4,16.4,8.3,24.6,16.4,1.5,17.3,1.5
"Hyun-Jin Ryu",14,"SP",9100,"LAD","MIA","64%",3.36,5,0.312,"23.9%",4.24,"22.6%",4.13,4.01,"L",0.318,0.311,"3%","1%","-1%",12.3,12.3,12.3,2.3,22.3,16.7,1.8,12.6,1.4
"Dylan Bundy",1,"SP",9100,"BAL","@DET","55%",4.7,5,0.323,"21.1%",4.89,"20.8%",4.29,4.55,"R",0.317,0.304,"0%","-4%","0%",16.8,18.7,18.7,11,26.5,14.1,1.5,0.3,0
"Tanner Roark",6,"SP",8900,"WAS","@PIT","56%",4.46,4.5,0.301,"19.7%",3.64,"18.6%",4.25,4.16,"R",0.308,0.277,"1%","-2%","0%",14.2,14.9,14.9,10.1,19.6,14.2,1.6,-4,-0.4
"Danny Duffy",2,"SP",8900,"KC","NYY","46%",4.44,5,0.333,"21.7%",5.78,"21.3%",4.09,4.23,"L",0.225,0.324,"-3%","0%","0%",9.1,13.9,13.9,2.3,25.6,14.3,1.6,36.8,4.1
"Julio Teheran",3,"SP",8800,"ATL","TOR","48%",4.11,5,0.288,"23.6%",4.05,"20.6%",4.2,4.28,"R",0.344,0.252,"0%","0%","0%",8.7,12.8,12.8,2.6,22.9,15.7,1.8,-13.3,-1.5
"Jordan Montgomery",8,"SP",8100,"NYY","@KC","54%",4.06,4.5,0.314,"18.9%",3.16,"22.5%",4.35,4.73,"L",NA,0.308,"-3%","0%","0%",14.8,15,15,13.9,16.1,14.6,1.8,5,0.6
"Zach Davies",1,"SP",7700,"MIL","@SD","48%",4.09,NA,0.305,"25.4%",3.61,"19.1%",4.22,4.09,"R",0.32,0.328,"3%","0%","0%",14,9.9,9.9,-0.1,19.8,15.9,2.1,15.3,2
"Ervin Santana",5,"SP",7400,"MIN","COL","56%",3.95,5,0.336,"19.6%",4.85,"19.3%",4.37,4.32,"R",0.307,0.29,"0%","0%","0%",19.8,23.4,23.4,12.3,34.6,12,1.6,5.8,0.8
"Sonny Gray",2,"SP",7200,"OAK","BOS","48%",4.08,NA,0.322,"19.5%",4.5,"19.2%",4.03,3.88,"R",0.285,0.299,"3%","0%","0%",9.4,9.4,9.4,7.6,11.2,13.9,1.9,23.9,3.3
"Edinson Volquez",1,"SP",7100,"MIA","@LAD","36%",4.64,4.5,0.338,"22.2%",4.9,"17.8%",4.56,4.42,"R",0.337,0.309,"7%","1%","-2%",9.5,11.8,11.8,4.9,18.7,13.3,1.9,4.3,0.6
"Amir Garrett",NA,"SP",7000,"CIN","@CHC","34%",6.2,NA,0.323,"22.0%",4.76,"18.9%",4.57,4.55,"L",NA,0.311,"3%","-2%","-13%",13,14.7,14.7,-1.5,30.9,12.1,1.7,1.6,0.2
"Martin Perez",1,"SP",6500,"TEX","PHI","56%",4.61,4,0.326,"20.5%",4.61,"12.9%",4.87,4.57,"L",0.294,0.337,"-4%","-1%","0%",6.5,9.6,9.6,2,17.2,10.2,1.6,28.8,4.4
"Hector Velazquez",2,"SP",6400,"BOS","@OAK","52%",3.92,NA,0.318,"20.7%",3.95,"",NA,NA,"R",NA,NA,"0%","0%","0%",0,0,0,0,0,12,1.9,0.7,0.1
"Tyler Glasnow",1,"SP",6200,"PIT","WAS","44%",5.04,NA,0.324,"22.4%",6.11,"21.4%",4.79,4.95,"R",NA,0.376,"1%","-3%","0%",8,6,6,-5.1,17.2,12.1,2,19.6,3.2
"Dylan Covey",NA,"SP",6100,"CWS","@SEA","38%",4.8,NA,0.323,"19.6%",4.85,"",NA,NA,"R",NA,NA,"9%","2%","0%",2.6,3.4,3.4,-6.4,13.2,8,1.3,2.7,0.4
"Jordan Zimmermann",1,"SP",5900,"DET","BAL","45%",5.3,NA,0.322,"22.4%",4.73,"17.3%",4.31,4.35,"R",0.315,0.302,"0%","-4%","0%",6.1,7.1,7.1,0.3,13.9,10.9,1.8,16.7,2.8
"Nick Pivetta",1,"SP",5600,"PHI","@TEX","43%",5.39,NA,0.32,"23.8%",4.62,"",NA,NA,"R",NA,NA,"-7%","-1%","0%",9.2,9.2,9.2,7.1,11.3,13.5,2.4,14.3,2.6
"Sam Gaviglio",8,"RP",5100,"SEA","CWS","62%",3.7,NA,0.31,"23.3%",4.19,"",NA,NA,"R",NA,NA,"2%","1%","0%",0,0,0,0,0,14.9,2.9,12.3,2.4
