"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Jose Altuve",9,"2B",5800,"HOU","@KC",5.39,"Kennedy",0.326,"1%","R","R",0.364,"-2%",0.169,1,"3","3","0","4%","2%","0%",12.5,10,10,1.7,18.3,10.2,1.8,8,1.4
"George Springer",11,"OF",5700,"HOU","@KC",5.39,"Kennedy",0.326,"1%","R","R",0.336,"-6%",0.169,-16,"1","1","0","1%","2%","0%",17.3,10,10,0.7,19.3,9.4,1.6,5,0.9
"Bryce Harper",1,"OF",5500,"WAS","@LAD",4.03,"Ryu",0.331,"-1%","L","L",0.351,"-11%",0.181,-27,"3","3","0","-1%","-2%","2%",7.1,11.7,11.7,1.1,22.2,8.5,1.5,5,0.9
"Carlos Correa",12,"SS",5500,"HOU","@KC",5.39,"Kennedy",0.326,"1%","R","R",0.367,"2%",0.205,2,"4","4","0","2%","2%","0%",15.7,9.7,9.7,2.1,17.3,9.6,1.7,2,0.4
"Matt Kemp",3,"OF",5300,"ATL","PHI",5.34,"Pivetta",NA,"-1%","R","R",0.331,"-3%",0.199,-4,"4","4","0","0%","-3%","0%",7.8,9.6,9.6,0.6,18.7,8.4,1.6,0,0
"Ryan Zimmerman",11,"1B",5200,"WAS","@LAD",4.03,"Ryu",0.342,"5%","L","R",0.379,"12%",0.255,22,"4","4","0","-6%","-2%","2%",11.8,11.4,11.4,2.6,20.3,8.2,1.6,3,0.6
"Giancarlo Stanton",9,"OF",5100,"MIA","@CHC",3.83,"Butler",0.367,"12%","R","R",0.348,"-9%",0.247,-15,"2","2","0","10%","-2%","-10%",12.2,9.5,9.5,0.7,18.3,9.1,1.8,5,1
"Daniel Murphy",4,"2B",5100,"WAS","@LAD",4.03,"Ryu",0.331,"-1%","L","L",0.313,"-12%",0.119,-34,"5","5","-1","-4%","-2%","2%",11.2,10.1,10.1,1.3,18.8,6.6,1.3,2,0.4
"Justin Bour",7,"1B",5000,"MIA","@CHC",3.83,"Butler",0.431,"22%","R","L",0.362,"2%",0.245,5,"x","x","-","0%","0%","0%",11.5,9.5,9.5,0.3,18.7,0,0,0,0
"Marcell Ozuna",4,"OF",4900,"MIA","@CHC",3.83,"Butler",0.367,"12%","R","R",0.317,"-4%",0.16,-8,"4","4","0","5%","-2%","-8%",11.2,9.3,9.3,0.6,17.9,7.9,1.6,8,1.6
"Trea Turner",5,"SS",4900,"WAS","@LAD",4.03,"Ryu",0.342,"5%","L","R",0.277,"-2%",0.065,-8,"1","1","0","-8%","-2%","2%",10.7,10,10,0.4,19.7,8.8,1.8,5,1
"Marwin Gonzalez",8,"3B/OF",4800,"HOU","@KC",5.39,"Kennedy",0.319,"0%","R","S",0.325,"-1%",0.168,0,"6","6","0","0%","2%","0%",11.5,9.9,9.9,1.3,18.6,7.6,1.6,9,1.9
"Eric Thames",9,"1B",4700,"MIL","SF",3.88,"Samardzija",0.333,"3%","R","L",0.418,"6%",0.301,15,"3","2","-1","9%","-4%","0%",7,10.8,10.8,1.4,20.2,9.3,2,0,0
"Travis Shaw",1,"3B",4700,"MIL","SF",3.88,"Samardzija",0.333,"3%","R","L",0.335,"1%",0.195,-3,"x","x","-","0%","0%","0%",9.4,9.2,9.2,0.7,17.8,0,0,0,0
"Ryan Braun",1,"OF",4600,"MIL","SF",3.88,"Samardzija",0.286,"-7%","R","R",0.357,"-5%",0.221,-4,"x","x","-","0%","0%","0%",6.7,9.9,9.9,1.7,18,0,0,0,0
"Anthony Rendon",3,"3B",4600,"WAS","@LAD",4.03,"Ryu",0.342,"5%","L","R",0.367,"6%",0.156,-6,"6","2","-1","-7%","-2%","2%",10.7,9.2,9.2,-2.6,21,7.6,1.7,23,5
"Joey Votto",8,"1B",4600,"CIN","STL",4.25,"Martinez",0.326,"1%","R","L",0.421,"2%",0.246,5,"3","3","0","2%","-1%","0%",8.7,10.2,10.2,2.8,17.5,8.9,1.9,4,0.9
"Adam Duvall",2,"OF",4600,"CIN","STL",4.25,"Martinez",0.258,"-14%","R","R",0.336,"0%",0.265,5,"4","4","0","1%","-1%","0%",12,9.6,9.6,0.5,18.6,6.9,1.5,3,0.7
"Carlos Beltran",9,"OF",4600,"HOU","@KC",5.39,"Kennedy",0.319,"0%","R","S",0.347,"4%",0.203,5,"5","5","0","-1%","2%","0%",10.3,7.2,7.2,-0.2,14.7,7.9,1.7,0,0
"Christian Yelich",5,"OF",4500,"MIA","@CHC",3.83,"Butler",0.431,"22%","R","L",0.366,"6%",0.171,18,"3","3","0","-1%","-2%","-5%",10.1,8.3,8.3,1.4,15.1,9.1,2,0,0
"Kris Bryant",5,"3B",4500,"CHC","MIA",4.17,"Straily",0.318,"0%","R","R",0.377,"-2%",0.227,-6,"2","2","0","1%","-2%","-7%",5.9,9.4,9.4,0.8,18.1,8.1,1.8,16,3.6
"Domingo Santana",1,"OF",4500,"MIL","SF",3.88,"Samardzija",0.286,"-7%","R","R",0.329,"-4%",0.174,-9,"2","5","2","0%","-3%","0%",10.9,8.5,8.5,1.2,15.8,6.8,1.5,10,2.2
"Eduardo Nunez",NA,"3B/OF",4500,"SF","@MIL",4.12,"Guerra",0.288,"-8%","R","R",0.326,"5%",0.123,-8,"2","7","0","0%","-3%","0%",9,7.5,7.5,0.9,14,8.1,1.8,19,4.2
"Chris Taylor",4,"2B",4500,"LAD","WAS",4.47,"Gonzalez",0.327,"2%","L","R",0.339,"4%",0.133,3,"3","3","1","-4%","-2%","2%",11.1,9.2,9.2,-0.2,18.6,7.2,1.6,7,1.6
"Yonder Alonso",1,"1B",4500,"OAK","TOR",3.98,"Happ",0.32,"0%","L","L",0.29,"-10%",0.114,-21,"5","x","0","-3%","0%","1%",11.5,10.1,10.1,1.1,19.1,6.1,1.4,10,2.2
"Cody Bellinger",1,"1B/OF",4500,"LAD","WAS",4.47,"Gonzalez",0.278,"-9%","L","L",0.392,"-5%",0.333,-15,"x","x","-","0%","0%","0%",8.8,10.2,10.2,0.7,19.7,0,0,5,1.1
"Freddie Freeman",1,"1B",4500,"ATL","PHI",5.34,"Pivetta",NA,"1%","R","L",0.414,"8%",0.287,27,"x","x","-","0%","0%","0%",12.1,12.5,12.5,2.5,22.6,0,0,0,0
"Josh Donaldson",8,"3B",4400,"TOR","@OAK",4.02,"Manaea",0.314,"-1%","L","R",0.423,"4%",0.303,8,"2","2","0","-7%","0%","1%",9.3,9.8,9.8,1.8,17.8,8.5,1.9,9,2
"Dexter Fowler",6,"OF",4400,"STL","@CIN",5.25,"Wojciechowski",NA,"1%","R","S",0.34,"-3%",0.177,7,"1","1","0","3%","-1%","0%",8.9,7.8,7.8,0.2,15.5,9.1,2.1,5,1.1
"Jose Peraza",NA,"2B",4400,"CIN","STL",4.25,"Martinez",0.258,"-14%","R","R",0.309,"1%",0.083,-6,"7","7","-1","-1%","-1%","0%",9.1,7.3,7.3,0.4,14.2,6,1.4,0,0
"Josh Reddick",8,"OF",4400,"HOU","@KC",5.39,"Kennedy",0.319,"0%","R","L",0.357,"11%",0.18,22,"2","2","0","-1%","2%","0%",7.6,7.7,7.7,0.9,14.5,9.4,2.1,5,1.1
"Whit Merrifield",4,"2B",4300,"KC","HOU",4.61,"Fiers",0.358,"8%","R","R",0.297,"-6%",0.124,-6,"1","8","6","2%","2%","0%",10.6,7.9,7.9,1,14.9,8.2,1.9,0,0
"Hunter Pence",0,"OF",4300,"SF","@MIL",4.12,"Guerra",0.288,"-8%","R","R",0.343,"-1%",0.149,-16,"6","4","0","3%","-4%","0%",6,6.2,6.2,0.9,11.5,6.9,1.6,5,1.2
"Jose Bautista",2,"OF",4300,"TOR","@OAK",4.02,"Manaea",0.314,"-1%","L","R",0.371,"-2%",0.234,-7,"3","3","0","-7%","0%","1%",6.8,8.1,8.1,0.5,15.6,7.5,1.7,0,0
"Kendrys Morales",2,"1B",4300,"TOR","@OAK",4.02,"Manaea",0.314,"-1%","L","S",0.343,"0%",0.158,-18,"4","4","0","-7%","0%","1%",10.8,8,8,-0.3,16.3,7.2,1.7,0,0
"Anthony Rizzo",4,"1B",4300,"CHC","MIA",4.17,"Straily",0.296,"-5%","R","L",0.384,"3%",0.254,12,"3","3","0","-3%","-2%","-7%",7.4,8.9,8.9,1,16.8,7.9,1.8,0,0
"Alex Bregman",NA,"3B",4200,"HOU","@KC",5.39,"Kennedy",0.326,"1%","R","R",0.313,"-3%",0.178,-1,"x","x","-","0%","0%","0%",9.5,6.7,6.7,0.4,13,0,0,5,1.2
"Billy Hamilton",2,"OF",4200,"CIN","STL",4.25,"Martinez",0.326,"1%","R","S",0.279,"1%",0.063,-18,"1","1","0","0%","0%","0%",6.6,9.5,9.5,1.6,17.4,8.6,2,7,1.7
"Adonis Garcia",2,"3B",4200,"ATL","PHI",5.34,"Pivetta",NA,"-1%","R","R",0.295,"-5%",0.143,-4,"x","x","-","0%","0%","0%",10.9,7,7,0.1,13.9,0,0,0,0
