Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Alex Wood,7,SP,11700,LAD,SF,72%,3.15,6.5,0.299,19.3%,3.95,21.9%,3.74,3.50,L,0.272,0.301,2%,0%,-1%,22.3,22.4,22.4,11.6,33.3,19.8,1.7,16.9,1.4
Dallas Keuchel,0,SP,11600,HOU,@DET,60%,4.42,,0.348,19.8%,4.80,22.6%,3.23,3.05,L,0.232,0.289,-1%,0%,-2%,23.6,25.3,25.3,18.9,31.8,15.3,1.3,1.4,0.1
Rick Porcello,,SP,10500,BOS,KC,57%,4.32,,0.323,20.2%,4.37,20.8%,3.86,3.95,R,0.315,0.319,-3%,-1%,0%,18.2,15.0,15.0,6.8,23.1,16.5,1.6,13.6,1.3
Jose Quintana,9,SP,9800,CHC,@MIL,59%,4.06,7,0.321,24.8%,4.85,22.2%,3.85,3.80,L,0.288,0.313,-1%,1%,0%,23.3,17.2,17.2,4.2,30.2,19.3,2.0,17.3,1.8
Danny Salazar,10,SP,9500,CLE,@CWS,70%,3.65,,0.307,22.7%,4.38,27.4%,3.59,3.56,R,0.310,0.299,3%,0%,0%,14.7,17.4,17.4,8.6,26.3,22.8,2.4,26.5,2.8
Robbie Ray,9,SP,9400,ARI,@STL,46%,4.19,7.5,0.320,24.9%,4.59,26.9%,3.81,3.75,L,0.303,0.324,3%,0%,0%,18.2,22.5,22.5,10.2,34.9,22.0,2.3,6.5,0.7
Michael Wacha,3,SP,8600,STL,ARI,54%,3.81,5.5,0.323,23.3%,5.10,20.5%,4.11,3.91,R,0.291,0.326,1%,0%,0%,26.9,16.2,16.2,5.1,27.2,17.0,2.0,25.1,2.9
Julio Teheran,1,SP,8100,ATL,@PHI,56%,4.36,4.5,0.320,22.8%,4.02,20.1%,4.32,4.39,R,0.338,0.265,3%,0%,0%,13.6,12.0,12.0,1.0,22.9,17.0,2.1,-1.5,-0.2
Masahiro Tanaka,7,SP,7800,NYY,TB,64%,3.80,6.5,0.322,22.5%,4.60,22.1%,3.63,3.54,R,0.295,0.300,0%,0%,0%,17.9,14.9,14.9,0.9,28.9,18.4,2.4,46.8,6.0
Jason Vargas,,SP,7100,KC,@BOS,42%,5.18,,0.340,17.1%,4.65,17.4%,4.67,4.82,L,0.318,0.294,-7%,-1%,0%,8.2,16.5,16.5,5.2,27.8,8.9,1.3,15.3,2.2
Parker Bridwell,1,SP,7000,LAA,@TOR,43%,5.09,,0.333,20.5%,4.08,16.1%,4.83,4.86,R,,,-8%,0%,0%,16.5,15.2,15.2,7.1,23.3,10.9,1.6,24.1,3.4
Jaime Garcia,1,SP,6900,MIN,@OAK,52%,4.40,,0.327,22.2%,4.25,19.3%,3.94,3.76,L,0.302,0.309,5%,0%,0%,11.4,13.5,13.5,4.7,22.2,16.8,2.4,20.4,3.0
J.A. Happ,,SP,6800,TOR,LAA,56%,4.41,4.5,0.318,16.8%,4.10,20.7%,4.09,3.98,L,0.314,0.304,-2%,0%,0%,8.5,13.9,13.9,4.1,23.8,12.3,1.8,12.1,1.8
Sal Romano,,SP,6600,CIN,@MIA,47%,4.90,,0.307,21.4%,4.74,,,,R,,,5%,0%,2%,11.1,11.1,11.1,-3.2,25.5,14.1,2.1,13.5,2.0
Andrew Cashner,,SP,6500,TEX,BAL,56%,5.32,3.5,0.341,22.2%,4.62,18.1%,4.59,4.41,R,0.350,0.312,-5%,-7%,0%,10.9,10.6,10.6,2.9,18.3,7.8,1.2,21.6,3.3
Chad Kuhl,1,SP,6300,PIT,@SD,60%,3.77,4.5,0.295,25.7%,3.81,18.4%,4.66,4.58,R,0.375,0.299,2%,0%,0%,13.4,9.8,9.8,0.6,19.0,17.6,2.8,10.6,1.7
Daniel Gossett,,RP,6200,OAK,MIN,48%,4.60,,0.327,23.2%,4.54,15.3%,4.57,4.35,R,,,3%,1%,-1%,8.0,9.6,9.6,-1.7,20.9,11.9,1.9,1.1,0.2
Jeremy Hellickson,,SP,6100,PHI,ATL,43%,5.14,4,0.315,19.8%,4.67,18.1%,4.42,4.40,R,0.323,0.313,2%,0%,0%,14.2,10.0,10.0,1.1,18.9,11.6,1.9,0.0,0.0
Ariel Miranda,1,SP,6000,SEA,NYM,59%,4.27,,0.318,21.0%,4.80,18.8%,4.92,5.24,L,0.302,0.307,3%,-1%,0%,12.1,13.5,13.5,1.4,25.6,13.2,2.2,23.9,4.0
Rafael Montero,0,SP,5800,NYM,@SEA,41%,5.23,,0.334,20.9%,4.69,22.3%,4.61,4.66,R,0.389,0.342,3%,-1%,0%,13.6,11.2,11.2,2.6,19.9,15.4,2.7,5.7,1.0
Matt Moore,,SP,5700,SF,@LAD,28%,5.35,5,0.320,24.7%,5.14,19.5%,4.59,4.77,L,0.354,0.327,7%,0%,-2%,8.6,9.8,9.8,-1.5,21.2,15.9,2.8,16.1,2.8
Brent Suter,1,SP,5600,MIL,CHC,41%,4.94,,0.320,22.5%,4.71,19.0%,4.16,4.18,L,,0.277,-1%,1%,0%,15.1,15.1,15.1,4.5,25.8,12.7,2.3,26.8,4.8
Chris Tillman,,SP,5400,BAL,@TEX,43%,6.18,3.5,0.331,22.8%,4.93,17.4%,4.79,4.70,R,0.317,0.347,-9%,-7%,0%,7.1,4.8,4.8,-5.7,15.3,8.6,1.6,-0.8,-0.1
Travis Wood,,RP,5300,SD,PIT,40%,4.73,,0.335,19.8%,4.26,22.4%,4.03,4.36,L,0.261,0.339,2%,0%,0%,2.3,2.3,2.3,-4.6,9.2,9.8,1.8,25.1,4.7
Jordan Zimmermann,,SP,5000,DET,HOU,40%,5.58,,0.340,14.6%,5.93,17.4%,4.41,4.46,R,0.326,0.322,0%,0%,-6%,5.6,9.1,9.1,-0.5,18.7,5.9,1.2,10.2,2.0
Derek Holland,,SP,4800,CWS,CLE,30%,5.85,,0.340,16.3%,4.92,16.4%,4.92,5.01,L,0.278,0.367,2%,0%,0%,5.5,10.0,10.0,-2.7,22.7,7.4,1.5,-10.6,-2.2
Austin Pruitt,,SP,4600,TB,@NYY,36%,5.20,,0.340,21.3%,5.35,17.8%,3.94,4.07,R,,,-3%,0%,0%,11.0,11.0,11.0,11.0,11.0,13.5,2.9,11.7,2.5
Vance Worley,,SP,4500,MIA,CIN,53%,4.60,,0.308,21.7%,4.59,16.2%,4.50,4.59,R,0.332,0.324,3%,0%,2%,3.5,3.5,3.5,-0.9,7.9,12.8,2.8,4.8,1.1
