"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Jameson Taillon",3,"SP",10900,"PIT","@SF","48%",3.82,5,0.313,"18.9%",3.91,"21.5%",3.71,3.45,"R",0.314,0.305,"1%","0%","0%",20.3,16.9,16.9,8.8,25.1,16.2,1.5,-15.9,-1.5
"Sonny Gray",2,"SP",10700,"OAK","@TOR","51%",4.72,5.5,0.331,"20.6%",4.09,"20.2%",3.96,3.75,"R",0.284,0.304,"-5%","-1%","0%",23.6,17.3,17.3,6.7,28,15.5,1.4,27.3,2.6
"Madison Bumgarner",8,"SP",9700,"SF","PIT","52%",3.68,NA,0.334,"18.9%",4.25,"26.9%",3.24,3.34,"L",0.232,0.277,"1%","0%","0%",16.7,18.6,18.6,12.9,24.3,18.9,1.9,17.1,1.8
"Michael Fulmer",0,"SP",9500,"DET","KC","52%",4.38,4.5,0.322,"20.2%",4.26,"19.1%",4.18,4.05,"R",0.278,0.278,"0%","-2%","0%",16.2,17,17,6.7,27.3,16,1.7,19.2,2
"Mike Clevinger",0,"SP",9400,"CLE","LAA","61%",3.97,NA,0.321,"17.8%",4.07,"24.8%",4.51,4.46,"R",0.262,0.327,"-3%","-1%","1%",22.3,18.8,18.8,10.4,27.3,14.3,1.5,3.2,0.3
"Jon Gray",6,"SP",9000,"COL","@STL","48%",4.36,NA,0.317,"24.0%",4.52,"24.6%",3.85,3.71,"R",0.322,0.328,"9%","-1%","0%",10.9,10.1,10.1,-4.1,24.2,17.9,2,14.4,1.6
"Charlie Morton",10,"SP",8800,"HOU","@PHI","60%",3.79,NA,0.298,"22.9%",4.01,"20.7%",3.88,3.76,"R",0.325,0.31,"1%","0%","0%",16.4,17.9,17.9,10.8,24.9,20.4,2.3,34.1,3.9
"Jake Faria",4,"SP",8500,"TB","BAL","52%",4.15,5.5,0.331,"21.1%",4.66,"22.3%",4.26,4.45,"R",NA,0.279,"2%","0%","0%",14.6,19.5,19.5,11.1,27.8,15.8,1.9,19.1,2.2
"Felix Hernandez",1,"SP",8300,"SEA","BOS","49%",4.29,5,0.332,"17.6%",4.7,"21.3%",3.92,3.8,"R",0.288,0.306,"3%","-2%","0%",19.6,15.4,15.4,5.9,24.9,13.6,1.6,9.2,1.1
"Cole Hamels",2,"SP",8200,"TEX","MIA","59%",4.74,5,0.324,"20.5%",4.57,"22.7%",3.89,3.81,"L",0.273,0.307,"-3%","-3%","0%",13.5,13.3,13.3,0,26.5,14,1.7,14.1,1.7
"Danny Duffy",NA,"SP",8000,"KC","@DET","48%",4.62,NA,0.35,"19.1%",4.89,"21.4%",4.12,4.25,"L",0.216,0.333,"2%","-2%","0%",12.3,15.6,15.6,3.5,27.7,12.9,1.6,20.1,2.5
