Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nolan Arenado,12,3B,5300,COL,SD,6.56,Cosart,0.318,0%,R,R,0.379,1%,0.274,5,4,4,0,13%,-7%,0%,9.7,9.7,9.7,2.9,16.5,9.9,1.9,6.0,1.1
Wil Myers,13,1B/OF,5300,SD,@COL,4.94,Chatwood,0.320,0%,R,R,0.323,1%,0.174,7,3,3,0,30%,-6%,0%,9.6,9.6,9.6,2.6,16.5,10.9,2.1,34.0,6.4
Kris Bryant,10,3B/OF,5200,CHC,LAD,4.13,Wood,0.311,-2%,L,R,0.398,5%,0.273,14,2,2,0,1%,-5%,0%,9.2,9.2,9.2,0.0,18.3,8.9,1.7,9.0,1.7
Carlos Gonzalez,13,OF,5200,COL,SD,6.56,Cosart,0.298,-5%,R,L,0.384,7%,0.257,12,3,3,0,11%,-7%,0%,3.3,3.3,3.3,0.3,6.4,9.9,1.9,3.0,0.6
Charlie Blackmon,14,OF,5100,COL,SD,6.56,Cosart,0.298,-5%,R,L,0.369,3%,0.201,12,1,1,0,10%,-6%,0%,8.1,8.1,8.1,0.5,15.8,9.7,1.9,3.0,0.6
Anthony Rizzo,2,1B,5100,CHC,LAD,4.13,Wood,0.276,-10%,L,L,0.356,-6%,0.184,-21,3,3,0,-3%,-5%,0%,4.3,4.3,4.3,0.7,7.9,7.2,1.4,7.0,1.4
Mookie Betts,,OF,5100,BOS,@DET,3.74,Verlander,0.315,-1%,R,R,0.369,1%,0.195,0,3,3,0,-2%,0%,0%,5.5,5.5,5.5,4.8,6.2,9.4,1.8,0.0,0.0
Miguel Cabrera,0,1B,5000,DET,BOS,3.76,Sale,0.282,-8%,L,R,0.424,5%,0.260,13,3,3,0,0%,0%,0%,2.8,2.8,2.8,0.5,5.1,8.6,1.7,0.0,0.0
Mark Reynolds,12,1B/3B,5000,COL,SD,6.56,Cosart,0.318,0%,R,R,0.331,4%,0.192,8,7,7,-1,12%,-7%,0%,11.7,11.7,11.7,2.0,21.5,8.2,1.6,18.0,3.6
Bryce Harper,9,OF,5000,WAS,STL,4.41,Wainwright,0.303,-4%,R,L,0.397,4%,0.240,9,3,3,0,-2%,-2%,0%,10.3,10.3,10.3,1.6,19.1,9.4,1.9,26.0,5.2
Gary Sanchez,,C,4900,NYY,TB,4.23,Cobb,0.297,-5%,R,R,0.448,6%,0.349,13,x,x,-,0%,0%,0%,4.8,4.8,4.8,-4.3,13.9,0.0,0.0,0.0,0.0
Trevor Story,11,SS,4900,COL,SD,6.56,Cosart,0.318,0%,R,R,0.369,-2%,0.290,2,6,5,-1,12%,-6%,0%,5.6,5.6,5.6,-0.7,11.8,8.5,1.7,2.0,0.4
David Dahl,,OF,4900,COL,SD,6.56,Cosart,0.298,-5%,R,L,0.380,5%,0.218,15,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trea Turner,,OF/SS,4800,WAS,STL,4.41,Wainwright,0.275,-10%,R,R,0.394,3%,0.243,13,x,x,-,0%,0%,0%,4.5,4.5,4.5,-0.8,9.8,0.0,0.0,0.0,0.0
DJ LeMahieu,7,2B/3B,4800,COL,SD,6.56,Cosart,0.318,0%,R,R,0.336,0%,0.107,6,2,2,0,12%,-5%,0%,4.1,4.1,4.1,-1.2,9.5,8.8,1.8,21.0,4.4
Yangervis Solarte,10,2B/3B,4700,SD,@COL,4.94,Chatwood,0.315,-1%,R,S,0.331,1%,0.149,2,4,4,0,29%,-6%,0%,10.6,10.6,10.6,1.5,19.7,9.0,1.9,2.0,0.4
Ian Desmond,,OF,4700,COL,SD,6.56,Cosart,0.318,0%,R,R,0.312,-3%,0.160,-2,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Schimpf,13,2B/3B,4700,SD,@COL,4.94,Chatwood,0.315,-1%,R,L,0.377,5%,0.324,13,5,5,0,28%,-7%,0%,5.7,5.7,5.7,-0.7,12.0,9.1,1.9,4.0,0.9
Manuel Margot,11,OF,4600,SD,@COL,4.94,Chatwood,0.320,0%,R,R,,-1%,,7,1,1,0,31%,-5%,0%,9.9,9.9,9.9,-0.5,20.2,10.0,2.2,10.0,2.2
J.D. Martinez,,OF,4600,DET,BOS,3.76,Sale,0.282,-8%,L,R,0.367,-2%,0.239,2,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
