"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Aaron Judge",7,"OF",5600,"NYY","MIL",6.19,"Guerra",0.319,"-1%","R","R",0.423,"1%",0.322,"5%","3","2","-1","0%","1%","0%",12.3,12.2,12.2,2.3,22.1,9.6,1.7,16,2.9
"Charlie Blackmon",3,"OF",5600,"COL","CWS",6.19,"Holland",0.268,"-5%","L","L",0.339,"-7%",0.148,"-26%","1","1","0","11%","4%","-2%",8.1,10.9,10.6,2.1,19,9.8,1.8,26,4.6
"Anthony Rizzo",2,"1B",5500,"CHC","PIT",4.96,"Williams",0.329,"2%","R","L",0.387,"2%",0.254,"10%","3","3","0","-3%","4%","-8%",9,9.6,9.4,1.7,17.2,8.9,1.6,16,2.9
"Andrew McCutchen",0,"OF",5400,"PIT","@CHC",4.04,"Butler",0.363,"10%","R","R",0.352,"-4%",0.186,"-7%","3","3","0","5%","4%","-8%",11.8,9.1,8.9,0.9,16.9,9.6,1.8,15,2.8
"Kris Bryant",1,"3B",5400,"CHC","PIT",4.96,"Williams",0.322,"0%","R","R",0.377,"-2%",0.227,"-5%","2","2","0","1%","4%","-8%",6.2,9,9,0.8,17.2,8.4,1.6,45,8.3
"Bryce Harper",4,"OF",5300,"WAS","ATL",4.95,"Dickey",0.309,"-2%","R","L",0.422,"7%",0.285,"16%","3","3","0","-2%","2%","0%",11.4,10.9,10.9,1.2,20.6,10.6,2,5,0.9
"Mookie Betts",2,"OF",5300,"BOS","@TB",4.57,"Odorizzi",0.331,"2%","R","R",0.368,"1%",0.203,"0%","1","1","0","-10%","0%","0%",13.6,10.1,9.8,-0.5,20.2,9.6,1.8,9,1.7
"Nolan Arenado",9,"3B",5200,"COL","CWS",6.19,"Holland",0.361,"9%","L","R",0.382,"1%",0.246,"-8%","3","3","0","14%","5%","-2%",6.7,9.2,9.2,1,17.5,12.4,2.4,32,6.2
"George Springer",4,"OF",5100,"HOU","@TOR",4.79,"Sanchez",0.251,"-15%","R","R",0.346,"-5%",0.186,"-14%","1","1","0","3%","0%","0%",16.2,10.7,10.7,1.3,20.2,8.3,1.6,46,9
"Carlos Correa",2,"SS",5100,"HOU","@TOR",4.79,"Sanchez",0.251,"-15%","R","R",0.368,"1%",0.207,"0%","4","4","0","2%","0%","0%",12.8,9.8,9.8,2.3,17.3,8,1.6,23,4.5
"Jose Altuve",2,"2B",5100,"HOU","@TOR",4.79,"Sanchez",0.251,"-15%","R","R",0.368,"-2%",0.174,"3%","2","3","0","1%","0%","0%",15.4,10.5,10.4,2.1,18.7,8.5,1.7,11,2.2
"Ian Happ",0,"2B/OF",5000,"CHC","PIT",4.96,"Williams",0.329,"2%","R","S",0.378,"4%",0.315,"19%","4","4","0","-2%","4%","-7%",8.7,9.1,9.1,0,18.2,7.4,1.5,10,2
"Daniel Murphy",7,"2B",5000,"WAS","ATL",4.95,"Dickey",0.309,"-2%","R","L",0.387,"8%",0.23,"25%","5","5","0","-1%","2%","0%",8.5,10,10,1.8,18.3,9,1.8,12,2.4
"Jose Ramirez",4,"2B/3B",4900,"CLE","DET",5.77,"Zimmermann",0.321,"0%","R","S",0.326,"1%",0.142,"5%","5","5","0","4%","1%","0%",14.2,10,10,0.7,19.2,9.2,1.9,12,2.4
"Ian Desmond",1,"1B/OF",4900,"COL","CWS",6.19,"Holland",0.361,"9%","L","R",0.34,"7%",0.163,"8%","x","x","-","0%","0%","0%",6.1,7.6,7.6,0.5,14.7,0,0,0,0
"Paul Goldschmidt",5,"1B",4900,"ARI","CIN",5.28,"Adleman",0.334,"3%","R","R",0.398,"-2%",0.235,"0%","3","3","0","3%","0%","0%",6.1,11.2,11.3,3.1,19.5,10.1,2.1,14,2.9
"Corey Seager",6,"SS",4700,"LAD","KC",5.31,"Hammel",0.318,"0%","R","L",0.394,"4%",0.218,"4%","2","2","0","-3%","1%","2%",13.4,9.2,9.2,0.5,17.9,9,1.9,5,1.1
"Justin Turner",5,"3B",4700,"LAD","KC",5.31,"Hammel",0.308,"-3%","R","R",0.391,"5%",0.216,"10%","x","x","-","0%","0%","0%",10.8,9.4,9.4,2.6,16.1,0,0,2,0.4
"Gary Sanchez",9,"C",4700,"NYY","MIL",6.19,"Guerra",0.319,"-1%","R","R",0.423,"5%",0.295,"4%","4","3","-1","0%","1%","0%",7.2,9.8,9.8,0.5,19.2,9.3,2,0,0
"Jose Abreu",11,"1B",4700,"CWS","@COL",4.81,"Marquez",0.336,"3%","R","R",0.357,"-2%",0.199,"-4%","3","2","0","31%","5%","-2%",10.6,8.9,8.8,1.1,16.5,12.1,2.6,11,2.3
"Cody Bellinger",8,"1B/OF",4600,"LAD","KC",5.31,"Hammel",0.318,"0%","R","L",0.383,"4%",0.365,"18%","4","4","0","-2%","2%","2%",7.2,10.6,10.6,0,21.2,9.2,2,5,1.1
"Max Kepler",0,"OF",4600,"MIN","BAL",4.77,"Gausman",0.302,"-4%","R","L",0.349,"10%",0.219,"19%","4","4","1","0%","1%","0%",10,7.8,7.8,0,15.6,8.1,1.8,12,2.6
"Jonathan Schoop",3,"2B",4600,"BAL","@MIN",5.23,"Jorge",NA,"-1%","R","R",0.351,"7%",0.22,"14%","3","3","0","4%","2%","0%",7.7,8.5,8.3,0.9,15.8,9.3,2,0,0
"Melky Cabrera",8,"OF",4600,"CWS","@COL",4.81,"Marquez",0.357,"6%","R","S",0.328,"1%",0.137,"-1%","2","1","0","28%","4%","-2%",11,7.8,7.8,1,14.5,11.2,2.4,3,0.7
"Jean Segura",4,"SS",4600,"SEA","OAK",4.42,"Manaea",0.318,"0%","L","R",0.317,"-4%",0.126,"-4%","1","1","0","-5%","1%","0%",11.9,9.5,9.5,2.1,16.9,7.3,1.6,5,1.1
"Andrew Benintendi",2,"OF",4600,"BOS","@TB",4.57,"Odorizzi",0.281,"-9%","R","L",0.372,"6%",0.21,"16%","2","6","2","-4%","0%","0%",11.4,8.9,8.9,-0.4,18.2,8.3,1.8,7,1.5
"Miguel Sano",8,"3B",4600,"MIN","BAL",4.77,"Gausman",0.361,"9%","R","R",0.362,"0%",0.245,"-1%","3","3","0","2%","2%","0%",9.2,9.3,9.3,0.9,17.7,9.6,2.1,7,1.5
"Todd Frazier",4,"3B",4600,"CWS","@COL",4.81,"Marquez",0.336,"3%","R","R",0.326,"-3%",0.217,"-7%","4","4","0","27%","5%","-2%",11,7.9,7.9,0.3,15.5,10.9,2.4,7,1.5
"Joey Votto",4,"1B",4600,"CIN","@ARI",3.72,"Greinke",0.274,"-10%","R","L",0.427,"3%",0.256,"6%","3","3","0","7%","0%","0%",13.5,10.7,10.5,3.2,17.8,9.1,2,16,3.5
"A.J. Pollock",2,"OF",4600,"ARI","CIN",5.28,"Adleman",0.334,"3%","R","R",0.365,"1%",0.173,"-8%","1","1","0","3%","0%","0%",7.2,9.3,9.3,1.6,17,9.9,2.2,0,0
