"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Max Scherzer",8,"SP",12600,"WAS","@ATL","68%",3.61,8,0.3,"21.9%",4.58,"31.3%",2.83,3.14,"R",0.3,0.233,"0%","-1%","0%",25.7,26.5,26.5,18.2,34.8,26.2,2.1,13.1,1
"Carlos Martinez",6,"SP",11100,"STL","SF","56%",3.74,6,0.311,"19.7%",3.38,"23.4%",3.7,3.54,"R",0.329,0.267,"1%","0%","0%",19.4,19.5,19.5,9.6,29.4,18.8,1.7,28.5,2.6
"Justin Verlander",7,"SP",10500,"DET","TEX","57%",3.86,6,0.325,"22.2%",4.81,"25.2%",3.72,4.03,"R",0.287,0.314,"0%","2%","0%",17.3,16.1,16.1,3.7,28.5,20,1.9,20.1,1.9
"Masahiro Tanaka",7,"SP",9700,"NYY","@TB","52%",3.92,5.5,0.318,"24.1%",4.65,"21.0%",3.67,3.56,"R",0.287,0.298,"4%","0%","0%",15.9,12.7,12.7,-2.2,27.5,18.1,1.9,-4.4,-0.5
"Jeff Samardzija",5,"SP",9500,"SF","@STL","44%",4.26,5.5,0.316,"21.6%",4.53,"20.1%",4.01,3.99,"R",0.336,0.283,"1%","0%","0%",19.8,18.4,18.4,8.5,28.2,18.6,2,30.4,3.2
"Vince Velasquez",3,"SP",9200,"PHI","@PIT","47%",4.41,NA,0.308,"20.6%",3.85,"26.3%",3.74,3.88,"R",0.332,0.324,"0%","0%","0%",13.2,13,13,9.1,17,17.9,1.9,8.6,0.9
"Robbie Ray",12,"SP",8900,"ARI","@SD","51%",3.69,6.5,0.289,"19.2%",3.51,"26.1%",3.78,3.68,"L",0.306,0.345,"3%","0%","0%",14.1,17.3,17.3,7.4,27.2,18.3,2.1,30.3,3.4
"Ivan Nova",5,"SP",8700,"PIT","PHI","53%",4.09,NA,0.299,"24.7%",4.55,"17.0%",4.04,3.97,"R",0.343,0.311,"1%","0%","0%",19.5,17.9,17.9,5.4,30.4,17.6,2,15.1,1.7
"Drew Pomeranz",4,"SP",8300,"BOS","@OAK","54%",4.31,5.5,0.332,"20.4%",3.95,"25.4%",3.77,3.77,"L",0.276,0.292,"6%","-2%","0%",11.4,13.9,13.9,3.3,24.4,14.9,1.8,14.8,1.8
"Julio Urias",5,"SP",8200,"LAD","MIA","62%",3.48,NA,0.312,"25.2%",4.08,"22.6%",4.25,4.05,"L",NA,0.304,"2%","0%","0%",9.1,9.1,9.1,-2.3,20.6,19.4,2.4,-12.8,-1.6
"Zack Wheeler",11,"SP",8000,"NYM","LAA","55%",3.77,NA,0.306,"22.1%",4.07,"21.6%",4.1,3.85,"R",0.334,0.276,"2%","2%","-1%",17,14.8,14.8,8.7,20.9,17.3,2.2,15.3,1.9
"Sean Manaea",NA,"SP",8000,"OAK","BOS","46%",4.69,NA,0.339,"18.0%",4.47,"21.6%",3.99,3.95,"L",0.231,0.319,"3%","-3%","0%",13.1,12.3,12.3,4.4,20.3,12.6,1.6,14.3,1.8
"Dan Straily",3,"SP",7900,"MIA","@LAD","38%",4.52,NA,0.322,"23.8%",4.98,"20.8%",4.62,4.96,"R",0.307,0.328,"6%","-1%","0%",18,14.9,14.9,1.9,27.8,16.1,2,22.6,2.9
"Matt Andriese",0,"SP",7700,"TB","NYY","48%",4.08,NA,0.333,"20.1%",5.79,"20.0%",3.98,4.03,"R",0.304,0.315,"2%","0%","0%",17.3,16.3,16.3,8,24.5,13.7,1.8,10.5,1.4
"A.J. Griffin",2,"SP",7600,"TEX","@DET","42%",4.64,4,0.327,"22.2%",4.92,"21.2%",4.55,4.96,"R",0.333,0.293,"3%","3%","0%",21.9,18.8,18.8,5.2,32.4,13.7,1.8,-10.5,-1.4
"Yovani Gallardo",3,"SP",7100,"SEA","CWS","61%",3.74,NA,0.315,"22.8%",4.28,"15.6%",4.87,4.61,"R",0.318,0.328,"3%","0%","0%",15.3,11.3,11.3,2.5,20.1,14.5,2,-8.3,-1.2
