"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Mike Trout",4,"OF",5500,"LAA","OAK",4.76,"Manaea",0.325,"1%","L","R",0.416,"-1%",0.237,"-12%","2","2","0","-3%","1%","0%",11.1,12.1,12.1,5.3,18.8,11,2,25,4.5
"Paul Goldschmidt",3,"1B",5400,"ARI","@SF",4.04,"Samardzija",0.288,"-7%","R","R",0.399,"-3%",0.234,"-1%","4","4","0","-11%","1%","0%",14.5,11.4,11.3,2.5,20.1,8.3,1.5,7,1.3
"Charlie Blackmon",5,"OF",5400,"COL","PHI",5.53,"Nola",0.316,"-1%","R","L",0.387,"4%",0.239,"15%","1","1","0","11%","0%","0%",9.5,11.4,11.1,2.5,19.8,11.1,2.1,19,3.5
"Justin Upton",4,"OF",5300,"DET","@BAL",4.77,"Jimenez",0.321,"0%","R","R",0.351,"-2%",0.228,"-2%","3","3","0","2%","1%","0%",14,9.5,9.5,1.4,17.5,9.5,1.8,4,0.8
"Mookie Betts",1,"OF",5300,"BOS","CWS",6.23,"Pelfrey",0.325,"1%","R","R",0.362,"1%",0.2,"1%","x","x","-","0%","0%","0%",6.6,10.2,9.6,0,19.1,0,0,0,0
"Giancarlo Stanton",3,"OF",5300,"MIA","@ATL",4.64,"Sims",NA,"-1%","R","R",0.365,"-6%",0.278,"-8%","2","2","0","4%","3%","0%",13.3,10.8,10.5,0.5,20.4,10.8,2,7,1.3
"Jose Altuve",3,"2B",5200,"HOU","TOR",4.51,"Stroman",0.31,"-2%","R","R",0.375,"-2%",0.175,"2%","2","2","0","0%","0%","5%",8.6,11.2,10.9,2.1,19.6,9.7,1.9,15,2.9
"Andrew McCutchen",7,"OF",5200,"PIT","SD",4.85,"Richard",0.371,"11%","L","R",0.413,"11%",0.253,"25%","3","3","0","-4%","0%","0%",10,9.7,9.2,0.6,17.8,10.6,2,11,2.1
"Nolan Arenado",4,"3B",5200,"COL","PHI",5.53,"Nola",0.282,"-8%","R","R",0.381,"-1%",0.286,"4%","3","3","0","14%","0%","0%",11.6,10.5,10.3,0.6,19.9,10.4,2,10,1.9
"DJ LeMahieu",NA,"2B",5100,"COL","PHI",5.53,"Nola",0.282,"-8%","R","R",0.346,"-1%",0.101,"0%","x","x","-","0%","0%","0%",9.7,8.4,8,1,14.9,0,0,0,0
"Anthony Rizzo",5,"1B",5100,"CHC","WAS",5.51,"Fedde",NA,"1%","R","L",0.387,"3%",0.256,"9%","3","3","0","-3%","2%","0%",11.8,9.3,9.4,1.4,17.5,10.1,2,3,0.6
"Eduardo Nunez",4,"3B/OF",5100,"BOS","CWS",6.23,"Pelfrey",0.325,"1%","R","R",0.336,"4%",0.131,"-8%","2","3","1","4%","2%","0%",15.1,8.4,8.7,1.3,16.1,10.7,2.1,14,2.7
"Cesar Hernandez",3,"2B",5000,"PHI","@COL",5.47,"Hoffman",0.31,"2%","R","S",0.325,"0%",0.103,"9%","1","1","0","28%","0%","0%",12,8.5,8.5,1.9,15.1,10.5,2.1,7,1.4
"Willson Contreras",6,"C",5000,"CHC","WAS",5.51,"Fedde",NA,"-1%","R","R",0.351,"-2%",0.219,"0%","4","4","0","0%","2%","0%",13,8.6,8.4,0.1,16.7,8,1.6,28,5.6
"Mark Reynolds",3,"1B",5000,"COL","PHI",5.53,"Nola",0.282,"-8%","R","R",0.361,"7%",0.206,"12%","4","5","1","12%","0%","0%",7.6,8.7,9.1,0.6,17.5,9.7,1.9,0,0
"Justin Smoak",3,"1B",5000,"TOR","@HOU",4.49,"Fiers",0.297,"-5%","R","S",0.346,"3%",0.247,"16%","4","4","0","2%","0%","6%",10.8,10,9.4,1.1,17.8,9,1.8,12,2.4
"Alex Bregman",1,"3B",5000,"HOU","TOR",4.51,"Stroman",0.31,"-2%","R","R",0.334,"-3%",0.204,"1%","7","8","-1","0%","0%","5%",14.1,8.4,7.9,0.6,15.2,7.9,1.6,16,3.2
"Freddie Freeman",7,"1B/3B",5000,"ATL","MIA",4.86,"Urena",0.338,"4%","R","L",0.412,"8%",0.281,"25%","3","3","0","-3%","2%","0%",8.8,11.1,11.1,2,20.2,10,2,5,1
