"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Michael Pineda",2,"SP",11700,"NYY","TEX","68%",4.2,NA,0.327,"19.7%",4.93,"25.2%",3.32,3.19,"R",0.311,0.322,"0%","-1%","-4%",13.7,18.4,18.4,6.6,30.1,16.4,1.4,-1.2,-0.1
"Ervin Santana",1,"SP",9200,"MIN","@CLE","40%",5.25,NA,0.333,"19.1%",4.76,"19.0%",4.47,4.45,"R",0.308,0.295,"-6%","0%","0%",12.5,19.6,19.6,5.1,34.1,11.2,1.2,26.1,2.8
"Sonny Gray",5,"SP",8600,"OAK","@CWS","55%",4.71,NA,0.318,"21.9%",4.61,"20.1%",3.99,3.8,"R",0.288,0.311,"-1%","0%","0%",10.5,14.2,14.2,2.4,26,15.9,1.8,28.8,3.3
"Jordan Zimmermann",2,"SP",8400,"DET","@SD","54%",4.31,NA,0.285,"24.7%",3.54,"17.4%",4.38,4.42,"R",0.32,0.319,"3%","-1%","0%",13.6,10.3,10.3,2.3,18.4,18.4,2.2,3.6,0.4
"Jason Hammel",2,"SP",8000,"KC","TOR","46%",4.71,NA,0.335,"20.4%",4.3,"21.4%",4.06,4.17,"R",0.318,0.305,"-2%","0%","0%",16.3,11.1,11.1,1.9,20.3,12.7,1.6,14.4,1.8
"Jake Odorizzi",4,"SP",7900,"TB","BAL","60%",4.21,NA,0.322,"21.4%",4.49,"21.3%",4.16,4.31,"R",0.281,0.329,"2%","0%","0%",10.5,13.9,13.9,5.4,22.4,14.7,1.9,8.6,1.1
"Julio Teheran",2,"SP",7700,"ATL","MIL","50%",4.77,NA,0.304,"24.8%",4.78,"20.1%",4.3,4.38,"R",0.342,0.258,"0%","-1%","0%",12.1,11.4,11.4,0.6,22.2,17.4,2.3,-6.6,-0.9
"Brandon McCarthy",2,"SP",7500,"LAD","COL","61%",3.75,NA,0.321,"23.2%",5.21,"23.8%",4.12,3.98,"R",0.311,0.302,"4%","-3%","-3%",17,16.6,16.6,8.8,24.4,15.3,2,-0.9,-0.1
"Mike Leake",2,"SP",7400,"STL","PIT","59%",3.84,4.5,0.306,"20.4%",4.23,"16.3%",4.04,3.82,"R",0.325,0.293,"1%","1%","0%",10.8,16.8,16.8,9.1,24.6,15,2,6.7,0.9
"Clayton Richard",1,"SP",6900,"SD","DET","46%",4.69,NA,0.332,"22.8%",4.75,"14.7%",4.04,3.88,"L",0.285,0.35,"2%","-1%","0%",13.3,13.3,13.3,2.3,24.3,12.9,1.9,1.4,0.2
