"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Chris Sale",13,"SP",13400,"BOS","@LAA","67%",3.05,9,0.315,"16.8%",4.07,"30.5%",2.86,2.99,"L",0.245,0.274,"4%","0%","0%",34,30.6,30.6,23.7,37.4,24.3,1.8,0,0
"Max Scherzer",9,"SP",12700,"WAS","@ARI","59%",3.81,9.5,0.315,"22.2%",4.99,"32.1%",2.8,3.12,"R",0.301,0.207,"-3%","0%","0%",33,30.9,30.9,21.1,40.8,25.6,2,0,0
"Alex Wood",10,"SP",11800,"LAD","ATL","71%",3.05,6.5,0.302,"22.9%",4.62,"22.0%",3.69,3.45,"L",0.263,0.301,"2%","-1%","-1%",28.4,24.3,24.3,15.7,32.8,22.1,1.9,0,0
"Yu Darvish",8,"SP",10600,"TEX","@TB","55%",4.02,7,0.321,"21.0%",4.67,"28.4%",3.54,3.57,"R",0.301,0.28,"4%","0%","0%",17.3,19.3,19.3,9.1,29.5,20.9,2,0,0
"Carlos Martinez",2,"SP",9600,"STL","@CHC","43%",4.3,6.5,0.317,"23.5%",4.71,"23.7%",3.76,3.59,"R",0.334,0.252,"1%","-2%","0%",11.8,20.8,20.8,8.9,32.7,18.7,1.9,0,0
"Jeff Samardzija",13,"SP",9100,"SF","SD","61%",3.09,7.5,0.294,"27.1%",3.67,"20.7%",3.93,3.9,"R",0.331,0.291,"1%","0%","0%",16.8,17.9,17.9,8,27.9,25.1,2.8,0,0
"Ervin Santana",1,"SP",8600,"MIN","DET","56%",4.45,5,0.322,"21.5%",4.84,"18.9%",4.49,4.47,"R",0.308,0.3,"-2%","-2%","0%",14.9,19,19,5.7,32.3,13.5,1.6,0,0
"Aaron Nola",14,"SP",8400,"PHI","MIL","56%",4.19,7.5,0.309,"25.5%",4.87,"23.9%",3.56,3.39,"R",0.325,0.279,"1%","-2%","0%",27.7,18.8,18.8,8.8,28.8,23.2,2.8,0,0
"Trevor Cahill",6,"SP",8300,"SD","@SF","39%",3.91,5.5,0.313,"19.0%",3.89,"24.3%",3.56,3.52,"R",0.339,0.303,"0%","0%","0%",19.7,19.8,19.8,13.6,26,15.2,1.8,0,0
"Ian Kennedy",5,"SP",8100,"KC","CWS","63%",4.5,5.5,0.309,"23.5%",4.45,"23.0%",4.1,4.39,"R",0.322,0.316,"-2%","-4%","0%",19.2,13.6,13.6,3.3,23.9,17.6,2.2,0,0
"Alex Cobb",NA,"SP",7900,"TB","TEX","45%",4.48,4.5,0.331,"21.7%",4.86,"15.6%",4.74,4.59,"R",0.297,0.312,"2%","0%","0%",19.3,14.5,14.5,4.9,24.1,13.8,1.7,0,0
"Jake Arrieta",3,"SP",7800,"CHC","STL","56%",3.7,5.5,0.317,"24.6%",4.52,"25.0%",3.49,3.3,"R",0.258,0.256,"1%","-2%","0%",15.1,15.9,15.9,5.7,26,18.8,2.4,0,0
"Mike Fiers",1,"SP",7500,"HOU","@BAL","56%",5.16,5.5,0.333,"22.0%",4.55,"21.6%",4.09,4.12,"R",0.293,0.345,"-2%","-3%","0%",20.8,15.6,15.6,6.4,24.7,13.8,1.8,0,0
"CC Sabathia",1,"SP",7300,"NYY","@SEA","53%",4.37,NA,0.337,"20.1%",4.8,"19.2%",4.3,4.21,"L",0.261,0.336,"6%","-1%","0%",17.3,14.7,14.7,3.4,26.1,12.8,1.8,0,0
"Steven Matz",8,"SP",7100,"NYM","OAK","59%",4.25,5.5,0.309,"25.0%",4.33,"21.8%",3.81,3.65,"L",0.308,0.302,"2%","-2%","0%",9.1,10.7,10.7,-3.2,24.6,17.7,2.5,0,0
"Zack Godley",1,"SP",7000,"ARI","WAS","41%",4.69,NA,0.319,"22.6%",5.59,"21.5%",3.94,3.82,"R",0.313,0.306,"-3%","0%","0%",20.4,19.2,19.2,13.4,25.1,15,2.1,0,0
"Ricky Nolasco",2,"SP",6800,"LAA","BOS","33%",4.45,NA,0.337,"17.6%",4.72,"18.6%",4.38,4.42,"R",0.343,0.352,"3%","-1%","0%",15.9,13.2,13.2,1.7,24.7,10.9,1.6,0,0
"Matt Garza",1,"SP",6700,"MIL","@PHI","44%",4.81,NA,0.3,"22.9%",3.92,"15.6%",4.71,4.53,"R",0.334,0.325,"4%","-3%","0%",11.1,12.1,12.1,6.2,18,13.1,2,0,0
"Jeff Hoffman",NA,"SP",6300,"COL","PIT","56%",5.6,NA,0.307,"20.7%",4.19,"18.5%",4.73,4.83,"R",0.298,0.354,"-10%","-2%","0%",7.9,16,16,2.3,29.7,13.2,2.1,0,0
"Trevor Bauer",1,"SP",6200,"CLE","TOR","56%",4.38,5.5,0.331,"20.6%",4.13,"22.6%",4.17,4.1,"R",0.317,0.322,"-2%","-2%","0%",12.6,14,14,2,26,14.2,2.3,0,0
"Anibal Sanchez",NA,"SP",6100,"DET","@MIN","44%",5.05,NA,0.329,"23.3%",4.55,"20.6%",4.2,4.36,"R",0.302,0.374,"-3%","-2%","0%",15,15,15,7,22.9,13.8,2.3,0,0
