Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Paul Goldschmidt,5,1B,5600,ARI,@PHI,4.13,Nola,0.287,-7%,R,R,0.398,-3%,0.231,-1%,3,3,0,1%,-1%,0%,12.9,11.7,11.7,3.5,20.0,9.0,1.6,3.0,0.5
Aaron Judge,9,OF,5500,NYY,@OAK,4.20,Manaea,0.312,-2%,L,R,0.409,3%,0.254,6%,2,3,1,-6%,3%,1%,14.9,12.2,12.2,1.8,22.6,9.5,1.7,32.0,5.8
Charlie Blackmon,11,OF,5400,COL,SF,5.94,Samardzija,0.330,2%,R,L,0.385,5%,0.235,17%,1,1,0,11%,6%,0%,12.9,11.3,11.3,2.7,19.9,12.2,2.3,19.0,3.5
Mookie Betts,5,OF,5300,BOS,@HOU,4.23,Fiers,0.352,7%,R,R,0.369,1%,0.201,-1%,1,1,0,-3%,0%,5%,11.5,9.8,9.8,0.0,19.6,11.3,2.1,18.0,3.4
Nolan Arenado,14,3B,5200,COL,SF,5.94,Samardzija,0.286,-7%,R,R,0.378,0%,0.286,5%,3,3,0,13%,8%,0%,9.7,9.5,9.5,1.2,17.8,10.9,2.1,10.0,1.9
Jake Lamb,6,3B,5200,ARI,@PHI,4.13,Nola,0.327,1%,R,L,0.369,7%,0.239,10%,4,4,1,-9%,-1%,0%,10.4,10.3,10.3,1.9,18.6,8.3,1.6,11.0,2.1
Bryce Harper,0,OF,5200,WAS,@NYM,4.10,Matz,0.300,-8%,L,L,0.348,-11%,0.178,-28%,3,3,0,-1%,-2%,0%,9.4,11.2,11.2,1.2,21.1,8.1,1.6,15.0,2.9
Trea Turner,1,SS,5100,WAS,@NYM,4.10,Matz,0.291,-6%,L,R,0.260,-4%,0.058,-11%,1,1,0,-6%,-2%,0%,10.1,10.1,10.1,0.4,19.7,8.6,1.7,5.0,1.0
Mark Reynolds,2,1B,5100,COL,SF,5.94,Samardzija,0.286,-7%,R,R,0.362,8%,0.205,12%,x,x,-,0%,0%,0%,10.9,9.6,9.6,0.8,18.5,0.0,0.0,0.0,0.0
Nelson Cruz,5,OF,5000,SEA,@TEX,5.11,Ross,0.264,-11%,R,R,0.373,-4%,0.240,-7%,4,4,0,9%,3%,0%,10.7,9.0,9.0,1.1,16.9,8.3,1.7,8.0,1.6
George Springer,11,OF,5000,HOU,BOS,4.77,Pomeranz,0.300,-4%,L,R,0.403,12%,0.273,33%,1,1,0,0%,0%,5%,11.5,9.8,9.8,0.9,18.8,10.3,2.1,4.0,0.8
Gary Sanchez,2,C,4900,NYY,@OAK,4.20,Manaea,0.312,-2%,L,R,0.349,1%,0.321,10%,x,x,-,0%,0%,0%,16.3,10.8,10.8,0.5,21.2,0.0,0.0,0.0,0.0
Brian Dozier,4,2B,4900,MIN,CLE,4.49,Carrasco,0.280,-9%,R,R,0.337,-4%,0.226,-3%,1,1,0,2%,1%,0%,11.9,9.0,9.0,2.3,15.7,8.3,1.7,3.0,0.6
Ryan Zimmerman,3,1B,4900,WAS,@NYM,4.10,Matz,0.291,-6%,L,R,0.379,11%,0.257,19%,4,4,0,-8%,-3%,0%,11.8,11.2,11.2,2.0,20.5,7.9,1.6,5.0,1.0
Eduardo Nunez,0,3B/OF,4900,SF,@COL,5.56,Senzatela,0.289,-3%,R,R,0.330,5%,0.127,-8%,x,x,-,0%,0%,0%,10.9,8.0,8.0,1.2,14.8,0.0,0.0,0.0,0.0
Edwin Encarnacion,8,1B,4900,CLE,@MIN,5.51,Turley,,2%,L,R,0.374,-1%,0.224,-12%,4,4,1,2%,1%,0%,10.6,7.8,7.8,0.1,15.6,9.2,1.9,22.0,4.5
Cody Bellinger,14,1B/OF,4800,LAD,@CIN,5.29,Adleman,0.336,3%,R,L,0.362,3%,0.333,17%,4,4,1,7%,4%,0%,12.9,10.8,10.8,0.3,21.2,10.3,2.1,3.0,0.6
Buster Posey,0,1B/C,4800,SF,@COL,5.56,Senzatela,0.289,-3%,R,R,0.350,-4%,0.139,-14%,x,x,-,0%,0%,0%,11.6,8.8,8.8,2.6,15.0,0.0,0.0,2.0,0.4
