"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Chris Sale",6,"SP",12900,"BOS","MIN","66%",3.28,9.5,0.33,"24.4%",4.64,"30.0%",2.91,3.01,"L",0.242,0.277,"-2%","0%","-1%",26.6,29.6,29.6,22.6,36.6,26.9,2.1,30.7,2.4
"Zack Greinke",0,"SP",12800,"ARI","PHI","67%",3.42,7,0.299,"23.7%",3.88,"23.5%",3.54,3.45,"R",0.276,0.261,"-2%","0%","0%",18.8,23.1,23.1,11.9,34.3,21.6,1.7,19.6,1.5
"Carlos Carrasco",7,"SP",11600,"CLE","TEX","61%",3.71,6.5,0.331,"21.5%",4.97,"27.3%",3.17,3.07,"R",0.28,0.28,"-2%","1%","-2%",20.3,20.9,20.9,10.6,31.1,17.8,1.5,0.1,0
"Jose Berrios",3,"SP",10700,"MIN","@BOS","34%",4.72,NA,0.337,"17.8%",4.7,"20.8%",4.69,4.98,"R",0.33,0.339,"-7%","-1%","-3%",20.6,23.8,23.8,14,33.6,12.2,1.1,14.3,1.3
"Gio Gonzalez",2,"SP",9800,"WAS","CHC","61%",4.41,5.5,0.327,"22.6%",4.7,"22.3%",4.02,3.84,"L",0.271,0.324,"0%","0%","0%",22.4,18.6,18.6,11.1,26.2,16.7,1.7,22.7,2.3
"Rich Hill",8,"SP",8600,"LAD","LAA","67%",3.63,5.5,0.293,"20.6%",4.37,"28.7%",3.54,3.68,"L",0.278,0.255,"3%","-1%","-1%",14.2,12.3,12.3,1.9,22.7,16.9,2,19.6,2.3
"Jeff Samardzija",10,"SP",8400,"SF","COL","52%",3.68,6.5,0.323,"23.3%",5.14,"20.6%",3.96,3.93,"R",0.329,0.292,"1%","1%","0%",16,18.6,18.6,7.7,29.5,18,2.1,20.6,2.5
"Cole Hamels",2,"SP",8100,"TEX","@CLE","39%",4.79,NA,0.329,"17.4%",4.73,"23.1%",3.84,3.75,"L",0.28,0.307,"-4%","1%","-3%",13,13,13,5.6,20.4,11.7,1.4,-9.4,-1.2
"Jordan Montgomery",0,"SP",7600,"NYY","@CWS","61%",4.41,NA,0.33,"21.1%",4.58,"22.7%",4.32,4.47,"L",NA,0.301,"2%","1%","0%",18.6,16.3,16.3,10.1,22.5,14.8,1.9,30.1,4
"German Marquez",6,"SP",7500,"COL","@SF","48%",3.82,NA,0.314,"19.6%",3.78,"19.2%",4.43,4.42,"R",0.349,0.329,"10%","1%","0%",13.5,14.5,14.5,2.9,26,14.1,1.9,-3,-0.4
"Nick Pivetta",0,"SP",7300,"PHI","@ARI","33%",5.08,NA,0.286,"24.4%",5.31,"25.1%",4.29,4.25,"R",NA,NA,"-9%","0%","0%",16.6,13.9,13.9,4.7,23,15.8,2.2,-7.2,-1
"Michael Wacha",0,"SP",7200,"STL","CIN","56%",4.15,4.5,0.315,"23.6%",4.89,"19.8%",4.2,3.99,"R",0.294,0.333,"1%","1%","0%",5.8,12,12,4.2,19.9,13.9,1.9,21.9,3
"Brandon Finnegan",0,"SP",5800,"CIN","@STL","43%",4.85,NA,0.316,"23.5%",4.3,"20.9%",4.7,4.61,"L",0.301,0.325,"2%","1%","0%",13.2,13.2,13.2,-7.4,33.7,16.3,2.8,0.6,0.1
"Eddie Butler",NA,"SP",5200,"CHC","@WAS","39%",5.59,NA,0.323,"22.3%",5.7,"14.0%",5.15,4.98,"R",0.417,0.366,"-3%","-1%","0%",8,10,10,1.4,18.6,6.9,1.3,14.8,2.8
"Ricky Nolasco",0,"SP",5000,"LAA","@LAD","33%",5.37,NA,0.32,"25.3%",5.18,"18.4%",4.4,4.44,"R",0.35,0.353,"6%","-2%","-2%",7.3,11.7,11.7,4.9,18.4,14.2,2.8,24.1,4.8
"David Holmberg",NA,"SP",4500,"CWS","NYY","39%",5.59,NA,0.327,"21.9%",5.58,"13.3%",5.46,5.56,"L",NA,0.386,"2%","3%","0%",8.5,8.5,8.5,3.1,13.9,6.3,1.4,6.6,1.5
