Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Hyun-Jin Ryu,1,SP,10200,LAD,@SF,59%,5.66,,0.309,20.1%,3.88,,,,L,0.321,0.299,-1%,1%,0%,11.2,11.2,11.2,7.5,14.8,14.7,1.4,13.9,1.4
Chris Archer,4,SP,10100,TB,@BAL,47%,4.03,6.5,0.338,21.1%,4.13,27.9%,3.30,3.21,R,0.294,0.296,-1%,3%,0%,20.3,20.3,20.3,16.8,23.8,20.8,2.1,7.8,0.8
Francisco Liriano,6,SP,9700,TOR,@LAA,53%,3.85,5,0.324,19.7%,3.56,25.0%,3.87,3.66,L,0.270,0.304,5%,1%,0%,13.4,13.4,13.4,-8.1,35.0,16.3,1.7,6.0,0.6
Zack Greinke,14,SP,9400,ARI,SD,41%,4.11,5,0.294,25.0%,3.17,22.0%,3.65,3.55,R,0.287,0.276,-2%,-1%,0%,16.5,16.5,16.5,4.3,28.7,19.4,2.1,29.9,3.2
Jason Vargas,8,SP,8000,KC,@CWS,35%,3.39,,0.320,22.4%,3.27,18.6%,4.17,4.19,L,0.323,0.308,3%,2%,0%,31.0,31.0,31.0,24.3,37.6,18.0,2.3,11.1,1.4
Miguel Gonzalez,8,SP,7500,CWS,KC,36%,3.31,,0.314,18.4%,2.69,17.3%,4.54,4.56,R,0.326,0.321,1%,2%,0%,17.7,17.7,17.7,8.3,27.2,14.3,1.9,30.2,4.0
Brett Anderson,4,SP,7300,CHC,@PIT,62%,3.78,,0.327,20.0%,3.44,14.8%,3.67,3.65,L,0.333,0.320,0%,4%,0%,10.5,10.5,10.5,2.7,18.4,12.8,1.8,14.9,2.0
Chad Kuhl,0,SP,7000,PIT,CHC,51%,5.11,,0.317,24.5%,4.50,18.3%,4.50,4.59,R,0.363,0.288,1%,5%,0%,15.9,15.9,15.9,11.3,20.6,14.1,2.0,-19.4,-2.8
Ubaldo Jimenez,0,SP,6800,BAL,TB,51%,4.11,4.5,0.322,24.0%,4.61,20.3%,4.31,4.21,R,0.328,0.322,0%,6%,0%,8.1,8.1,8.1,-6.1,22.3,13.7,2.0,2.7,0.4
Amir Garrett,9,SP,6700,CIN,@MIL,38%,4.16,,0.312,29.5%,4.78,,,,L,,,-1%,3%,0%,25.2,25.2,25.2,20.1,30.2,20.3,3.0,-15.7,-2.3
Jesse Chavez,6,SP,6700,LAA,TOR,47%,4.15,,0.324,19.6%,3.31,20.9%,3.87,3.96,R,0.321,0.302,2%,2%,0%,13.9,13.9,13.9,2.6,25.2,16.1,2.4,20.7,3.1
Martin Perez,2,SP,6300,TEX,MIN,65%,4.32,,0.332,24.4%,4.12,13.0%,4.83,4.54,L,0.287,0.339,-3%,3%,0%,10.9,10.9,10.9,1.4,20.3,12.5,2.0,8.1,1.3
Matt Cain,0,SP,6100,SF,LAD,49%,4.94,,0.330,21.1%,4.35,17.1%,4.71,4.87,R,0.338,0.338,2%,2%,0%,13.0,13.0,13.0,3.5,22.4,11.0,1.8,21.7,3.6
Jhoulys Chacin,1,SP,5700,SD,@ARI,47%,4.06,,0.290,25.8%,5.11,18.5%,4.41,4.26,R,0.333,0.317,-10%,-1%,0%,11.3,11.3,11.3,-9.1,31.7,13.3,2.3,5.5,1.0
Matt Garza,0,SP,5600,MIL,CIN,48%,3.89,,0.299,22.9%,4.53,15.4%,4.67,4.50,R,0.332,0.316,-1%,6%,1%,0.0,0.0,0.0,0.0,0.0,11.6,2.1,10.8,1.9
Phil Hughes,1,SP,5500,MIN,@TEX,51%,4.69,,0.333,21.7%,4.65,14.2%,4.57,4.54,R,0.324,0.340,-6%,5%,0%,11.0,11.0,11.0,1.8,20.3,10.2,1.9,12.7,2.3
Tyler Anderson,1,SP,5400,COL,WAS,51%,3.87,,0.335,18.8%,5.25,20.4%,3.93,3.72,L,0.304,0.338,-12%,6%,0%,7.9,7.9,7.9,-0.7,16.6,10.5,1.9,10.6,2.0
