"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Chris Sale",21,"SP",13500,"BOS","TEX","73%",2.95,9.5,0.325,"24.4%",4.78,"29.9%",2.88,3.01,"L",0.226,0.275,"-2%","1%","0%",30.6,32.2,32.2,26.4,37.9,29.3,2.2,22.3,1.7
"Marcus Stroman",4,"SP",10200,"TOR","@MIL","53%",4.09,5.5,0.3,"25.4%",5.3,"19.2%",3.6,3.41,"R",0.302,0.299,"1%","0%","0%",16.8,17.3,17.3,5.2,29.5,16.6,1.6,13.9,1.4
"Luis Severino",12,"SP",9900,"NYY","KC","65%",3.52,6,0.317,"19.1%",3.34,"22.9%",3.74,3.64,"R",0.307,0.332,"0%","1%","1%",15.2,18.9,18.9,5.1,32.8,16.9,1.7,33,3.3
"Jose Quintana",1,"SP",9600,"CWS","@ARI","47%",4.64,6,0.306,"22.2%",5.02,"21.1%",3.9,3.87,"L",0.297,0.307,"-7%","0%","0%",22.2,16.6,16.6,4,29.2,17.3,1.8,2.4,0.3
"Rich Hill",5,"SP",8900,"LAD","STL","59%",3.39,5.5,0.318,"20.5%",4.54,"29.8%",3.19,3.27,"L",0.27,0.248,"3%","1%","-1%",13.3,13.3,13.3,3.9,22.7,18,2,0.4,0
"Sonny Gray",1,"SP",8600,"OAK","MIA","56%",4.16,4.5,0.321,"19.9%",4.14,"19.2%",4.03,3.88,"R",0.285,0.299,"2%","0%","0%",13.1,13.1,13.1,5.7,20.4,15.1,1.8,37.3,4.3
"Charlie Morton",10,"SP",8600,"HOU","DET","61%",3.96,NA,0.32,"21.5%",4.79,"20.3%",3.75,3.66,"R",0.341,0.307,"1%","0%","0%",22.2,17.8,17.8,9.4,26.1,18.4,2.1,19.6,2.3
"Kyle Hendricks",15,"SP",8500,"CHC","SF","63%",3.01,4,0.311,"19.7%",3.48,"22.5%",3.6,3.47,"R",0.297,0.26,"1%","2%","0%",18.5,15.4,15.4,9.7,21.1,16.6,2,22.8,2.7
"Chris Tillman",1,"SP",8500,"BAL","MIN","51%",4.21,4,0.318,"24.2%",4.66,"17.9%",4.66,4.57,"R",0.312,0.322,"0%","2%","0%",12,12,12,5,19.1,12.7,1.5,2.7,0.3
"Trevor Bauer",NA,"SP",8200,"CLE","CIN","64%",4.21,5.5,0.323,"19.0%",5.07,"22.1%",4.19,4.14,"R",0.321,0.322,"-3%","2%","0%",15.4,15.2,15.2,3.7,26.6,14.6,1.8,16.4,2
"Julio Teheran",1,"SP",8200,"ATL","PIT","56%",3.91,4,0.298,"20.4%",3.76,"20.6%",4.2,4.28,"R",0.344,0.252,"0%","2%","0%",7.1,9.9,9.9,-3,22.7,14.4,1.8,21.9,2.7
"Mike Leake",3,"SP",8100,"STL","@LAD","41%",4.11,4,0.322,"22.9%",5.07,"16.1%",4.04,3.82,"R",0.322,0.296,"8%","2%","-2%",17,19.3,19.3,13.2,25.3,14.5,1.8,27.6,3.4
"Edinson Volquez",NA,"SP",7900,"MIA","@OAK","43%",4.84,4.5,0.315,"21.5%",4,"17.8%",4.56,4.42,"R",0.337,0.309,"3%","0%","0%",8.2,10.9,10.9,4,17.8,14.6,1.8,6.1,0.8
"Matt Garza",NA,"SP",7800,"MIL","TOR","47%",4.41,4.5,0.297,"23.1%",4.13,"15.8%",4.6,4.42,"R",0.334,0.312,"-1%","0%","0%",16.6,16.6,16.6,12,21.2,13.3,1.7,5.8,0.7
"Tanner Roark",NA,"SP",7800,"WAS","SEA","59%",4.27,4,0.305,"21.8%",4.58,"18.6%",4.25,4.16,"R",0.308,0.277,"0%","3%","0%",10.8,12.8,12.8,5.1,20.4,13.6,1.7,28.9,3.7
"Ricky Nolasco",1,"SP",7700,"LAA","@TB","45%",4.48,NA,0.322,"24.9%",4.64,"18.6%",4.28,4.33,"R",0.336,0.35,"1%","0%","0%",16.3,14.3,14.3,7.7,20.8,15.6,2,10.1,1.3
"Matt Moore",1,"SP",7600,"SF","@CHC","37%",3.99,5,0.306,"23.7%",5.05,"19.9%",4.47,4.64,"L",0.315,0.324,"1%","2%","0%",13.4,11.6,11.6,-1.9,25.1,16.8,2.2,9.5,1.3
"Jose Berrios",2,"SP",7400,"MIN","@BAL","49%",4.29,NA,0.331,"21.6%",4.74,"17.2%",5.29,5.63,"R",0.344,0.368,"1%","1%","0%",32.5,32.5,32.5,21.7,43.4,16,2.2,22.6,3.1
"Jeremy Hellickson",NA,"SP",7100,"PHI","COL","46%",4.7,NA,0.323,"22.8%",5.07,"18.5%",4.27,4.23,"R",0.321,0.329,"2%","3%","0%",7.3,11.3,11.3,2.7,19.8,11.5,1.6,-5.9,-0.8
"Tyler Chatwood",4,"SP",6900,"COL","@PHI","54%",4.3,NA,0.307,"24.7%",4.38,"17.8%",4.56,4.24,"R",0.32,0.325,"11%","2%","0%",9.5,12.6,12.6,1.9,23.3,15.9,2.3,32.8,4.8
"Jason Hammel",1,"SP",6600,"KC","@NYY","35%",4.98,4,0.336,"21.9%",5.62,"22.1%",3.94,4.02,"R",0.333,0.307,"2%","3%","1%",7.1,7.1,7.1,-1.2,15.5,11.8,1.8,16.7,2.5
"Daniel Norris",NA,"SP",6400,"DET","@HOU","39%",5.04,NA,0.336,"17.4%",4.91,"20.2%",4.34,4.41,"L",0.333,0.325,"4%","-1%","0%",11.3,11.4,11.4,2.3,20.5,11.4,1.8,18.6,2.9
"Robert Gsellman",5,"SP",6200,"NYM","SD","61%",3.74,NA,0.304,"24.0%",3.43,"19.2%",3.94,3.74,"R",0.295,0.361,"2%","1%","0%",3.9,4.8,4.8,-4,13.7,14.8,2.4,9.3,1.5
"Martin Perez",NA,"SP",6000,"TEX","@BOS","27%",5.05,NA,0.345,"17.3%",4.56,"12.9%",4.87,4.57,"L",0.294,0.337,"-7%","5%","0%",12.4,11.7,11.7,2.1,21.3,9.5,1.6,11.4,1.9
"Erasmo Ramirez",6,"SP",5600,"TB","LAA","55%",4.02,NA,0.318,"17.2%",4.15,"18.3%",3.92,4,"R",0.313,0.32,"2%","0%","0%",17.9,17.9,17.9,12.1,23.8,12,2.1,14.5,2.6
"Lisalverto Bonilla",NA,"SP",5200,"CIN","@CLE","36%",5.79,NA,0.338,"16.1%",4.3,"",NA,NA,"R",NA,NA,"-7%","3%","0%",9.3,9.3,9.3,-5.5,24,11.2,2.2,3.9,0.8
"Sam Gaviglio",NA,"RP",4900,"SEA","@WAS","41%",5.23,NA,0.319,"22.2%",5.72,"",NA,NA,"R",NA,NA,"-4%","5%","0%",12.3,12.3,12.3,12.3,12.3,12.2,2.5,8.7,1.8
"Trevor Williams",NA,"RP",4800,"PIT","@ATL","43%",4.59,NA,0.307,"21.4%",4.6,"17.8%",4.53,4.81,"R",NA,NA,"-1%","3%","0%",5.1,5.1,5.1,-7.2,17.4,10.3,2.1,13.1,2.7
"Jarred Cosart",NA,"SP",4700,"SD","@NYM","39%",4.76,NA,0.301,"21.0%",5,"14.8%",5.11,4.74,"R",0.298,0.32,"5%","3%","0%",9.4,9.4,9.4,7.8,11,9.9,2.1,-4.8,-1
"Randall Delgado",2,"RP",4000,"ARI","CWS","53%",4.36,NA,0.292,"23.9%",4.51,"21.7%",3.96,4.32,"R",0.331,0.302,"-2%","0%","0%",0,0,0,0,0,17.1,4.3,10.6,2.6
