Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mike Trout,13,OF,5700,LAA,BAL,4.71,Bundy,0.311,-2%,R,R,0.425,1%,0.288,7%,2,2,0,-3%,0%,0%,12.7,12.3,12.3,5.3,19.2,10.8,1.9,21.0,3.7
Bryce Harper,3,OF,5600,WAS,MIA,5.42,O'Grady,,-5%,L,L,0.348,-13%,0.179,-29%,3,3,0,-2%,-1%,0%,8.2,10.4,11.1,1.1,21.2,8.6,1.5,17.0,3.0
Justin Upton,3,OF,5400,DET,@PIT,3.97,Williams,0.317,0%,R,R,0.350,-2%,0.228,-2%,3,3,0,-7%,-1%,0%,14.0,9.4,9.4,1.4,17.4,8.2,1.5,2.0,0.4
Anthony Rizzo,6,1B,5400,CHC,@SF,4.59,Moore,0.357,6%,L,L,0.364,-4%,0.202,-14%,3,3,0,-8%,-1%,0%,11.0,9.3,9.4,1.3,17.4,9.3,1.7,18.0,3.3
Kris Bryant,8,3B,5300,CHC,@SF,4.59,Moore,0.326,1%,L,R,0.401,5%,0.270,13%,2,2,0,-10%,-1%,0%,7.1,8.8,9.0,0.4,17.7,9.1,1.7,13.0,2.5
Joey Votto,16,1B,5300,CIN,SD,5.02,Chacin,0.343,5%,R,L,0.425,3%,0.250,5%,3,3,0,2%,1%,0%,11.9,9.7,9.9,2.8,17.0,10.3,1.9,25.0,4.7
Daniel Murphy,2,2B,5000,WAS,MIA,5.42,O'Grady,,-5%,L,L,0.316,-12%,0.119,-37%,5,5,0,-1%,-1%,0%,8.4,9.9,9.9,1.2,18.6,6.7,1.3,0.0,0.0
Willson Contreras,10,C,4900,CHC,@SF,4.59,Moore,0.326,1%,L,R,0.389,5%,0.234,7%,4,4,0,-9%,-1%,0%,15.5,8.9,8.6,0.1,17.1,7.9,1.6,0.0,0.0
Miguel Sano,1,3B,4900,MIN,MIL,4.40,Suter,0.295,-2%,L,R,0.379,4%,0.265,9%,x,x,-,0%,0%,0%,7.2,9.0,9.1,1.0,17.2,0.0,0.0,0.0,0.0
Tommy Pham,9,OF,4800,STL,@KC,4.72,Kennedy,0.319,0%,R,R,0.366,1%,0.200,-2%,2,2,0,3%,-1%,0%,8.5,10.1,10.1,1.3,18.9,9.0,1.9,2.0,0.4
Brian Dozier,8,2B,4800,MIN,MIL,4.40,Suter,0.295,-2%,L,R,0.375,8%,0.244,6%,1,1,0,2%,1%,0%,9.2,8.8,8.7,1.5,15.9,9.6,2.0,0.0,0.0
Andrew McCutchen,8,OF,4700,PIT,DET,5.03,Zimmermann,0.320,0%,R,R,0.353,-5%,0.182,-10%,3,3,0,-3%,-1%,0%,11.1,9.8,9.2,0.6,17.8,8.2,1.7,8.0,1.7
Adam Duvall,6,OF,4700,CIN,SD,5.02,Chacin,0.282,-8%,R,R,0.334,-1%,0.256,1%,4,4,0,1%,1%,0%,9.0,8.6,8.9,1.0,16.9,7.6,1.6,16.0,3.4
Tim Beckham,3,SS,4600,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.319,-1%,0.194,3%,6,6,0,-6%,0%,0%,11.0,7.8,7.2,-0.3,14.7,6.4,1.4,5.0,1.1
Paul DeJong,7,2B/SS,4600,STL,@KC,4.72,Kennedy,0.319,0%,R,R,0.338,0%,0.253,9%,3,7,0,2%,-1%,0%,6.8,7.9,7.9,0.4,15.4,8.0,1.7,16.0,3.5
Ryan Zimmerman,13,1B,4500,WAS,MIA,5.42,O'Grady,,2%,L,R,0.371,12%,0.249,20%,4,4,0,1%,-1%,0%,9.7,9.3,9.5,0.3,18.7,9.5,2.1,4.0,0.9
Trea Turner,,SS,4500,WAS,MIA,5.42,O'Grady,,2%,L,R,0.258,-5%,0.061,-12%,x,x,-,0%,0%,0%,13.4,10.9,10.9,1.0,20.8,0.0,0.0,0.0,0.0
Manny Machado,5,3B,4500,BAL,@LAA,4.29,Ramirez,0.308,-3%,R,R,0.358,2%,0.229,10%,2,2,0,-7%,-1%,0%,11.1,8.1,8.1,-0.4,16.7,8.8,2.0,20.0,4.4
Anthony Rendon,10,3B,4500,WAS,MIA,5.42,O'Grady,,2%,L,R,0.374,5%,0.170,-5%,6,6,-1,0%,-1%,0%,7.7,10.7,9.6,-0.8,20.0,8.7,1.9,2.0,0.4
Andrelton Simmons,4,SS,4400,LAA,BAL,4.71,Bundy,0.311,-2%,R,R,0.314,2%,0.102,-6%,5,5,0,-3%,0%,0%,10.0,8.7,8.0,1.5,14.6,6.7,1.5,8.0,1.8
Billy Hamilton,6,OF,4400,CIN,SD,5.02,Chacin,0.343,5%,R,S,0.283,2%,0.070,-12%,1,1,0,-1%,0%,0%,7.1,9.1,8.7,1.1,16.3,8.7,2.0,12.0,2.7
Ian Happ,2,2B/OF,4400,CHC,@SF,4.59,Moore,0.326,1%,L,S,0.337,3%,0.203,7%,x,x,-,0%,0%,0%,6.2,8.5,8.5,0.0,17.0,0.0,0.0,0.0,0.0
Javier Baez,6,2B/SS,4400,CHC,@SF,4.59,Moore,0.326,1%,L,R,0.348,8%,0.216,17%,8,7,0,-9%,-1%,0%,9.2,7.7,7.7,-0.5,15.9,7.3,1.7,16.0,3.6
Lorenzo Cain,1,OF,4400,KC,STL,4.28,Martinez,0.254,-14%,R,R,0.324,-4%,0.123,-15%,2,2,0,2%,-1%,0%,13.5,8.6,8.2,0.9,15.6,7.0,1.6,6.0,1.4
Dexter Fowler,2,OF,4300,STL,@KC,4.72,Kennedy,0.321,0%,R,S,0.341,-3%,0.181,7%,6,3,0,2%,-1%,0%,5.1,7.9,7.9,0.2,15.5,7.1,1.7,14.0,3.3
Howie Kendrick,8,2B/OF,4300,WAS,MIA,5.42,O'Grady,,2%,L,R,0.339,2%,0.128,2%,2,2,1,1%,-1%,0%,7.2,8.4,8.4,0.3,16.6,9.2,2.1,0.0,0.0
Melky Cabrera,4,OF,4300,KC,STL,4.28,Martinez,0.336,4%,R,S,0.329,2%,0.137,0%,4,3,-1,0%,-1%,0%,8.1,8.2,7.7,0.4,14.9,7.5,1.7,5.0,1.2
Ryan Braun,6,OF,4300,MIL,@MIN,4.60,Santana,0.299,-5%,R,R,0.356,-4%,0.223,-3%,2,3,1,5%,1%,0%,4.9,9.3,9.3,1.1,17.5,9.3,2.2,13.0,3.0
Yadier Molina,6,C,4200,STL,@KC,4.72,Kennedy,0.319,0%,R,R,0.314,-2%,0.112,-7%,5,5,0,3%,-1%,0%,9.2,7.5,7.2,0.6,13.8,6.9,1.6,12.0,2.9
Kyle Schwarber,,OF,4200,CHC,@SF,4.59,Moore,0.357,6%,L,L,0.270,-10%,0.153,-25%,x,x,-,0%,0%,0%,10.4,7.3,7.3,-0.2,14.8,0.0,0.0,0.0,0.0
